,Title,Date,Category
0,"통합당 ""옵티머스 사건, 하나은행·예탁원도 관리소홀…책임·의무 분명히 해야""",2020.08.12,2
1,"하나금투·IBK투자, 불완전 판매 점검 '최하점'…박용진 ""금융당국 조치해야""",2020.07.28,2
2,"남부발전, 국내 전력공기업 최초 '美 가스복합발전사업' 진출",2019.05.09,2
3,[굿모닝 증시]14일만의 하락…다음 행보는?,2019.04.18,2
4,"농협, 우수직원 10명 모범직원상 수여",2017.05.02,2
5,차기정부까지 60일…'6대 암초' 앞 韓 경제,2017.03.13,2
6,국고채 50년물 인수단 예비입찰 11개 금융사 선정,2016.09.23,2
7,[포토]'2016 글로벌 자산배분포럼',2016.06.09,2
8,"무보, 美 LNG 프로젝트에 7.5억달러 보험 제공…NH투자證 증권사 최초 참여",2015.07.02,2
9,"공정위, 아시아나 총수·법인 검찰 고발…과징금 320억",2020.08.27,3
10,증권·카드 이어 이마트와도 맞손…'종합 플랫폼' 향하는 카뱅(종합),2020.08.20,3
11,인터넷銀 넘어 '종합 플랫폼' 입지 다지는 카카오뱅크,2020.08.20,3
12,"韓, 올해 ESG채권 14조1000억원 발행…中 제치고 아시아 1위",2020.08.14,3
13,농협 창립 59주년 기념식에 초대 못받은 NH증권,2020.08.11,3
14,"상반기 순익 372%↑ 판 키우는 카뱅, 아파트담보대출로 부활 잰걸음 케뱅(종합)",2020.08.05,3
15,카뱅 날고 케뱅 쫓고…인터넷銀 시장 가열,2020.08.05,3
16,"상반기 순익 370% 뛴 카카오뱅크 ""하반기부터 IPO 실무 준비""",2020.08.05,3
17,"NH농협금융 ""2025년 해외점포 13개국 28개 확보 목표""",2020.07.30,3
18,"케이뱅크, 자본금 9000억으로↑…대출 등 신규영업 탄력",2020.07.28,3
19,"BC카드, 케이뱅크 최대주주 된다…금융위 초과보유 승인",2020.07.22,3
20,"케이뱅크, 금리 낮추고 한도 높여 '진격'…1년여 만에 신규대출 재개",2020.07.13,3
21,"4대 금융지주, 2분기 실적 곤두박질 전망",2020.07.10,3
22,중동향 담배 수출 세 자릿수로 늘었다…KT&G '코로나19' 악재에도 안도,2020.07.06,3
23,재도약 눈앞 케이뱅크…대출상품 리뉴얼하고 8개 분야 인력보강,2020.07.05,3
24,"중소기업 2곳 중 1곳은 '적자'…""2분기 전망은 더 암울""(종합)",2020.07.02,3
25,매출액 1000억 미만 中企 절반은 '적자'…2018년 이후 최대,2020.07.02,3
26,"""마이데이터산업 성공 위해 정보 개방은 필수""(종합)",2020.06.29,3
27,"우리은행, 케이뱅크 1600억원 규모 유상증자 참여",2020.06.26,3
28,"케이뱅크, 내달 부활 신호탄…자본금 9000억으로 늘려 신규대출 재개",2020.06.21,3
29,홈플러스 점포매각 두고 경영진-노조 평행선…임일순 대표 '위기',2020.06.19,3
30,"NH농협은행, 마이데이터 실증 서비스 사업자 선정",2020.06.17,3
31,"카카오뱅크, KB증권 주식계좌 개설 신규 서비스 선봬",2020.06.17,3
32,"한은 국고채 추가매입 언제…시장 ""카드 최대한 아낄 듯""",2020.06.13,3
33,"[사람人]정영채 NH證 사장,언택트시대 빛 발한 '디지털혁신' 가속페달",2020.05.20,3
34,금융데이터거래소 부진한 출발…한 주 거래 50건뿐,2020.05.19,3
35,"한은, 이달 말 성장률 하향조정…추가 금리인하 가능성도",2020.05.17,3
36,"한은 금통위, 이달 기준금리 추가 인하할까",2020.05.10,3
37,강원도 농촌 일손돕기 나선 농협금융 임직원,2020.05.07,3
