,Title,Date,Category
0,"[포토]윤상직 ""34조원 투자프로젝트 차질없이 추진 노력하겠다""",2015.02.11,2
1,"광물公, 캐나다 북부개발청과 업무협약…""자원개발 민간지원 속도""",2020.03.04,3
2,"하청노동자 사망사고 많은 사업장, 포스코 포항·삼성전자 기흥 등 11곳",2020.02.20,3
3,"현대重, 울산 본사에 '세계 최대 규모' ESS 가동",2017.11.23,3
4,기상천외한 방법으로 14년간 담합…4개 업체에 378억 과징금 철퇴,2017.07.23,3
5,"불안한 투심, 金 투자로 안심",2017.04.17,3
6,100대 기업 1인당 평균영업익 1억원…롯데케미칼 6억5천만원 최고,2017.04.05,3
7,"30대그룹, 지난해 투자 13조원↓",2017.04.04,3
8,30대 그룹 관료 출신 사외이사 비중 절반 가까이 달해,2017.03.22,3
9,[2016한국펀드평가결산]①성장주·액티브 펀드 봄날은 온다,2016.12.29,3
10,"[2016 국감]""일반 가정, 기업보다 전기 덜 쓰고 요금 9조원 더 냈다""",2016.09.27,3
11,대형차에 '자동비상제동장치' 의무화(종합),2016.07.27,3
12,"[클릭 e종목]""고려아연, 금속 가격 상승 모멘텀 지속 예상""",2016.05.26,3
13,[구태회 별세]조문 사흘째…구본무 회장 이틀째 조문(종합),2016.05.09,3
14,"[구태회 별세]나경원 의원 ""정치계의 큰 어른""",2016.05.09,3
15,"[구태회 별세]조양호 회장 ""오늘 마지막으로 뵈러 왔다""",2016.05.09,3
16,"[특징주]고려아연, 금값 상승에 급락장서 선방",2016.02.11,3
17,"고려아연, 올해 매출액 4조3795억원 전망",2016.01.28,3
18,"고려아연, 작년 4분기 영업이익 34% 감소",2016.01.28,3
19,[굿모닝증시]극심한 저평가 구간…저가 분할매수 전략 필요,2016.01.18,3
20,[2016 자산관리 대전망]펀드지형 뒤흔들 핫 트렌드는?,2015.12.18,3
21,"[머니몬스터]'영구보유株' 찾는 극성운용맨, 최웅필 KB운용 상무",2015.10.22,3
22,"""30대그룹 상장사, 실적 줄어도 인건비는 매년 올라""",2015.05.26,3
23,"고려아연, 1Q 영업익 1727억…전년比 8.87%↑",2015.04.22,3
24,"김상규 조달청장, 비축원자재 생산업체 현장방문",2015.03.24,3
25,"[동정] 김상규 조달청장, 울산시 초청 특강",2015.03.24,3
26,‘조달청 비철금속 모니터링단’ 출범,2015.03.11,3
27,"장 종료 후 ""이 공시 눈에 띄네""(코스피-4일)",2015.03.05,3
28,"하청노동자 사망사고 많은 사업장, 포스코 포항·삼성전자 기흥 등 11곳",2020.02.20,4
29,"LG화학, 전기차용 '수산화 리튬' 또 대량 확보…中업체와 4만8000t 계약",2018.08.15,4
30,"LG화학, 캐나다서 수산화 리튬 공급…전기차 배터리 핵심 원재료 확보",2018.07.04,4
31,[文정부 동반성장지수] 한샘·한진중공업 등 '양호' 61개사,2018.06.27,4
32,"[코발트전쟁]LG화학, 中 합작법인 설립…""코발트 수직계열화""",2018.04.14,4
33,"LG화학, 中화유코발트와 합작법인 설립…배터리 원료 안정적 수급",2018.04.11,4
34,"현대일렉트릭, 세계 최대 산업용 에너지저장장치센터 완공",2018.04.01,4
35,美실리콘밸리 순례단 꾸린 박용만 대한상의 회장,2018.03.09,4
36,"현대重, 울산 본사에 '세계 최대 규모' ESS 가동",2017.11.23,4
37,"LG화학, 황산니켈 생산업체 켐코 지분 10% 취득 결정",2017.11.08,4
38,"현대일렉트릭 ""연구개발로 매년 5000억 매출 증가""",2017.09.25,4
39,"100대 그룹 오너일가, 임원 승진까지 고작 4.2년",2017.09.06,4
40,30대그룹 관료 출신 사외이사 43%…4년새 최고치,2017.08.09,4
41,"현대일렉트릭, 세계 최대 산업용 '에너지저장장치' 수주",2017.07.27,4
42,100대 기업 1인당 평균영업익 1억원…롯데케미칼 6억5천만원 최고,2017.04.05,4
43,30대그룹 투자 13조 급감…유형자산 투자 20%↓,2017.04.04,4
44,30대 그룹 관료 출신 사외이사 비중 43%…전년比 1.8%p↑,2017.03.22,4
45,"내년 동반성장지수, 대기업의 '中企 지원' 평가한다",2016.12.21,4
46,대형차에 '자동비상제동장치' 의무화(종합),2016.07.27,4
47,화학사고 늑장신고 시 영업허가 취소…'삼진아웃제' 도입,2016.07.27,4
48,"산단공, 울산시 등과 에너지 융복합 산단 조성 MOU",2016.07.08,4
49,[구태회 별세]조문 사흘째…구본무 회장 이틀째 조문(종합),2016.05.09,4
50,"[구태회 별세]나경원 의원 ""정치계의 큰 어른""",2016.05.09,4
51,"[구태회 별세]조양호 회장 ""오늘 마지막으로 뵈러 왔다""",2016.05.09,4
52,[구태회 별세]사흘째 조문객 발길 이어져…구자원·남용·박진원 등 조문,2016.05.09,4
53,"""경제살려달라"" 133만명 호소…경제계, 여야에 전달",2016.02.22,4
54,민생구하기 서명운동 104만명…설연휴에도 식지않는 열기,2016.02.08,4
55,민생구하기 입법촉구 서명 99만명…100만돌파 초읽기,2016.02.05,4
56,100대 기업 최고령·최연소 임원은?,2015.09.22,4
57,"""30대그룹 상장사, 실적 줄어도 인건비는 매년 올라""",2015.05.26,4
58,"김상규 조달청장, 비축원자재 생산업체 현장방문",2015.03.24,4
59,"[동정] 김상규 조달청장, 울산시 초청 특강",2015.03.24,4
60,‘조달청 비철금속 모니터링단’ 출범,2015.03.11,4
61,"재계 CEO들 ""올해 더 어렵다"" 한목소리",2015.02.11,4
62,"재계, 투자활성화 위한 사업재편촉진 특별법 제안",2015.02.11,4
63,"고려아연·LGU+, 온산제련소에 정보보안시스템구축",2014.12.03,4
64,"연기금, 11년 만에 최장 기간 매도…왜",2020.08.19,5
65,"외국인, 2주 연속 '팔자'…LG화학 팔고 아모레퍼시픽 사고",2020.08.16,5
66,"고려아연, 2분기 영업익 1640억...전년比 32.3% 감소",2020.07.27,5
67,[주간HOT종목]치솟는 금·은 가격에 주목 받은 '고려아연',2020.07.26,5
68,金랠리 따라가는 銀·銅…원자재에 불어드는 '활기',2020.07.22,5
69,치솟는 구리가격에 ETF 수익률도 쑥쑥,2020.07.14,5
70,우려가 현실로 돌아왔다! 美가 中에 대해 희토류 견제 시작!,2020.06.09,5
71,[클릭 e종목] 고려아연 기대치 웃돈 1Q…영업익 전년比 15%↑,2020.04.28,5
72,"고려아연, 1Q 영업익 2043억…전년比15% ↑",2020.04.27,5
73,"구원투수 연기금, 외국인 방어 힘겹네",2020.03.20,5
74,"외국인, 4주 연속 '팔자'…한진칼 가장 많이 담아",2020.03.08,5
75,"고배당 내세운 고려아연, 기관 눈에 쏙",2020.03.06,5
76,"고려아연, 주당 1만4000원 현금배당 결정",2020.03.02,5
77,"외국인, 2주 연속 '팔자'…삼성전자 팔고 SK하이닉스 사고",2020.02.23,5
78,"외국인, 3주만에 순매수 전환…삼성전자 가장 많이 사들여",2020.02.09,5
79,"고려아연, 작년 영업익 8053억…전년비 5.3% 증가",2020.02.06,5
80,"[클릭 e종목]""고려아연, 실적 안정성 나타냈으나 모멘텀 필요""",2020.01.21,5
81,"작년 증시 성적표…外人·기관 웃고, 개미 울고",2020.01.01,5
82,"개미는 올해도 슬프다…순매수 톱10, 상승 종목 '0'",2019.12.31,5
83,외인·기관 쌍끌이 종목…올해 40~50% 뛰었다,2019.11.20,5
84,"고려아연, 3분기 영업익 2088억… 전년比 7.0%↑",2019.10.28,5
85,"[클릭 e종목]""고려아연, 아연 제련수수료·은 가격·환율 힘입어 실적↑""",2019.10.11,5
86,"연기금, 하반기 '나홀로 매수'…증시 구원투수 될까",2019.08.26,5
87,"외국인, 4주 연속 '팔자'…삼성전자우 사고 휠라코리아 팔고",2019.08.25,5
88,"영풍 계열사 배당, 창업주 일가 '품으로'",2019.08.05,5
89,"[지배구조 리포트]영풍, 순환출자 해소 핵심키 ‘씨케이’",2019.08.01,5
