,Title,Date,Category
0,'제11회 화학산업의 날' 개최…유공자 38명 포상,2019.10.31,2
1,"[2019 국감]성윤모 장관 ""제조업 성장기반 확충…산업구조 혁신 가속화""",2019.10.02,2
2,"산자위, '조국 펀드' 관련 익성·웰스씨앤티 대표 증인 채택",2019.09.24,2
3,"환노위, 국감 증인 채택…삼성·포스코건설은 빠져",2019.09.20,2
4,"석유화학업계, 2035년까지 14.5조 설비투자…1700명 규모 일자리 창출",2018.12.03,2
5,"산업부, 6일부터 대한민국화학산업대전 개최",2015.05.06,2
6,"""새 총리 우선 온실가스 감축정책 마련해야""",2015.02.09,2
7,삼성전자 초미세 20나노 D램 기술대상 대통령상 수상,2014.11.13,2
8,이명희 한남동 자택 공시가격 277억 '1위'… 꼴찌는 전남 신안군 170만원,2020.01.22,3
9,'제11회 화학산업의 날' 개최…유공자 38명 포상,2019.10.31,3
10,"[2019 국감]이태규 ""산은 지난 10년간 기업 구조조정에 22.6조 투입""",2019.10.14,3
11,"[2019 국감]성윤모 장관 ""제조업 성장기반 확충…산업구조 혁신 가속화""",2019.10.02,3
12,"공정위, 납품가 담합한 미창·브리코에 51억 과징금 부과",2019.07.15,3
13,[부동산Eye] 내년 주택공시가격 '껑충'…납세자 어깨 무거워진다,2018.12.29,3
14,부촌 한남동 공시가 50% 뛴다…송송커플도 종부세 폭탄 불가피,2018.12.26,3
15,"석유화학업계, 2035년까지 14.5조 설비투자…1700명 규모 일자리 창출",2018.12.03,3
16,"세계 무역구제기관들 '보호무역 극복' 한목소리…산업부, 국제포럼 개최",2018.07.03,3
17,"中, 한국산 화학원료에 반덤핑예비판정…수출영향 제한적",2017.11.22,3
18,"美무역위 ""韓페트수지 고율 관세 부과 예고"" 수출 타격 우려(종합)",2017.11.13,3
19,"산은 ""금호석화, '금호' 상표권 영구사용권 허용""",2017.10.12,3
20,"이동걸 산은회장, 박찬구 회장에 금호타이어 매각 협조 요청",2017.10.12,3
21,"산은, 금호타이어 1.3조 채권 만기 3개월 연장안 부의",2017.06.01,3
22,[슈퍼주총]힘들수록 '닥공' 나선 기업들,2017.03.17,3
23,"우리銀, 금호타이어 매각 막판 제동…“상표권 해결” Vs “국제시장 신뢰”",2017.03.09,3
24,韓 겨냥하는 각국 반덤핑관세 '총부리',2017.03.03,3
25,"美, 韓 합성고무에 최대 44% 반덤핑관세 '예비판정'",2017.02.18,3
26,화학업계 춘추전국시대…SK·한화토탈 3위 쟁탈전,2017.02.13,3
27,연초부터 몰아치는 공매도 바람,2017.02.10,3
28,"[2016년 산업계 10대 뉴스]눈물과 몰락, 사과와 해체…大격랑의 한해(종합)",2016.12.24,3
29,"정부, 석유화학 사업재편 점검…TPA 간담회 개최",2016.12.23,3
30,국민연금 주총 안건 10건 중 1건 반대,2016.12.14,3
31,"[삼성,지주사 전환]현대차그룹, 지배구조 개편 속도내나",2016.11.29,3
32,"박삼구 회장 ""박찬구 회장 곧 만날 것""…회동 전망",2016.08.12,3
33,"공정위 ""대기업집단 총 65곳""..카카오·셀트리온 벤처출신 첫 지정",2016.04.03,3
34,"금호석화, 지난해 영업익 11% 감소…시황 악화(상보)",2016.02.04,3
