,Title,Date,Category
0,"스웨덴서 교류전 관람한 文 ""e스포츠, 사랑받는 이유 알겠다""",2019.06.15,2
1,이재용의 삼성 사업장 방문 요청에 문 대통령 “공장·연구소 만들면 언제든지”,2019.01.15,2
2,"기업인들 청와대 초청한 문 대통령 ""고용 창출에 앞장서 달라""",2019.01.15,2
3,"문 대통령 ""기업건의 반드시 답변""…오늘 기업인 초청 '타운홀미팅'",2019.01.15,2
4,"문 대통령, 오늘 5대그룹 총수와 ‘타운홀 미팅’…계급장 떼고 자유토론",2019.01.15,2
5,"문 대통령, 5대그룹 총수와 '타운홀 미팅'…15일 청와대에서 기업인과 대화(종합)",2019.01.14,2
6,"문 대통령, 5대그룹 총수와 '타운홀 미팅'…15일 청와대에서 기업인과 대화",2019.01.14,2
7,"주52시간 직격탄 맞은 게임업계, 이낙연 총리 만나 고충 터놓는다",2018.11.28,2
8,오뚜기·쿠팡·넷마블 등 고용창출 100대 우수기업,2016.03.17,2
9,"[2015 국감]김학용 ""韓 문화 콘텐츠, 中 자본침식 심각""",2015.09.11,2
10,"박영선 ""신기술·재무구조 개선시에만 제3자 자사주 매각 허용""",2015.08.03,2
11,대기업 계열사 1684개…한달 새 11개 줄어,2014.11.03,2
12,"총수일가, 3.6%로 그룹 '주물럭'…""공익법인·해외계열사 우회출자 우려""",2020.08.31,3
13,"코웨이, 침수피해 정수기 무상점검",2020.08.14,3
14,"이상스쿨, 대학생 주식투자 경연대회 ‘쇼미더주식’ 성료",2020.08.04,3
15,"박영선 ""선한 의지가 모여 커다란 힘""…'스마트대한민국펀드' 출범식",2020.07.20,3
16,중소·중견기업 꽃을 든 CEO…코로나19 극복 릴레이,2020.06.06,3
17,이해선 코웨이 대표 '플라워 버킷 챌린지' 동참,2020.06.05,3
18,"'웅진북센'도 팔렸다…웅진그룹 ""재무구조 개선""",2020.05.08,3
19,"이해선 ""넷마블서 코웨이 새출발""…글로벌 지속성장",2020.03.30,3
20,"코웨이-SK매직, 새해 '렌털' 대전…'스마트·서비스'",2020.01.06,3
21,미디어SR ‘2019 대한민국 공익법인 백서’ 발간..국내 최일선 기업 공익법인 활동 현황 담겨,2020.01.03,3
22,"웅진코웨이, 1조7400억에 넷마블 품으로…인수 확정",2019.12.27,3
23,"공정위 ""게임 아이템·제주도 추가배송비·자동차촉매제 상품고시 명확히 해야""",2019.12.26,3
24,"산업자본 카카오, 카카오뱅크 최대주주 등극",2019.11.22,3
25,카카오뱅크 5000억원 유증 주금 납입…자본금 1조8000억,2019.11.21,3
26,'코디' 노조 활동에…새출발 웅진코웨이 선택은,2019.11.01,3
27,"카카오뱅크, 5000억원 유상증자 결의…자본금 1조8천억으로",2019.10.16,3
28,윤석금 웅진그룹 회장이 게임사 택한 이유,2019.10.14,3
29,"G마켓, 제휴 콘텐츠 서비스 오픈…첫 타자는 '모두의마블'",2019.08.22,3
30,백화점서 BTS·넷마블 게임 캐릭터 만난다…현대百 신촌점 리뉴얼,2019.07.23,3
31,"CU, 넷마블과 손잡고 '모두의 마블' 아이템 7만개 쏜다",2019.05.08,3
32,올해 M&A '빅딜' 줄줄이…역대 최대 규모 기록하나,2019.02.17,3
33,"이 총리 ""게임산업 커졌지만 부정적 인식 해결해야""",2018.11.28,3
34,독립경영 인정제도 변경 뒤 이용 활발…올해 7개 집단 40개사,2018.10.01,3
35,글로벌 시장 접수…2018년 3차 이달의 우수게임은?,2018.09.12,3
