,Title,Date,Category
0,'수출 1호' UAE 원전 가동…다음은 체코,2020.08.04,2
1,"한수원, 폴란드 신규원전 수주활동 본격 추진",2019.12.06,2
2,"서부발전, '청양군 농촌형 스마트타운 개발을 위한 양해각서' 체결",2019.10.25,2
3,한병도 이라크 특임 외교 특별 보좌관 대통령 특사로 이라크 파견,2019.01.24,2
4,"체코 총리 만난 문 대통령 '원전 세일즈'…""40년 무사고""",2018.11.29,2
5,"가스公, '석유·가스 자원개발 민간공기업 협약' 체결",2018.10.19,2
6,"민경욱 ""5년간 국토부 산하 발주 건설공사 담합 24건 적발""",2018.08.19,2
7,"북미정상회담 이후 남북경협 가시화…건설업계, 대북사업 준비 '잰걸음'",2018.06.13,2
8,사라진 건설 일자리…경영 악재에 잔뜩 움츠린 대형 건설사들,2018.05.30,2
9,대출·전매제한 피하자… '지방 주택시장' 눈길,2018.05.27,2
10,"김성태, 문 정권과 호반건설 간 유착 의혹 제기…네티즌 “문제 확실히 알고 접근해야”",2018.02.01,2
11,[전문]김성태 한국당 원내대표 교섭단체 연설문,2018.02.01,2
12,"한국당 김성태 ""대우건설 헐값매각 의혹…호반건설 특혜 우려""",2018.01.23,2
13,'3조5000억대' LNG탱크 담합 건설사·임직원…전원 '벌금형',2017.11.14,2
14,[2017국감]국토위 불려 나온 건설사 수장들(종합),2017.10.31,2
15,"[2017국감]건설사 수장들 ""사회공헌기금, 구체적인 업계협의 통해 내겠다""",2017.10.31,2
16,"""공사손실금 보상""…포스코건설 대우에 또 '패소'",2017.10.31,2
17,"[2017국감]건설현장서 매달 7명 사망…""안전 관리 부실""",2017.10.23,2
18,"[2017국감]임대주택전문 부영, 분양용토지 구입이 3.5배 많아",2017.10.16,2
19,또 극단적인 선택…비극의 검찰 수사 '잔혹사',2017.09.21,2
20,"3조5000억대 LNG탱크 담합 건설사들, 첫 재판서 '공소사실 인정'",2017.09.05,2
21,[박근혜 4년]대통령 4년차 징크스…5년 단임제의 숙명인가,2017.02.24,2
22,25일 '제3차 세계영사포럼' 개막,2016.10.25,2
23,"조정식 ""SOC 예산 감소…국회서 지원방안 찾겠다""",2016.09.08,2
24,"박창민 대우건설 사장 후보 낙하산 논란, 국회서 공방전",2016.08.08,2
25,"주인없는 가게 장사될리 없다…재계, ""오너십 절실한 시기""",2016.07.13,2
26,한-알제리 2차 항만개발협력사업 착수,2015.11.03,2
27,"환경부, 알제리·쿠웨이트 환경시장개척단 파견",2015.10.22,2
28,[기 못펴는 한글]①상표·간판서 밀리는 한글…왜?,2015.10.09,2
29,[2015국감]국토부 국감서 전세난·4대강 부채지원 등 비판,2015.09.11,2
30,[2015국감]이석우 다음카카오 대표 등 국토위 증인 출석,2015.09.11,2
31,"[2015 국감]국회 정무위, 신동빈 등 증인 41명 확정…기업인 대거 포함(상보)",2015.09.10,2
32,"[정기국회 전망]국토위, 지역구 민원 창구되나",2015.09.05,2
33,"경주 방사성폐기물 처분시설 준공…""38년만에 결실""",2015.08.28,2
34,'입찰 담합' 대우건설·대림산업 등 17개사에 329.5억 과징금,2015.08.04,2
35,"외교부, 주대구 모로코 명예총영사 김옥열씨에 인가장",2015.07.13,2
36,대형 국책사업 입찰담합..23개 건설사에 과징금 1827억원,2015.05.07,2
37,"가스공사, 민간기업 해외진출 견인",2015.04.29,2
38,"고용부, 장애인고용 외면하는 대기업 계열사 55곳 발표",2015.04.29,2
39,[전화의 정치학]성완종 권력과 흥망성쇠한 '전화',2015.04.17,2
40,"2015년 4월, 전국 45,384가구 일반 분양",2015.03.31,2
41,"대우·SK·현대건설, 보현산 다목적댐 공사 입찰담합",2015.03.09,2
42,"공정위, 새만금방수제 공사 입찰담합社 제재",2015.03.02,2
43,대기업 계열사 1671개..지난달과 동일,2015.03.02,2
44,"고용부 장관, 건설CEO 만나 ""현장 안전관리자 정규직 채용"" 요청",2015.02.25,2
45,수주는 이렇게 한다...대림의 브루나이 템부롱 교량 수주의 경우,2015.02.04,2
46,투발루 등 환태평양 도서국 15개국 장관 15일 서울 모인다,2014.11.22,2
47,아파트 거짓광고한 대우건설에 시정명령,2014.11.18,2
48,[2014국감]공정거래법 위반 과징금 1위는 GS칼텍스…5년간 2355억원,2014.10.20,2
49,"[2014국감]환노위, 현대차 사장 등 증인채택 합의",2014.10.16,2
50,"""임대 30% 되기 전에…"" 사업 서두르는 재개발",2020.08.14,3
51,표류하는 아시아나항공 인수전…결론은 '재매각',2020.08.09,3
52,아시아나 노딜 소송전 예고…책임 떠넘기며 '네 탓 공방',2020.08.07,3
53,'수출 1호' UAE 원전 가동…다음은 체코,2020.08.04,3
54,"체코·루마니아·이집트·캐나다…한수원, 해외원전 사업 잰걸음(종합)",2020.07.21,3
55,"삼성물산·현대건설 등 10대 건설사, 표준하도급계약서 100% 활용·하도급대금 전액 현금 지급키로",2020.07.16,3
56,"한수원, 두중 등과 '팀코리아' 꾸려 체코원전 사업수주 총력",2020.07.14,3
57,"둔촌주공, ""HUG와 상한제 중 높은 분양가로 분양하자""",2020.07.10,3
58,"대우건설, '세운 푸르지오 헤리시티' 부적격 잔여세대 선착순 공급",2020.06.22,3
59,[실전재테크] 규제 전 마지막 大물량… '핫서머' 분양시장,2020.06.17,3
60,"대우건설, 새로운 푸르지오 광고 캠페인 선보여… 실제 시공 단지에서 촬영",2020.06.12,3
61,"대우건설, '세운 푸르지오 헤리시티' 인근 시장에 KF94 마스크 전달",2020.06.08,3
62,이번 주 전국 2만 가구 '분양 대잔치',2020.06.08,3
63,"신반포15차 이어 반포3주구까지, 래미안의 '화려한 귀환'",2020.06.01,3
64,쌍용차·두산·대한항공 등 위기의 기업들…다음주 운명의 한 주,2020.05.19,3
65,"서핑에 최적화된 인공 파도, 시화MTV ‘웨이브파크’에 도입돼",2020.05.08,3
66,"5월, 재개발 · 재건축 역대 최대 물량 쏟아진다",2020.05.06,3
67,'드라이브 스루'부터 '재건축 리츠'까지… 기상천외해지는 정비사업,2020.05.05,3
68,"공정위, 64개 '공시대상기업집단' 지정…IMM인베스트먼트, PEF 전업집단 첫 사례",2020.05.03,3
69,분양가상한제 전 마지막 청약… 서울에만 2만 가구,2020.05.01,3
70,분양가 억지 규제… 정비사업 '꼼수' 키운다,2020.04.23,3
71,"선호도 높은 대형 건설사 아파트, 2분기 5만5000가구 분양",2020.04.15,3
72,쌓인 과제 첫 실타래 푸는 이동걸 회장…KDB생명 매각 임박(종합),2020.04.13,3
73,KDB생명 매각 임박…과제 실타래 푼 이동걸 회장,2020.04.13,3
74,발코니 확장비에 붙박이 가구 포함 금지… 분양가 산정기준 다음달부터 개선,2020.02.27,3
75,반포1 3주구 수주전 '래미안의 출격',2020.02.19,3
76,반포1 3주구 시공사 재선정 돌입... 준수서약서 받고 신고센터까지 운영,2020.02.17,3
77,신종 코로나 여파로 견본주택 개관 취소 · 지연 잇따라,2020.02.03,3
78,"무역보험공사, 나이지리아 LNG플랜트 4400억원 수출금융",2020.01.30,3
79,규제 풍선효과… '수원'도 올라탔다,2020.01.30,3
80,"SK건설, 올해 5개 단지 1만966가구 공급",2020.01.16,3
81,"고용부, 노동자 사망사고 등 산재 사업장 1420곳 명단 공개",2019.12.31,3
82,미분양 관리지역 경북 포항서 분양 2년만에 완판 '주목',2019.12.18,3
83,"대우건설, 원격 드론관제시스템 구축…공사 현장 실시간으로 살핀다",2019.12.09,3
84,"한수원, 폴란드 신규원전 수주활동 본격 추진",2019.12.06,3
85,반포3주구 재건축에 '빅7 건설사' 입찰의향서…사업 재개 '물꼬',2019.12.03,3
86,분양가 샅바 싸움에 밀린 위례·과천 공공분양… 문제는 내년(종합),2019.11.27,3
87,분양가 줄다리기에… 해 넘기는 '공공분양',2019.11.27,3
88,'힐스테이트 푸르지오 주안' 다음달 분양… 1915가구 일반 분양,2019.11.20,3
89,민간택지 분양가상한제 시행됐지만… 공공택지 '분양가 적정성' 논란,2019.10.30,3
90,"서부발전, '청양군 농촌형 스마트타운 개발을 위한 양해각서' 체결",2019.10.25,3
91,국내 주택브랜드 지각 변동… 도시 정비사업  총아(寵兒)로 떠오른 ‘효성 해링턴 플레이스’,2019.10.23,3
92,"GS건설, '1.8兆' 한남3구역 입찰 앞두고 설계안 공개한다",2019.10.14,3
93,다음주 전국 7426가구 분양…견본주택 13곳 개관,2019.10.12,3
94,"""단지이름도 톡톡 튀게""…대형 건설사 '네이밍 마케팅' 열전",2019.10.06,3
95,"[2019아시아건설대상] 김원이 서울시 부시장 ""건설산업 글로벌 경쟁력 키워야""",2019.09.26,3
96,[2019아시아건설대상] 상생협력 앞장선 현대건설·대림산업·대우건설·한신공영 국토부 장관 표창,2019.09.26,3
97,"[부린이 청약 가이드] ""여기 몇 평이요?"" 아니라… ""전용면적이 얼마나 돼요?""",2019.09.14,3
98,분양가상한제 확대 앞두고 청약시장 폭발… 3만6000명 몰렸다,2019.09.05,3
99,"""산은, 손상차손 4.3조 발생…주식 가치 증대 필요해""",2019.08.27,3
100,"[르포]혼돈의 둔촌주공, 현장 가보니…""긴급 이사회 안 합니다""",2019.08.13,3
101,분양시장도 여름휴가中…다음주 전국 2곳 1764가구 1순위 청약,2019.08.10,3
102,"대우건설, 2019 꿈나무 초대행사 진행",2019.08.02,3
103,"대우건설, 광양시와 국공립어린이집 설치 업무협약 체결",2019.08.01,3
104,"대우건설, 상반기 영업익 2003억…전년 比 42%↓(종합)",2019.07.31,3
105,과천 푸르지오 써밋 견본주택 1.5만명 방문…다산 자연앤푸르지오도 '북적',2019.07.29,3
106,[르포]'3.3㎡당 3998만원' 과천 푸르지오 써밋… 흥행 성공할까(종합),2019.07.26,3
107,"과천 푸르지오 써밋 조합, ""우린 후분양이 아닌 중분양""",2019.07.26,3
108,[르포]'3.3㎡당 3998만원'… 과천 푸르지오 써밋 '흥행' 성공 가능?,2019.07.26,3
109,"대우건설, 인천 남동구와 '논현 푸르지오' 국공립어린이집 설치 MOU 체결",2019.07.25,3
110,"'후분양 아파트' 과천 푸르지오 써밋, 26일 견본주택 개관",2019.07.23,3
111,"대우건설, 부산 괴정3구역 재건축정비사업 시공사 선정",2019.07.22,3
112,"대우건설 상생협의체, 홀트일산복지타운에 후원물품 기부",2019.07.18,3
113,"""대우건설 매각 보다는 가치 높이는 게 우선""",2019.07.17,3
114,"""해외 부진한데 국내 주택시장까지 흔들리나"" 고민 빠진 건설사",2019.07.11,3
115,"대우건설, 내년 상반기 스마트 푸르지오 플랫폼 선보인다",2019.07.11,3
116,"대우건설, 고척제4주택재개발정비사업 시공사 선정",2019.07.05,3
117,"대우건설, 희망의 집 고치기 재능기부 봉사활동",2019.07.04,3
118,"대우건설 ""고척4구역 시공권 확보한 것…무효표 처리에 문제""",2019.06.30,3
119,"대우건설, 차세대 5ZSS로 범죄 없는 아파트 도전한다",2019.06.20,3
120,대전 중천·운정신도시 '푸르지오' 견본주택에 4.5만명 몰려,2019.06.17,3
121,"대우건설, 운정신도시 파크 푸르지오 분양",2019.06.13,3
122,"대우건설, 대전 중구 '중촌 푸르지오 센터파크' 분양",2019.06.11,3
123,"대우건설, 을지로 시대 개막…신사옥으로 이전",2019.06.04,3
124,"대우건설, 미세먼지 제어·공기청정 기능 강화…'차세대 5ZCS' 선봬",2019.05.08,3
125,"대우건설, 2330억 규모 이라크 컨테이너터미널 공사 수주",2019.05.08,3
126,"5월, 전국 6만2000여 가구 분양…작년 2배·2000년 이후 역대 '최대'",2019.05.05,3
127,대우건설 대학생 홍보대사 16기 활동 시작,2019.05.03,3
128,"대우건설, 신입사원 부모님 초청행사 '꽃보다 귀한 그대' 진행",2019.05.02,3
129,"대우건설, 1분기 영업이익 985억…전년 比 46% 감소",2019.04.30,3
130,건설사가 입주자 모르게 '샘플하우스'로 사용…불공정약관 시정,2019.04.30,3
131,유튜브 채널 공들이는 건설업계…분양소식부터 웹드라마까지,2019.04.28,3
132,"대우건설, 엔지니어링공제조합과 금융 파트너쉽 업무협약 체결",2019.04.26,3
133,"대우건설, 안전체험공간 리뉴얼 확대 개관",2019.04.25,3
134,"산은, 25일 이사회 열어 구조조정 전문 자회사 출범",2019.04.24,3
135,"대우건설, 분양·입주 소식 유튜브 채널서 전한다…'푸르지오 라이프' 오픈",2019.04.24,3
136,"대우건설, 2차 ‘희망의 집 고치기’ 봉사활동 전개",2019.04.18,3
137,서울 '거래절벽' 심화하는데…'그들만의 리그' 초고가 주택은 굳건,2019.04.17,3
