,Title,Date,Category
0,"[아시아초대석] ""코로나 약물 심사기간 5.7일로 줄여…시간과의 싸움중""",2020.07.27,2
1,"성윤모 장관 ""의약품 등 유망 품목, 수출활력 제고 대책에 담을 것""",2019.02.25,2
2,"삼성바이오 ""유방암 치료제, 장기추적서 오리지널과 유사""",2018.12.09,2
3,"정재찬 공정위원장 ""공정거래, 기업의 자발적 의지가 중요""",2015.04.01,2
4,"중기부, 대웅제약에 과태료 500만원 부과…""기술침해 행정조사 거부""",2020.03.25,3
5,"이낙연 총리 ""44년만에 국민소득 55배…상공인 헌신 덕분""(종합)",2019.03.20,3
6,"박용만 회장 ""파격적 규제개혁 이뤄져 산업화 분위기 조성되길""",2019.03.20,3
7,"성윤모 장관 ""의약품 등 유망 품목, 수출활력 제고 대책에 담을 것""",2019.02.25,3
8,"""고립된 난치병 환자들, 블록체인으로 잇겠다""",2018.09.07,3
9,'리딩코리아 잡페스티벌' 코엑스 개최,2017.11.20,3
10,"범정부 채용박람회 '2017 리딩 코리아, 잡 페스티발' 개최",2017.11.05,3
11,"정부 채용박람회, '2017 리딩 코리아, 잡 페스티벌' 개최",2017.11.05,3
12,"KOTRA, 2017 외국인 유학생 채용박람회 개최",2017.09.13,3
13,"롯데홈쇼핑, 토크쇼 형태 뷰티 전문 프로그램 신규 론칭",2016.11.04,3
14,700년된 고려불화 '수월관음도' 고국으로 돌아왔다,2016.09.26,3
15,"대웅제약 ""2020년까지 해외매출, 국내매출 넘겠다""",2016.02.24,3
16,대웅제약 '엘도스' 매출 1년새 8% 증가,2016.02.22,3
17,제약업계 규제개선 요구 '봇물'…규제 대못 뽑힐까,2016.02.19,3
18,"대웅제약, '우루사' 신규 광고 방영…""문제는 간피로""",2016.02.15,3
19,"발기부전치료제, 3·7·12월이 '대목'인 까닭",2016.02.03,3
20,"대웅, 윤재훈 전 부회장 1만7317주 장내매도",2016.01.28,3
21,어닝쇼크 종목 담는 청개구리 투자,2016.01.26,3
22,[특징주]의약품업종 선방…유한양행 7.47% 상승,2016.01.15,3
23,"대웅제약, 서울어린이대공원에 '무장애통합놀이터' 준공",2016.01.14,3
24,휠체어 타고 놀이기구 즐긴다…서울어린이대공원 '꿈틀놀이터' 개장,2016.01.13,3
25,심상찮은 상장 제약사 시가총액…종근당 61%↑,2016.01.10,3
26,"대웅제약, 올해 시무식서 '글로벌 제약기업' 도약 다짐",2016.01.04,3
