,Title,Date,Category
0,"'동선(動線)의 정치학', 文대통령 민생·경제살리기 방점",2020.02.13,2
1,"文대통령 ""코로나19, 머지않아 종식…경제회복 흐름 되살려야""",2020.02.13,2
2,따뜻한 유통업계…연말 나눔 형렬 속속 동참,2018.12.16,2
3,"성윤모 산업부 장관 ""대기업과 간담회 곧 마련할 것...현장경영지속""",2018.10.12,2
4,"신남방특위, 아세안 진출 기업과 간담회…""기업 목소리 정책에 반영""",2018.10.04,2
5,"이상훈 사장, 공정위-5대그룹 간담회 삼성 대표로 참석",2017.11.02,2
6,"황각규 롯데 부회장 ""작년 말 사임 표명…후진에 기회 줄 시점""",2020.08.25,3
7,[프로필]정영철 롯데지주 비서팀장,2020.08.13,3
8,'롯데 2인자' 황각규 퇴진…사원에서 부회장까지 '샐러리맨 신화',2020.08.13,3
9,'롯데 2인자' 황각규 부회장 사임…경영 일선에서 물러난다,2020.08.13,3
10,롯데家 지분 상속…故신격호의 선택은 신동빈,2020.07.31,3
11,"신격호 유산 1조원, 자녀 4명이 분할 상속…상속세만 4500억원",2020.07.29,3
12,"롯데액셀러레이터, 스타트업 투자 유치 위한 '엘캠프 온라인 데모데이' 개최",2020.07.29,3
13,"신동빈 ""외환위기 때보다 심각한 '70% 경제'…살 길 찾아야""",2020.07.14,3
14,"""살아남을 길 찾아야""…신동빈 롯데 회장, 사업전략 재검토 주문",2020.07.14,3
15,"롯데지주, 전 임직원 대상 '복장 자율화'…TPO 고려",2020.07.01,3
16,"롯데, 디지털 전환 주도할 IT 인재 확보에 총력",2020.06.30,3
17,"롯데 신동빈 회장, 올해 첫 공식석상은 '시그니엘 부산'(종합)",2020.06.17,3
18,"롯데 신동빈 회장, 올해 첫 공식석상은 '시그니엘 부산'",2020.06.17,3
19,"롯데 신동빈, '아픈손가락' 호텔 직접 챙긴다…17일 부산행",2020.06.16,3
20,"롯데지주, 영유아 발달진단 및 치료에 2억원 지원",2020.06.10,3
21,"지주·쇼핑 이어…롯데면세점, 스마트 워크 체제 전환",2020.06.08,3
22,"롯데, HR 담당자 660명 대상 온라인 '2020 HR 포럼' 개최",2020.06.03,3
23,"온라인 쇼핑 통합나선 '롯데온', 2시간 내 '바로배송'으로 승부수",2020.05.27,3
24,"롯데, '나다움 어린이책' 3200권 한부모 가족에 전달",2020.05.25,3
25,"롯데지주, 주 1일 재택근무 도입…신동빈 회장 솔선수범",2020.05.22,3
26,"황각규 롯데 부회장, 진천 택배 메가 허브 건립 현장 방문…포스트 코로나 점검",2020.05.21,3
27,"롯데, 위기 극복 위한 '위닝 스피릿' 심는다",2020.05.13,3
28,"롯데그룹, 애프터코로나 선제적 대응 나선다",2020.05.10,3
29,"화훼농가 돕기 나선 유통업계, 최고경영진은 '플라워 버킷 챌린지'",2020.05.09,3
30,"신동주, 日 롯데홀딩스에 '신동빈 이사 해임안' 제출",2020.04.28,3
31,"롯데, 독거노인 1500명에 ‘롯데 플레저박스’ 전달",2020.04.24,3
32,"롯데지주·쇼핑 임원들, 코로나19 위해 급여 자진반납",2020.04.20,3
33,"롯데지주 황각규 부회장, 화훼농가 돕기 릴레이 캠페인 참여",2020.04.09,3
34,"""주가 하락 막아라"" 롯데쇼핑, 강희태 대표 등 자사주 매입",2020.03.26,3
35,"""사업전략 재검토 해야""…신동빈 회장, 비상경영회의 소집",2020.03.25,3
36,"신동빈 롯데 회장 등 주요 임원들 자사주 매입…""책임경영 실현""",2020.03.20,3
37,"롯데, 2020 자원 선순환 프로젝트 계획 발표",2020.02.19,3
38,"황각규 부회장, 文대통령에 특단의 대책 요청…""롯데호텔 2만8000건 객실 취소""",2020.02.13,3
39,화해 제스처 취하는 신동빈·동주…'형제의 난' 재발할까,2020.01.21,3
