,Title,Date,Category
0,"文대통령, 말레이시아 총리와 정상회담…""경제협력 확대…FTA체결 노력""",2019.11.28,2
1,"[2019 국감]성윤모 장관 ""제조업 성장기반 확충…산업구조 혁신 가속화""",2019.10.02,2
2,"산자위, '조국 펀드' 관련 익성·웰스씨앤티 대표 증인 채택",2019.09.24,2
3,"환노위, 국감 증인 채택…삼성·포스코건설은 빠져",2019.09.20,2
4,"韓-우즈벡, 비즈니스포럼 개최…文대통령 ""'新실크로드' 기대""",2019.04.19,2
5,'文대통령도 와 있는데'…구멍 뚫린 재외국민 안전,2019.03.15,2
6,"석유화학업계, 2035년까지 14.5조 설비투자…1700명 규모 일자리 창출",2018.12.03,2
7,[양낙규의 Defence Club]中사드반발 적반하장인 3가지 이유,2017.03.04,2
8,불붙은 美·中갈등에 대북제재 균열조짐,2016.12.05,2
9,금탑산업훈장에 이재하 삼보모터스 회장·손동창 퍼시스 회장,2016.03.16,2
10,자동차융합 얼라이언스 발전전략 포럼 개최,2016.02.17,2
11,애썼다 수출…佛 제치고 사상 첫 6위,2015.12.07,2
12,세계 수출 6위 상승…무역유공자 등 2008명 수상,2015.12.07,2
13,제52회 무역의날…서경배 회장 등 금탑산업훈장 수상,2015.12.06,2
14,수출액 급감 석화·철강 영업이익은 되레 늘었다,2015.08.18,2
15,"野 ""롯데 지배구조 개선, 국민연금이 나서라""",2015.08.05,2
16,"최경환 ""한-우즈벡, 인프라 개발 적극 협력할 계획""",2015.05.26,2
17,"산업부, 6일부터 대한민국화학산업대전 개최",2015.05.06,2
18,"현대차 등 주요 대기업 21개사, 올 상반기 신입 5749명 뽑는다",2015.03.25,2
19,"[포토]윤상직 ""34조원 투자프로젝트 차질없이 추진 노력하겠다""",2015.02.11,2
20,"산업부, R&D 과제에 여성연구원 3000명 채용",2014.09.15,2
21,"황각규 롯데 부회장 ""작년 말 사임 표명…후진에 기회 줄 시점""",2020.08.25,3
22,'롯데 2인자' 황각규 퇴진…사원에서 부회장까지 '샐러리맨 신화',2020.08.13,3
23,'롯데 2인자' 황각규 부회장 사임…경영 일선에서 물러난다,2020.08.13,3
24,"신동빈 ""외환위기 때보다 심각한 '70% 경제'…살 길 찾아야""",2020.07.14,3
25,"가스안전公, 석유화학공장 안전연구회 개최",2020.07.10,3
26,"롯데지주, 전 임직원 대상 '복장 자율화'…TPO 고려",2020.07.01,3
27,"롯데, 인도네시아에 국산 코로나19 진단키트 3만개 기부",2020.06.09,3
28,"보험사 1분기 순이익 26%↓…""2분기도 개선 불투명""",2020.05.26,3
29,"환경부, SK·LG 등 석유화학 기업 6곳과 6000억 환경투자 협약",2020.05.26,3
30,에너지 수입 늘어…대미 무역수지 흑자 한미 FTA 후 '최저',2020.03.15,3
31,"롯데그룹, 코로나19 확산 방지 위해 10억원 지원",2020.02.26,3
32,"롯데, 2020 자원 선순환 프로젝트 계획 발표",2020.02.19,3
33,신동빈이 짊어진 '롯데2막'…아직 완성되지 않은 지배구조,2020.01.20,3
34,[신격호 별세] '롯데 2막' 맡은 신동빈 회장의 숙제는,2020.01.19,3
35,"유통업계, 실적악화에도 '납품대금 조기 지급' 동반성장 나서",2020.01.18,3
36,"롯데 사장단에 신동빈 작심일침…""적당주의 버리고, 변화 모색""",2020.01.16,3
37,'비상경영' 롯데 인사 3大 키워드는…'50대·원톱·글로벌',2019.12.19,3
38,[인사]롯데그룹 정기 임원인사,2019.12.19,3
39,"전국 소방관과 함께 가는 친구, 롯데! 월트디즈니 <데케이드 인 콘서트>에 소방관 가족 초청해",2019.11.27,3
40,아이넷방송 박준희회장  “2019년 한국시니어과학기술인협회 학술 대회 개최”,2019.11.06,3
41,"롯데, 장애에 대한 편견의 벽 허물기 위한 '슈퍼블루마라톤' 개최",2019.10.06,3
42,"[2019 국감]성윤모 장관 ""제조업 성장기반 확충…산업구조 혁신 가속화""",2019.10.02,3
43,"산업부 ""美 상무장관, 日수출규제 조속한 해소 필요 공감""",2019.09.25,3
44,"롯데, 국내그룹 최초 '지속가능발전목표' 이행 보고서 발간",2019.08.28,3
45,대형마트의 상생…추석 협력사 대금 '조기 지급' 나섰다(종합),2019.08.23,3
46,"""협력사 자금난 없도록""…유통가, 추석 납품대금 조기지급 줄이어(종합)",2019.08.22,3
