,Title,Date,Category
0,"정의당 배진교, 삼성 주가 조작 의혹 문건 공개…'악재 선반영' (종합)",2020.07.29,2
1,한국發 입국금지 149개국으로 감소…'코로나19' 봉쇄 불구 12개국서 기업인 5635명 예외 입국,2020.05.23,2
2,삼성 계열사·협력사 직원 215명 중국行…한중 '신속통로' 제도 적용,2020.05.10,2
3,"에너지공단, '2019년 ESP 성과공유 워크숍' 개최",2019.11.22,2
4,"에너지공단, '2019년 우수사업장 인증서 수여식' 개최",2019.11.15,2
5,학교·마트 '숨은 위협'…ESS 화재 미스터리 해법은,2019.10.04,2
6,"산자위, '조국 펀드' 관련 익성·웰스씨앤티 대표 증인 채택",2019.09.24,2
7,"'빨리 빨리'가 부른 ESS 화재…정부, 뒤늦은 안전대책 강화",2019.06.11,2
8,"""ESS 과속이 화 불렀다""…정부, 전주기 안전성 강화",2019.06.11,2
9,"외국인, 보름간 韓 주식 2.4兆 매수…반도체가 절반",2019.04.17,2
10,韓 전기차 배터리 국제표준화 주도로 제품경쟁력 강화,2019.03.10,2
11,주현 중소기업비서관 재산 135억…靑 참모 중 1위,2018.01.26,2
12,[경제 되살릴 百年路] 상법·공정거래법 개정안…올 기업경영 암울,2018.01.02,2
13,‘삼성 소송’ 가능성도 불사한 김상조 위원장,2017.12.21,2
14,[일문일답]김상조 “이재용 부회장 2심결과 바뀌어도 가이드라인 그대로”,2017.12.21,2
15,김상조 “공정위 순환출자 가이드라인 변경…삼성 400만주 추가매각해야”,2017.12.21,2
16,"문 대통령, 동남아로 외교 지평 넓히고 中 관계 정상화",2017.11.15,2
17,'경제사령탑' 김동연 재산 21.6억…김현철 54.3억,2017.09.22,2
18,"김현철 54억, 강경화 35억, 박수현 -6400만원…文 정부 고위공직자 재산공개",2017.09.22,2
19,"이재용 ""아버지 와병 때문에 승마협회 신경 못썼다""",2017.08.02,2
20,"공정위 전 부위원장, ""삼성 순환출자 고리 해소 靑 압력 없었다""",2017.05.26,2
21,삼성SDI 개발한 리튬전지… 첫 3000t급 잠수함 탑재,2017.03.23,2
22,"특검, 이재용 영장 재청구 이르면 오늘 결정(종합)",2017.02.14,2
23,"특검, 이재용 영장 재청구 이르면 오늘 결정",2017.02.14,2
24,"이재용, 특검서 15시간 조사 끝 귀가…영장 재청구 15일께 결정",2017.02.14,2
25,"특검 재소환에…긴장한 이재용 ""특검에서 성심껏 말하겠다""",2017.02.13,2
26,"특검, 내일 이재용 부회장 재소환…장충기·최상목 소환조사중(종합)",2017.02.12,2
27,[사드 신음]경제 ‘사드 신음’ 커진다,2017.01.03,2
28,[사드 신음]새해벽두부터 韓中 '사드 충돌',2017.01.03,2
29,"""청와대에 꼭 필요한 보좌관은 소통 전문가""",2016.11.04,2
30,"황 총리 ""中어선 불법조업, 전기차배터리 보조금 해결해달라""",2016.06.29,2
31,"정부, 中 전기차 배터리 보조금 정책에 문제제기",2016.02.23,2
32,"재계, 내년까지 에너지신산업에 총 8.2조원 투자",2016.02.15,2
33,현대차 아이오닉 전기차 6월 출시…삼성SDI는 ESS에 3조 투입,2016.02.01,2
34,'세계시장 점유율 99%' OLED 산업 어디로 가나…포럼 개최,2016.01.28,2
35,신일·삼성전자·현대차 등 일자리창출 '톱'…비정규직도 포함,2015.11.30,2
36,"남부발전, 제주에 상업용 풍력연계 ESS 구축",2015.11.11,2
37,국내 최대 에너지분야 전시회 '에너지플러스' 개막,2015.10.20,2
38,"전기자전거, 속도·무게 줄여 자전거도로 진입한다",2015.09.13,2
39,"4년간 해외서 담합 적발된 국내기업, 과징금만 1조 넘어",2015.09.09,2
40,"[포토]윤상직, 삼성SDI서 2차전지 수출확대방안 논의",2015.05.10,2
41,"기술표준원, 17개 신기술 인증 선정",2015.04.24,2
42,전기車 3년내 4만7000대 보급…에너지신산업 1조8000억 투자,2015.04.22,2
43,'롯데 2인자' 황각규 퇴진…사원에서 부회장까지 '샐러리맨 신화',2020.08.13,3
44,"삼성, 국내 20만 임직원 '분산휴가' 권고…코로나 확산방지·내수 활성화",2020.07.12,3
45,국가인적자원개발컨소시엄 최우수 공동훈련센터 시상식 22개사 선정돼,2020.06.16,3
46,다음달로 넘어간 두산重 정상화 방안…매각대상 놓고 이견,2020.05.27,3
47,또 논란만 남긴 ESS 2차 조사위,2020.02.08,3
48,"ESS 화재 2차 조사단 ""5건 중 4건이 배터리 탓""(종합)",2020.02.06,3
49,"ESS 화재 2차 조사단 ""5건 중 4건이 배터리 탓""",2020.02.06,3
50,"삼성화재, 창립 68년만에 첫 노조 설립",2020.02.02,3
51,같은 배터리셀 쓰는데…해외는 왜 멀쩡할까,2020.01.15,3
52,"""늘리고 보자""…ESS 화재, 민관의 총체적 부실",2020.01.15,3
53,"[단독]ESS 화재 2차조사위, 오늘 오후1시 강남서 최종회의…막판 공방",2020.01.15,3
54,갈길 먼 '미래' 바이오헬스·이차전지…2019년 수출 3% 기여,2020.01.04,3
55,"에너지공단, '2019년 ESP 성과공유 워크숍' 개최",2019.11.22,3
56,"에너지공단, '2019년 우수사업장 인증서 수여식' 개최",2019.11.15,3
57,보험사 '퇴직연금 일감' 제 식구에 몰아주기,2019.10.30,3
58,학교·마트 '숨은 위협'…ESS 화재 미스터리 해법은,2019.10.04,3
59,"동화기업, '파낙스이텍' 인수완료…'전해액' 기술독립",2019.08.14,3
60,"동화기업, 전해액 제조업체 '파낙스이텍' 인수",2019.07.12,3
61,"'빨리 빨리'가 부른 ESS 화재…정부, 뒤늦은 안전대책 강화",2019.06.11,3
62,"""ESS 과속이 화 불렀다""…정부, 전주기 안전성 강화",2019.06.11,3
63,"정부 ""ESS 화재원인 결과 6월초 발표…가동중단 피해 보상할 것""(종합)",2019.05.02,3
64,"정부 ""ESS 화재원인 결과 6월초 발표""",2019.05.02,3
65,"세븐일레븐 ""獨 다름슈타트 비즈니스스쿨 견학단, 시그니처 매장 방문""",2019.04.02,3
66,中 시안이 삼성 '미래산업 최전방기지',2019.03.25,3
67,삼성 '中 시안 프로젝트' 추진,2019.03.25,3
68,"전영현 삼성SDI 사장 ""차별화된 기술로 수익성 중심 성장 추구""",2019.03.20,3
69,韓 전기차 배터리 국제표준화 주도로 제품경쟁력 강화,2019.03.10,3
70,"전영현 삼성SDI 사장 ""높이 나는 새는 명중되지 않는다""",2019.01.02,3
71,"정부, 내달부터 국내 ESS 사업장 1300곳 안전진단 실시",2018.11.28,3
72,"삼성 백혈병 피해보상 담당할 보상위, 12월 사무국 개설...올해안 보상 시작",2018.11.25,3
73,"삼성 “노력부족 인정, 보상에 최선다할것”…반올림 “계열사까지 적용해야”(종합)",2018.11.23,3
74,"LG화학·삼성SDI·SK이노, 차세대 배터리 1000억 펀드 조성",2018.11.12,3
75,"이재용 부회장 ""베트남 투자 규모 확대할것...기업하기 좋은 나라""",2018.10.31,3
76,"삼성SDI, 디스플레이 사업 철수 이후 첫 ""부활의 날갯짓""(종합)",2018.10.26,3
77,"삼성SDI, 전년비 영업익 300% 급증...""반도체·전기차 호황 누렸다""(상보)",2018.10.26,3
78,삼성SDI 3분기 영업이익 2415억원·매출액 2조5228억원(속보),2018.10.26,3
79,"'40년 삼성맨' 박근희, 이재현의 男…""이채욱 바톤 받아 CJ 경영 이끈다""",2018.10.23,3
80,"""반도체 없어도""...삼성전기 신기록 경신·LGD 흑자전환, 부품업계 실적주간",2018.10.22,3
81,"정세웅 삼성SDI 부사장 ""전기차 배터리 가격 111 달러까지 내려가야""",2018.10.11,3
82,"삼성SDI, '인터배터리 2018' 참가...1회 충전·500km 주행 기술 공개",2018.10.10,3
83,"삼성전기·화재, 물산지분 전량 처분... 순환출자 모두 해소(상보)",2018.09.20,3
84,"삼성전자, 추석 앞두고 어려운 이웃에 10억원 상당 부식품 제공",2018.09.19,3
85,추석 상여금도 대기업-중소기업 '부익부 빈익빈',2018.09.16,3
86,"삼성 하반기 공채 GSAT, 다음달 21일 시행",2018.09.16,3
87,"삼성, 추석 맞아 협력사 물품대급 1조원 조기 지급·직거래 장터 개최",2018.09.16,3
88,2018 DJSI 월드 지수 韓기업 20곳 편입…지난해 대비 3곳 줄어,2018.09.13,3
89,"삼성SDI, 천안 사업장 신규라인 증설...소형 전지 생산량 늘린다",2018.09.12,3
90,전기자전거 타는 '출퇴근족' 늘자 배터리 업계 함박 웃음,2018.09.07,3
91,[단독]'삼성맨'에 키 맡기는 한국제지…안재호 前삼성SDI 부사장 새 대표로,2018.08.30,3
92,"삼성의 '일자리 화답'...9월 공채, 역대 최대 수준 예고",2018.08.07,3
93,"삼성SDI, '갤노트 사태' 극복하고 영업익 28배 낸 비결은...""ESS·전기차 배터리""",2018.07.30,3
94,"[삼성SDI 컨콜] ""하반기에도 실적 좋다...ESS 수요 지속될것""(종합)",2018.07.30,3
95,"삼성SDI, 스마트폰 대신 자동차·ESS로 '실적 반전' 1년새 영업이익 28배(종합)",2018.07.30,3
96,"삼성SDI, 2분기 영업이익 전년比 2696% 증가...""스마트폰 대신 자동차""(상보)",2018.07.30,3
97,"삼성SDI, 2분기 매출 2.2조원·영업이익 1528억원(속보)",2018.07.30,3
98,"삼성전자 ""작업환경보고서 일부만 공개...기업환경 이해한 결정""",2018.07.27,3
99,"중앙행심위, 삼성 작업환경보고서 부분 공개",2018.07.27,3
100,"'순실 트라우마' 삼성, 사회공헌비 줄였다...""기부금 내기 부담스러워""",2018.07.19,3
101,"전영현 삼성SDI 사장 ""실패 용인하는 혁신 기업 만들자""",2018.07.01,3
102,"삼성SDI, 'ESS 유럽 2018' 참가...가정용 고전압 ESS 모듈 전시",2018.06.21,3
103,"백운규 장관 ""中 반도체 견제 계속될 것…애로해소 지속 요구""",2018.06.08,3
104,"삼성전자, 처음으로 노동조합 설립",2018.05.31,3
105,"삼성SDI 작업환경측정보고서 공개도 보류결정...""기술 유출 우려""",2018.05.11,3
106,"삼성SDI, 헝가리 공장 가동 시작…""유럽 車 배터리 시장 기선제압""",2018.05.04,3
107,"[삼성SDI 컨콜] ""전지수요 빠르게 증가…설비투자 늘릴것""(종합)",2018.05.02,3
108,"삼성SDI, 1분기 영업이익 720억원....전분기 대비 3.1% 증가",2018.05.02,3
109,"삼성 ""이재용 동일인 변경, 달라질 것 없다""",2018.05.01,3
110,재계에 불어닥친 '삼성 8000명 직접고용' 후폭풍,2018.04.18,3
111,"이재용 부회장, 복귀 2개월만에 삼성 경영 본격 속도내나",2018.04.17,3
112,"삼성SDI, 공정위 결정 번복에 따라 삼성물산 잔여 주식 전량 매각",2018.04.10,3
113,삼성 상반기 채용 규모 확대…삼성SDI·삼성전기도 더 뽑는다,2018.03.13,3
114,"JY 귀환 후 첫 삼성공채, 정부 일자리정책 발맞출까",2018.02.28,3
115,"공정위 새 순환출자 가이드라인 예규로…""삼성, 6개월 내 400만주 팔아야""",2018.02.26,3
116,삼성생명·삼성화재 '50대 CEO',2018.02.09,3
117,"삼성생명, 현성철 신임 대표이사 추천",2018.02.08,3
118,[이재용 2심선고]판결문 발표되자 안도의 한숨 쉰 삼성 관계자들,2018.02.05,3
119,"삼성SDI 중국 시안공장, 가동률 이상無…ESS로 70%대 회복",2018.02.02,3
120,"삼성SDI, 전략마케팅실 신설…'원팀 경영' 시너지 낸다",2018.01.24,3
121,"[삼성SDI 컨콜] ""중대형전지 중심 실적 개선세 지속될 것"" (종합)",2018.01.23,3
