,Title,Date,Category
0,"정의당 배진교, 삼성 주가 조작 의혹 문건 공개…'악재 선반영' (종합)",2020.07.29,2
1,"정의당 배진교, 삼성 주가 조작 의혹 문건 공개…'악재 선반영'",2020.07.29,2
2,"김문수 ""삼성 적폐로 몰다가 제동""…진중권 ""언터처블 늘어 날 것, 이게 뉴노멀""",2020.06.26,2
3,삼성 지배구조 '정조준' 법안 잇따라…박용진 이어 여당 '경제통'도,2020.06.22,2
4,"외교부, 중동 진출 기업 대상 '코로나19' 방역대책·지원방안 논의",2020.06.02,2
5,"[2019 국감]MB정권 풀어준 민간석탄화력, 국민 전기요금 부담키워",2019.10.07,2
6,"[2019 국감] ""미성년 주주, 5760억원어치 보유…주식세습 점검필요""",2019.10.04,2
7,"이낙연 총리 ""일본, 선거 끝나면 평상심으로 외교 협의하기 쉬워질 것""",2019.07.21,2
8,"남동발전, 충북 제천시에 '연료전지발전소' 추진",2019.05.21,2
9,"향군, 美워싱턴 '추모의 벽' 성금 5억2000만원 모금 완료",2019.04.01,2
10,"무보, 말레이시아 정유·석유화학 프로젝트 3억8000만 달러 금융 지원",2018.12.18,2
11,"이정미 “삼성바이오 분식회계, 진짜 책임져야 할 사람은 이재용”",2018.11.22,2
12,"이정미 “‘국민 절반, 홍준표 말 옳았다’ 발언…도대체 어느 나라인지”",2018.11.21,2
13,"김관영 ""삼바 분식회계 의혹, 국회 청문회로 진상규명 해야""",2018.11.16,2
14,박용진 “삼성바이오 분식회계 ‘금융적폐사건’…금융위·금감원 묵인 정황”,2018.11.15,2
15,與 “삼성바이오 분식회계 ‘이재용’ 승계와 관련…무죄 판단 근거 잃어”,2018.11.15,2
16,"박용진 ""삼성바이오 분식회계, '이재용' 승계 작업과 직결…낱낱이 밝혀내야""",2018.11.14,2
17,정의당 “삼성바이오로직스 분식회계…‘이재용’ 초점 맞춰 수사해야”,2018.11.14,2
