,Title,Date,Category
0,"산업부-7개 경제자유구역청, '경제자유구역 혁신 추진협의회' 개최",2019.11.19,2
1,"[2019 국감] ""미성년 주주, 5760억원어치 보유…주식세습 점검필요""",2019.10.04,2
2,"차기 검찰총장에 윤석열 파격 발탁…""적폐청산 수사 성공적으로 이끌어""(종합)",2019.06.17,2
3,"""투자하면 언제든 가겠다"" 文대통령, 두 번째 삼성 방문…역대 대통령은?",2019.04.30,2
4,文대통령 국정수행 지지율 48.1%…최저치 경신,2018.12.13,2
5,"與 “삼성바이오, 행정소송 ‘시간끌기용’…이재용 재판 영향 최소화하려는 것”",2018.11.29,2
6,"이정미 “삼성바이오 분식회계, 진짜 책임져야 할 사람은 이재용”",2018.11.22,2
7,"이정미 “‘국민 절반, 홍준표 말 옳았다’ 발언…도대체 어느 나라인지”",2018.11.21,2
8,"정동영 ""美엔론사태 회계법인 과징금 7.2兆…삼바 회계社엔 1.7억""",2018.11.19,2
9,"김관영 ""삼바 분식회계 의혹, 국회 청문회로 진상규명 해야""",2018.11.16,2
10,민주당 '박용진 3법' 당론으로…선거제도 개편은 당내 토론 실시키로,2018.11.15,2
11,"한국당 ""삼바 상장폐지, 경제에 미치는 영향 고려해야""",2018.11.15,2
12,박용진 “삼성바이오 분식회계 ‘금융적폐사건’…금융위·금감원 묵인 정황”,2018.11.15,2
13,與 “삼성바이오 분식회계 ‘이재용’ 승계와 관련…무죄 판단 근거 잃어”,2018.11.15,2
14,심상정 “삼성바이오 분식회계 뒤에는 ‘이재용’ 경영권 승계 문제 있어”,2018.11.15,2
15,"김병욱 “삼성바이오 '상장폐지' 여부 심사, 최대한 빨리 종결해야”",2018.11.15,2
16,"홍영표 ""삼바 분식회계는 범죄행위…엄중한 책임 물어야""",2018.11.15,2
17,"박용진 ""삼성바이오 분식회계, '이재용' 승계 작업과 직결…낱낱이 밝혀내야""",2018.11.14,2
18,정의당 “삼성바이오로직스 분식회계…‘이재용’ 초점 맞춰 수사해야”,2018.11.14,2
19,박용진 “삼바·삼성물산 ‘분식회계’ 여부 밝혀야…노회찬 ‘실수’ 반복 안 해”,2018.11.07,2
20,박영선 “삼성바이오로직스 ‘상장 특혜’ 의혹도…수사요청 할 생각”,2018.11.07,2
21,올해 국감 MVP 박용진…다음 타깃은 삼성바이오로직스 '분식회계',2018.11.07,2
22,"정의당 “삼성바이오, ‘이재용 지분 늘리기’에 활용…철저한 수사 나서야”",2018.11.02,2
23,"정무위, 증인 2차 확정…'인터넷은행' 쟁점으로",2018.10.02,2
24,[특검 수사결과 발표]삼성 뇌물죄 집중한 특검…李 경영권 승계 특혜 파고들었다,2017.03.06,2
25,오뚜기·쿠팡·넷마블 등 고용창출 100대 우수기업,2016.03.17,2
26,"주형환 ""민간 신산업에 R&D·금융 집중…내달 촉진방안 마련""",2016.01.15,2
27,소통강화 위해 시작한 특보정치…1년만에 유명무실,2015.12.22,2
28,"朴대통령 ""바이오의약품, 창조경제 핵심산업 육성""(종합)",2015.12.21,2
29,"朴대통령 ""삼성 바이오투자 제조업 혁신모델 확신""",2015.12.21,2
30,"朴대통령, 삼성바이오 공장 기공식 참석 ""핵심산업 육성""",2015.12.21,2
31,여당 '삼성생명법' 발의…고민깊은 삼성생명·삼성화재,2020.08.15,3
