,Title,Date,Category
0,"외교부, 중동 진출 기업 대상 '코로나19' 방역대책·지원방안 논의",2020.06.02,2
1,"무보, 제4회 'K-SURE 벤더 페어' 개최",2019.11.13,2
2,"文대통령, UAE 왕세제와 정상회담…오찬에 이재용 등 기업인 대거 참석(종합)",2019.02.27,2
3,"文대통령, UAE 왕세제와 정상회담…오찬에 이재용 등 기업인 대거 참석",2019.02.27,2
4,"무보, 말레이시아 정유·석유화학 프로젝트 3억8000만 달러 금융 지원",2018.12.18,2
5,"산업부, '2018 글로벌 엔지니어링 테크 포럼' 개최",2018.09.20,2
6,UAE 26조 '석유·가스 공사 수주' 잭팟 터진다,2018.03.27,2
7,"문 대통령 ""'국민이 먼저다' 배웠다""…UAE 왕세제 ""제2의 국가라 생각해달라""",2018.03.25,2
8,"한-UAE, '특별 전략적 동반자' 격상…에너지 협력 등 5건 MOU 체결",2018.03.25,2
9,"이정훈 서울시의원, 강동구청장 출마 선언",2018.03.19,2
10,"청문회 다음 날 삼성 사장단 ""기업 여건 어렵다""(상보)",2016.12.07,2
11,삼성ENG·코오롱인더스트리 '대한민국 안전대상' 수상,2016.11.17,2
12,"한국경제 빨간불…신용등급 강등 기업, 외환위기 이후 최대",2015.11.08,2
13,"""기업활력특별법안은 반쪽…적용대상 확대해야""",2015.10.13,2
14,"가스公, 우즈벡 가스전서 연간 840억 수익 거둔다(종합)",2015.09.16,2
15,가스公 우즈벡 수르길 가스전 내달 상업생산 돌입,2015.09.16,2
16,용감한 아빠가 늘어난다..육아휴직 수급자 5년새 9배 '껑충',2015.04.13,2
17,작년 기업결합 571건..전년比 2.4% 감소,2015.02.26,2
18,[박종일의 자치통신] '강동 100년 먹거리' 만든 이해식 강동구청장,2015.01.18,2
19,"""삼성엔지니어링, 물산업클러스터 입주""…동반성장·해외진출 지원",2020.07.16,3
20,"한난, 삼성엔지니어링과 쿠웨이트 냉방사업 진출 추진",2020.03.25,3
21,"무보, 제4회 'K-SURE 벤더 페어' 개최",2019.11.13,3
22,보험사 '퇴직연금 일감' 제 식구에 몰아주기,2019.10.30,3
23,"""해외 부진한데 국내 주택시장까지 흔들리나"" 고민 빠진 건설사",2019.07.11,3
24,"무보, 말레이시아 국영석유회사 페트로나스 초청해 '벤더 페어' 개최",2019.07.09,3
25,"해외 건설 수주 급감 '비상'…수은, 업계와 머리 맞대고 논의",2019.04.04,3
26,"[포토]성윤모 장관, UAE서 정상순방 후속조치 점검·지상사 간담회",2019.01.15,3
27,"무보, 말레이시아 정유·석유화학 프로젝트 3억8000만 달러 금융 지원",2018.12.18,3
28,"수은, 삼성엔지니어링 바레인사업에 PF 3억6700만달러",2018.11.23,3
29,"삼성전자, '배민'·'야놀자'에서 배운다...스타트업 조직문화 워크숍 진행",2018.11.05,3
30,"배영훈 아이브스 대표 ""고객과의 신뢰가 성공을 위한 키(key)""",2018.10.19,3
31,[부고]김호정(삼성디스플레이 커뮤니케이션팀 부장)씨 장인상,2018.09.27,3
32,"산업부, '2018 글로벌 엔지니어링 테크 포럼' 개최",2018.09.20,3
33,"삼성 하반기 공채 GSAT, 다음달 21일 시행",2018.09.16,3
34,"삼성엔지니어링, 아부다비정유회사서 5000억 공사 수주",2018.09.04,3
35,"""대형 건설사 5社, 2분기 영업이익 8752억원 전망""",2018.07.24,3
36,"李총리, 아프리카 순방 본격 돌입…케냐타 대통령 예방",2018.07.20,3
37,"수은, 韓기업 따낸 오만 정유사업에 PF 7억달러 수혈",2018.06.03,3
38,"삼성전자, 처음으로 노동조합 설립",2018.05.31,3
39,"한·UAE, 文 대통령 방문 기간 3조7000억원 계약",2018.03.27,3
