,Title,Date,Category
0,[민주 全大] 민주당 신임 최고위원 선출…‘친문’ ‘지자체장’ ‘4선 중진’ 등 당선,2020.08.29,2
1,"삼성 출신 양향자, 산재 신청 못한단 보도에 ""참담하다…일류 삼성""",2020.07.31,2
2,공공기관 전용 지방대 학과·병역특례 추진,2020.07.30,2
3,"수사심의위 '손보기' 나선 與…""명단 달라"", ""시스템 문제 아니냐""",2020.07.27,2
4,"삼성 출신 양향자 ""최고위원 숙고…뉴딜시대, 기업과의 가교 적임자 역할""",2020.07.15,2
5,"김두관 ""'삼성공화국' 청산 안하면 청년 원하는 미래 안올 것""",2020.07.01,2
6,"양향자 ""이재용 두둔한것 아냐…기업 불확실성 없애야 한다는것""",2020.06.30,2
7,"민주당 노웅래·박용진 ""불기소 권고 당혹… 이재용 기소하라""",2020.06.27,2
8,"김문수 ""삼성 적폐로 몰다가 제동""…진중권 ""언터처블 늘어 날 것, 이게 뉴노멀""",2020.06.26,2
9,삼성 지배구조 '정조준' 법안 잇따라…박용진 이어 여당 '경제통'도,2020.06.22,2
10,"민주, 금산분리 규제 완화 추진…""선악 아닌 경제 관점서 봐야""",2020.06.11,2
11,"국민 10명 중 4명 ""이재용 영장 기각, 삼성 의식한 결정""",2020.06.10,2
12,"日수출규제 입장표명 시한 '하루 앞'…韓, 중단했던 WTO 제소 재개하나",2020.05.30,2
13,"""삼성 기회될 것"" 美 반중 전선에 동맹 동참 촉구",2020.05.22,2
14,"박용진 ""민주당, 윤미향에 온정주의…책임있는 태도 보여야"" 쓴소리",2020.05.19,2
15,"정 총리 ""포스트 코로나 시대의 핵심과제는 규제혁신""",2020.05.12,2
16,"민주당, 대기업의 재생에너지 직접 계약 추진…'그린 뉴딜' 일환",2020.05.12,2
17,"통합당 ""이재용 약속, 실천으로 이어져야…부당한 압박은 안 돼""",2020.05.07,2
18,"이인영 ""삼성그룹 선언, 눈속임으로 보지 않는다…새시대 전환점 되길""",2020.05.07,2
19,"국민의당 “이재용 사과, 처벌 면하기 위한 궁여지책에 그쳐선 안 돼”",2020.05.07,2
20,"[國터뷰]양향자 ""광주형 일자리, 삼성이 역할 할 수 있을 것""",2020.04.23,2
21,與경제통은 누구?,2020.04.17,2
22,"""눈에는 띄는데, 현실성은?""…총선 표심 노리는 '마구잡이' 공약",2020.04.08,2
23,인도 뉴델리 재외국민 220여명 특별기로 귀국…2차 특별기 운항 추진,2020.04.06,2
24,"[총선 인물탐구]황교안, 20여년 공안검사의 길…억울한 사건엔 선처 요청도",2020.03.27,2
25,"[공직자 재산] 강경화 외교부 장관, 본인·배우자 등 재산총액 37억",2020.03.26,2
26,"주진형, 열린민주당 합류…""열린 공천에 응한다""",2020.03.17,2
27,부총리 지낸 이승윤 전 의원 별세,2020.03.13,2
28,"김용범 차관 ""엄중한 인식 갖고 시장안정조치 신속·단호하게 시행""",2020.03.13,2
29,"통합당, 권성동 컷오프…강릉 홍윤식·수원시정 홍종기 공천",2020.03.10,2
30,"文대통령, UAE-이집트 정상과 통화…코로나19 대응, 순방 연기 설명",2020.03.05,2
31,"통합당, 경기도에 '청년벨트'…수원·광명·김포 등 8곳에 2040 청년공천",2020.03.01,2
32,"靑 ""자율적 회식, 주52시간제와 무관 홍보""…이재용 삼성 부회장 건의 수용 (종합)",2020.02.19,2
33,"文대통령 ""코로나19, 경제적 피해 선제 대응""…재계 ""투자 매진""(종합)",2020.02.13,2
34,"'동선(動線)의 정치학', 文대통령 민생·경제살리기 방점",2020.02.13,2
35,"文대통령 ""코로나19, 머지않아 종식…경제회복 흐름 되살려야""",2020.02.13,2
36,"IF, '디지털세' 휴대폰·의류·차동차 기업도 부과 합의",2020.01.31,2
37,"민주당, '인재 9호'로 세계은행 이코노미스트 최지은씨 영입",2020.01.16,2
38,"이인영 ""CES서 한국기업 박수갈채…'데이터3법' 통과해 날개달아줘야""",2020.01.08,2
39,[격랑의 총선]부동산 매치 '김현미vs김현아'?…홍준표는?,2020.01.02,2
40,"文대통령, 추미애 장관 임명…검찰개혁 속도전 (종합)",2020.01.02,2
41,인사팀에서 말해주지 않는 연봉협상 꿀팁은,2019.12.30,2
42,"국표원, '2019 해외무역기술장벽 대응인의 날' 개최…소통·화합의 場",2019.12.04,2
43,"국표원, 우즈벡 규제당국과 협의회 개최…기술규제 정보 공유",2019.11.27,2
44,"文대통령 ""스타트업, 韓-아세안 미래 부흥시킬 것…함께 세계경제 선도""",2019.11.26,2
