,Title,Date,Category
0,與경제통은 누구?,2020.04.17,2
1,해외여행자보험 질병·사망 지급액 '급증'…118%↑,2019.10.01,2
2,"공직자윤리위, 전직 인권위원장 로펌 재취업 '제한'",2018.12.27,2
3,"정무위, 증인 2차 확정…'인터넷은행' 쟁점으로",2018.10.02,2
4,"이석현 ""해외여행 보험금 지급액 3년간 꾸준히 증가…지난해 161억원""",2018.09.24,2
5,"해외여행 보험금 지급액, 지난해 ‘161억원’…해외 사건·사고 늘어",2018.09.24,2
6,[경제 되살릴 百年路] 상법·공정거래법 개정안…올 기업경영 암울,2018.01.02,2
7,[2017국감]30대기업 유보금 652조…2년새 2배 늘어,2017.10.27,2
8,"이낙연 후보자 공식 사과…""동생의 위법행위 예방 못한 점 송구""",2017.05.18,2
9,월300원에 지진 피해 1230만원 보상…풍수해보험 가입 '러시',2017.02.01,2
10,"지진 피해, 풍수해보험으로 보상 받는다",2016.09.23,2
11,상하수도료 등 공공요금 릴레이 인상,2016.02.14,2
12,"갑작스런 폭설 피해, '풍수해보험'이 효자 노릇했다",2016.02.10,2
13,"공정위, 휴대전화 보험상품 실태조사 착수",2015.10.11,2
14,"산업부 ""에너지신산업 민간 투자 동참해야""",2015.09.16,2
15,"공직자윤리위, 前 경찰청 총경·공군준장 등 4명 취업 제한 결정",2015.07.30,2
16,"삼성화재, 하반기 장기보험 수익 개선 가능성",2015.02.23,2
17,[2014국감]이마트 경품행사로 수집한 개인정보 2000원에 팔아,2014.10.13,2
18,"이종걸 ""국내 손보사, 자회사에 손해사정업무 일감 몰아줘""",2014.09.28,2
19,"삼성화재, 저렴한 보험료로 독감까지 보장하는 자녀보험 출시",2020.08.31,3
20,금융권도 코로나 초비상…3단계 대응 잰걸음(종합),2020.08.28,3
21,사회적 거리두기 2단계 연장에…'구인 절벽' 보험사 안도(종합),2020.08.28,3
22,코로나 악화땐 시중은행 본점 절반만 출근,2020.08.28,3
23,"""공채도 못 뽑아…"" 코로나 재확산에 보험업계 '구인 절벽'",2020.08.28,3
24,'돈 되는' 소·부·장 기술개발 제품육성…사업화지원 강화,2020.08.27,3
25,"장마 끝나자, 역대급 태풍 온다…손해보험사 손실만 '억소리'(종합)",2020.08.26,3
26,"""면허도 없는 70세 노인에 운전자보험 팔다니"" 고령자 불완전판매 기승(종합)",2020.08.25,3
27,무면허 70세 노인에 운전자보험 판매…고령자 불완전판매 기승,2020.08.25,3
28,"삼성화재, 고유번호로 승강기사고배상책임보험 간편 가입",2020.08.24,3
29,"삼성화재, 집중호우 침수차량 피해 수습…비상팀 가동",2020.08.20,3
30,"삼성화재, 올 상반기 순익 4334억원…""코로나로 손해율 개선""(종합)",2020.08.18,3
31,"삼성화재, 상반기 순익 4333억…전년비 1.7%↑",2020.08.18,3
32,"대형 생·손보사, '코로나' 악재에도 장사 잘했다(종합)",2020.08.18,3
33,"현실과 동떨어진 여당의 금융법안…""악법될 것""(종합)",2020.08.18,3
34,"불통ㆍ과속ㆍ포퓰리즘…금융권, 거대 여당發 옥죄기 법안발의에 살얼음판",2020.08.18,3
35,"대형 생·손보사, 코로나19에도 장사 잘했다",2020.08.18,3
36,상반기 금융권 연봉 1위는…정태영 현대카드 부회장 26억원,2020.08.17,3
37,여당 '삼성생명법' 발의…고민깊은 삼성생명·삼성화재,2020.08.15,3
38,삼성화재 노사 첫 단협 체결,2020.08.12,3
39,"[기자수첩]빅테크, 보험까지 진출…소비자는 환영할까",2020.08.07,3
40,전국 기록적 폭우에 '풍수해보험' 등 피해 접수 잇따라,2020.08.04,3
41,"서민금융진흥원, 한부모가족 아동 위한 보험상품 선봬",2020.08.03,3
42,"삼성화재, 고지항목 줄여 간편 가입 '더간편한유병장수' 출시",2020.08.03,3
43,기록적 폭우에 차량침수 160억 손해…車보험 손해율 '악재'(종합),2020.07.28,3
44,"[빅테크, 빅체인지]보험·대출·증권·데이터…거칠것 없는 'N 테크핀'",2020.07.28,3
45,기록적 폭우에 차량침수 160억 손해…車보험 손해율 '악재',2020.07.28,3
46,네이버에서 車보험 견적낸다고?…셈법 복잡해진 손보사들,2020.07.21,3
47,"삼성화재애니카손사-SK네트웍스, 외제차 부품공급 업무 제휴",2020.07.21,3
