,Title,Date,Category
0,"서부발전, 쌍용양회와 손잡고 일본産 석탄재 수입 대체",2019.12.06,2
1,"뇌물 상자의 변천사 ""내 안에 돈있다""",2015.04.16,2
2,"서부발전, 문경시 도시재생 참여…연료전지 설치",2020.08.31,3
3,"환경부-시멘트 업계, 미세먼지 저감 협력키로…""올해 말 목표 마련""",2020.06.09,3
4,경기침체 여파 물량감소…쌍용양회 수익도 내리막,2020.03.11,3
5,[아시아 어프로치]신격호를 통해 본 상장 vs 비상장…득과 실,2020.01.21,3
6,"서부발전, 쌍용양회와 손잡고 일본産 석탄재 수입 대체",2019.12.06,3
7,"[르포]일본산 석탄재 첫 방사능 전수조사 가보니…환경부는 ""추가 규제도 고려""",2019.09.03,3
8,"현대시멘트, '한일현대시멘트'로 사명 변경",2018.07.17,3
9,"서울보증-예보, 배당 놓고 신경전",2017.03.02,3
10,현대시멘트 우선협상대상자에 LK투자파트너스,2017.02.16,3
11,현대시멘트 본입찰 쌍용양회·IMM PE 등 6곳 참여…유암코 불참,2017.02.15,3
12,상반기 국내 M&A 시장 '싸늘'…외국계가 자문 독식,2016.07.05,3
13,"쌍용양회, 동해공장 폐열발전설비 설치에 1143억 투자",2016.04.29,3
14,"쌍용양회공업, 3990억 규모 주주배정 유증",2016.04.29,3
15,"장 종료 후 ""이 공시 눈에 띄네""(코스피-15일)",2016.04.18,3
16,"쌍용양회채권단, 최종매각가 8837억으로 확정",2016.03.24,3
17,"쌍용양회 채권단, 한앤컴퍼니와 주식매매계약 체결",2016.01.22,3
18,"시멘트社들, 짬짜미에 조사방해까지..과징금 1994억원 '철퇴'",2016.01.05,3
19,"쌍용양회 우선협상대상자, 한앤컴퍼니 선정",2015.12.29,3
20,"태평양시멘트 ""쌍용양회 매각 본입찰 강행…産銀 등에 모든 법적조치""",2015.12.22,3
21,"산은, 쌍용양회 매각 본입찰 마감…한앤컴퍼니·한일시멘트 제출",2015.12.22,3
