,Title,Date,Category
0,"한국장애인고용공단, 주한 12개 유럽국가 대사관과 듀오 데이 개최",2020.05.29,2
1,아세안 영부인에게 K뷰티 전파…홍보대사로 나선 김정숙 여사,2019.11.26,2
2,"""서경배, IOC위원 추천"" 둘러싸고 국회 舌戰",2018.08.27,2
3,문 대통령 중국 방문에 기업인 300여명 동행...역대 최대 규모 경제사절단,2017.12.11,2
4,"[中 금한령 6개월-①]""버틸만큼 버텼다""…中 진출 韓 유통기업 초토화",2017.09.11,2
5,"[中 사드 몽니]""여행금지는 최고수준 규제…면세점들 더 어려워질 것""",2017.03.04,2
6,이란서 사상 첫 한국 화장품 전시회 열린다,2016.10.17,2
7,전국 의경들에게 '가습기 치약' 6200여개 보급,2016.10.06,2
8,10개 업체·149종 치약서 '가습기살균제' 성분 검출(종합),2016.09.30,2
9,"[치약 논란] 식약처 ""궁금증에 답해드립니다""",2016.09.27,2
10,"[2016국감]이정미 ""가습기살균제 원료물질 유입업체 아모레퍼시픽 외에도 더 있다""",2016.09.27,2
11,"코리아세일페스타, 한달간 쇼핑 축제 열린다",2016.09.21,2
12,"대학생이 취업하고 싶은 기업? 男 1위 ‘삼성전자’, 女 1위 ‘CJ제일제당’",2016.07.29,2
13,"규제프리존법, 野 요구 반영해 수정했지만…'산 넘어 산'",2016.06.08,2
14,"이달의 6차산업인, 강항식 네이처영농조합 대표",2016.04.12,2
15,"[G20 재무장관회의]유일호 ""중국 경제의 리밸런싱 수출 확대 기회""",2016.02.28,2
16,"[G20 재무장관회의]본회의 개막…""글로벌 금융불안 해법 모색""",2016.02.27,2
17,"유일호, G20 경제수장들과 금융불안 대응 모색",2016.02.25,2
18,"朴 ""빠른 고기가 느린 고기 잡아먹듯…속도가 가장 중요""",2016.02.17,2
19,이란 합작투자 늘린다…패키지 진출도 지원,2016.02.12,2
20,"與野, 설 연휴 회동에도 법안·선거구 합의 불발(상보)",2016.02.10,2
21,"유일호 ""수출촉진형 R&D 지원금 4500억원 투입…세액공제 확대""",2016.02.10,2
22,"농협, 협력사와 5억 기부물품 전달",2015.12.23,2
23,"FTA, 내년 수출 반등 기폭제 된다",2015.12.23,2
24,애썼다 수출…佛 제치고 사상 첫 6위,2015.12.07,2
25,세계 수출 6위 상승…무역유공자 등 2008명 수상,2015.12.07,2
26,제52회 무역의날…서경배 회장 등 금탑산업훈장 수상,2015.12.06,2
27,국제표준화기구 서울 총회 14~18일 열려,2015.09.13,2
28,朴 중국방문에 경제사절단 155개 기업·기관 동행,2015.08.31,2
29,"화장품 온라인쇼핑몰 ""환불 불가"" 거짓말..공정위 제재",2015.07.29,2
30,"朴대통령, 재계 총수들과 창조경제 토론…""반드시 성과창출"" 다짐",2015.07.24,2
31,"朴 ""혁신센터, 사회공헌뿐 아니라 성장동력으로 생각해달라""…대기업에 주문",2015.07.24,2
32,"재계거물들 청와대 집합…朴대통령, 창조경제 활성화 당부",2015.07.23,2
33,朴대통령 '기업과 함께 하는 일가정 양립' 행사 참석…女 경제활동 참여 독려,2015.07.06,2
34,"朴대통령 ""제주를 세계 최고 스마트관광섬으로 육성""",2015.06.26,2
35,"정부·다음카카오, 제주에 창조센터 설립…한국형 실리콘비치로 육성",2015.06.26,2
36,[진화하는 농촌]기술 대주고 생산물 사주고…1조원 씨뿌리는 기업 重農主義,2015.06.05,2
37,"조환익 한전 사장, 한국의 경영자상 수상",2015.05.22,2
38,"朴대통령 ""한중FTA, 농업분야 피해 최소화 할 것""",2014.11.19,2
39,"朴대통령, ""농업을 미래성장산업으로"" 토론회 직접 주재",2014.11.19,2
40,"""고부가 식품산업 육성 2017년 수출 100억弗 달성""",2014.11.19,2
41,"산업부, R&D 과제에 여성연구원 3000명 채용",2014.09.15,2
42,"홈플러스, 동행세일 참여…9600종 최대 50% 할인",2020.06.26,3
43,"밈부터 먹방까지 다양성으로 승부…유통업계, 온택트 마케팅 나섰다",2020.06.13,3
44,"유통·식품업계, 친환경 정책 '强 드라이브'",2020.06.08,3
45,"잘 팔리면 5천개도 단숨에…뷰티, 백화점 대신 온라인몰行",2020.05.24,3
46,"""백화점 1층보다 G마켓·11번가 '추천'이 낫다""",2020.05.22,3
47,이베이코리아 '빅스마일데이' 오픈…첫날 '아디다스' 할인,2020.05.19,3
48,"월드비전, 아모레퍼시픽 카운셀러와 “아름다운 나눔”",2020.05.18,3
49,"11번가, 예뻐지다…뷰티 라이브방송 이번엔 '헤라'와 맞손",2020.05.18,3
50,"화훼농가 돕기 나선 유통업계, 최고경영진은 '플라워 버킷 챌린지'",2020.05.09,3
51,영양제 1일·1회분 포장 판매 허용,2020.04.27,3
52,"G마켓·옥션, 부모님·자녀 선물 모은 ‘가정의 달’ 프로모션 진행",2020.04.20,3
53,"연일 세일, 또 세일…""손해봐도 무조건 밀어내기""",2020.04.14,3
54,[단독]신세계인터의 날개 '비디비치'…中 쿠팡 '티몰 내수관'까지 뚫었다,2020.04.10,3
55,"아모레퍼시픽 장녀 서민정씨, 보광그룹 장남과 결혼 전제 교제中",2020.04.08,3
56,"공정위, 아모레G 제재…""계열사 코스비전 공장신축자금 부당지원""",2020.04.06,3
57,"SSG닷컴, '백화점 쓱케일 위크' 연다…최대 88% 할인",2020.03.29,3
58,"""상생으로 코로나19 극복""…43개 프랜차이즈, 가맹점 지원 발 벗고 나서",2020.03.05,3
59,"옥션, '수상한 카드' 프로모션 2탄…마트·뷰티 상품 특가 판매",2020.02.26,3
60,"유커넥, BroadbandTV와 전략적 파트너십 체결해",2020.02.20,3
61,'사파이어 닮은 화장품' 만든 롯데면세점…코로나 잡고 K-뷰티 재정립,2020.02.19,3
62,"고미 코퍼레이션, '셀리턴'과 함께 베트남 VIP 시장 공략",2020.02.09,3
63,블루리본 서베이부터 中딤섬 맛집까지…F&B 목숨 건 쇼핑몰,2020.02.04,3
64,"라네즈, ‘크림 스킨’ 올리브영 단독 기획세트 런칭",2020.02.03,3
65,"아모레와 손잡은 롯데면세점, 中 정조준 럭셔리 브랜드 '시예누' 론칭",2020.01.30,3
66,"라네즈 인기 제품, 23일부터 올리브영 전국 900여개 매장에서 만난다!",2020.01.23,3
67,이명희 한남동 자택 공시가격 277억 '1위'… 꼴찌는 전남 신안군 170만원,2020.01.22,3
68,"피부 환경 개선 돕는 ‘바이옴’, 수분 체질에 더해 방어력 강화까지... 닥터자르트 등 출시 활발",2020.01.17,3
69,미디어SR ‘2019 대한민국 공익법인 백서’ 발간..국내 최일선 기업 공익법인 활동 현황 담겨,2020.01.03,3
70,"내년 中 화장품, 두자릿수 성장세…K뷰티도 수출 호조 기대",2019.12.22,3
71,"[아경 히트상품]아모레퍼시픽, 간편하게 즐기는 '콜라겐 큐브'",2019.12.19,3
72,"라네즈, 트리 장식처럼 영롱한 홀리데이 컬렉션 '드림 버블'",2019.12.17,3
73,"아모레퍼시픽, 美 클린뷰티 기업 '밀크 메이크업' 韓 진출 돕는다",2019.12.17,3
74,IT 거인들 협업 늘리는 아모레퍼시픽…싱가포르서 新유통채널 개척,2019.12.16,3
75,"아모레퍼시픽, 스킨베일 메이크업 베이스 대한민국 기술대상 수상",2019.12.16,3
76,"아모레퍼시픽, SCM 협력사들과 '윈윈 실천 세미나'",2019.12.12,3
77,"비레디, 소방관 돕는 '세이브 더 히어로즈' 캠페인…수익 5% 기부",2019.12.11,3
78,"대기업 브랜드 수입 1조2854억원…공정위 ""총수일가 사익편취 여부 따질것""",2019.12.10,3
79,[신상 뜯어보기] 겨울 각질 특효약엔 촉촉한 '달빛유자 수면팩' 한 스푼,2019.12.07,3
80,K-뷰티 육성한다면서…규제 리스크 노출된 中企 화장품(종합),2019.12.06,3
81,'포장 용기 바꿔라' 자원재활용법에 날벼락…中企 화장품 소외,2019.12.06,3
82,"아모레퍼시픽, 용산지역 민?관?학 연합 봉사활동 참여",2019.12.06,3
83,"아모레퍼시픽, 알리바바 그룹과 '아모레퍼시픽XTMIC 이노베이션 플랜트' 설립",2019.12.05,3
84,"설화수 뮤즈 송혜교, 전통 문양의 재발견 '문양의 집' 방문",2019.12.04,3
85,"""K뷰티 알릴 국제행사 지속해야"" 화장품업계 만난 복지부장관",2019.12.04,3
86,"아모레퍼시픽, 2020년 소규모 임원 인사 단행…""내실에 초점""",2019.12.02,3
87,"큐브미, 베스트셀러 '콜라겐 큐브' 전국 코스트코 16개점 입점",2019.11.28,3
88,"[아시아경제 광고대상]아모레퍼시픽, '아름답고 건강한 삶' 위한 바이탈뷰티",2019.11.27,3
89,"'인플루언서' 통한 SNS 광고시 '대가 여부' 밝혀야…공정위, 미표시 사례 첫 제재",2019.11.25,3
90,"아모레퍼시픽, 미래 뷰티 전문가 꿈꾸는 학생들에 장학금 전달",2019.11.25,3
91,"'K뷰티 전도사' 아모레퍼시픽, 한?아세안 K뷰티 페스티벌 참여",2019.11.25,3
92,"아모레퍼시픽 큐브미, 체지방 낮추고 배변 돕는 '슬림 큐브'",2019.11.22,3
93,"아모레퍼시픽, 미백 화장품 '정부 인증' 세계일류상품 선정",2019.11.22,3
94,G마켓·옥션 '슈퍼 브랜드 스페셜 위크' 진행,2019.11.22,3
95,"'수분의 힘' 라네즈, 홀리데이 컬렉션 '드림 버블' 한정 출시",2019.11.20,3
96,"[세계가 반한 유통한류④]""우리와 닮은 싱가포르, K뷰티·드라마·치맥으로 합심""",2019.11.17,3
97,광군제서 흥행한 K뷰티…파워셀러 웨이야와 손잡고 '완판' 물결(종합),2019.11.16,3
98,K뷰티 넘어 K생활용품까지…아세안 쌍방향 로드맵 그리는 아모레퍼시픽(종합),2019.11.15,3
99,"아모레퍼시픽, 2019년 신진 피부과학자 연구비 지원",2019.11.15,3
100,"[세계가 반한 유통한류④]""아세안 매출 5천억 향해 질주…한방샴푸·염모제로 승부""",2019.11.15,3
101,[세계가 반한 유통한류④] 글로벌 럭셔리 전쟁터 싱가포르서 분투…한국의 美 담은 설화수,2019.11.14,3
102,"해피바스, 얼그레이·그린티 담은 '티 하우스 미셀라 바디워시' 출시",2019.11.14,3
103,中광군제 '왕훙 마케팅' 세게 판 키우거나…자사 인플루언서 출격(종합),2019.11.13,3
104,"아모레퍼시픽, 홍콩서 열리는 2019 亞 최대 규모 미용 박람회 참가",2019.11.13,3
105,진화하는 中광군제 '왕훙 마케팅'…작심하고 인플루언서 키운 韓기업도,2019.11.13,3
106,'후' 하나로만 721억 올린 中광군제…韓화장품 초대박 행진(종합),2019.11.12,3
107,"아모레퍼시픽, 3D 프린팅 마스크팩 CES 2020혁신상 수상",2019.11.11,3
108,"아모레퍼시픽재단, 한·중 학술 교류의 장 '제1회 아모레퍼시픽포럼' 개최",2019.11.11,3
109,"11번가, 11일 하루 종일 최대 70% 할인 타임딜·반값딜 연다",2019.11.10,3
110,빅스마일데이 타고 쑥쑥 크는 스마일배송…전년比 120%↑,2019.11.06,3
111,"집에서 생수·기저귀 주문하는 시대…서경배 ""디지털 이길 '진짜 경험' 필요""",2019.11.05,3
112,"라네즈, 고보습 클렌저 '크림 스킨 밀크 오일 클렌저' 출시",2019.11.05,3
113,'신유통 혁명' 中광군제 일주일 앞으로…마케팅 고삐 죄는 韓뷰티(종합),2019.11.04,3
114,"아모레퍼시픽그룹, 2019년 하반기 '아리따운 물품나눔' 진행",2019.11.04,3
115,"유튜브 마케팅 플랫폼 유커넥, ‘유튜버 체험단’ 광고 상품 ‘시딩’ 서비스 출시",2019.10.31,3
116,아모레퍼시픽그룹 3분기 매출 1.5兆 돌파…영업익은 43% 급증,2019.10.30,3
117,'코세페' 앞두고 롯데·현대 대규모 '페스타'…온라인도 '페스티벌'(종합),2019.10.30,3
118,"11번가, '십일절 페스티벌' 실시…최대 86% 할인 타임딜",2019.10.30,3
119,수능 막바지 ‘공신베개’ 등 최적의 컨디션 관리 위한 상품 인기,2019.10.30,3
120,"화장품기업, 컬러렌즈·펫사료까지…다각화로 '불황' 뚫는다(종합)",2019.10.29,3
121,"헤라, '그랜드 부다페스트 호텔 감성' 홀리데이 컬렉션 출시",2019.10.29,3
122,"한율, 올해 7년 맞은 도심 속 자연여행 '달빛 정원' 행사 진행",2019.10.24,3
123,"아모레퍼시픽복지재단, 200번째 리모델링 주인공은 '일하는 여성아카데미'",2019.10.24,3
124,"아모레퍼시픽재단, '中 현대 여성의 삶' 조명한 포럼 내달 개최",2019.10.22,3
