,Title,Date,Category
0,軍 '과학화경계시스템' 구축한다…에스원 275억 규모 계약체결,2019.03.05,2
1,"김영주 장관 ""대기업이 중소협력사 근로시간단축 손실 지원해야""",2018.05.02,2
2,불법유턴ㆍ충돌사고 자동인식…에스원의 첨단 교통안전 솔루션,2018.03.14,2
3,GOP내 무인지상감시센서 깔린다,2017.03.22,2
4,"공직자윤리위, 前 경찰청 총경·공군준장 등 4명 취업 제한 결정",2015.07.30,2
5,"퇴직공직자 취업심사, 49건 중 6건 취업불가 판정",2015.03.26,2
6,"이마트24, 대국민 통신비 절감 프로젝트 진행",2020.05.11,3
7,"낮과 밤이 다른 편의점…CU, 하이브리드 편의점 100호점 개점",2020.02.24,3
8,"삼성화재, 창립 68년만에 첫 노조 설립",2020.02.02,3
9,"롯데자산개발, 부산 국제빌딩 매각주관사로 선정",2019.06.11,3
10,설 연휴 '빈집털이' 평소 대비 2배 많다,2019.01.29,3
11,"삼성 하반기 공채 GSAT, 다음달 21일 시행",2018.09.16,3
12,"""추석연휴 마지막날 침입범죄 가장 많아""",2018.09.15,3
13,"에스원, 위워크와 '스마트 워크플레이스' 업무협약",2018.09.13,3
14,"에스원, 18~20일 '에스원 솔루션 페어' 개최",2018.09.11,3
15,"에스원 ""'서비스 인증' 석권…고객가치 향상에 지속 노력""",2018.09.03,3
16,[단독]삼성꿈장학재단 이사장 '文캠프 출신' 노성태 내정,2018.08.03,3
17,"삼성전자, 처음으로 노동조합 설립",2018.05.31,3
18,"김영주 장관 ""삼성 작업환경보고서 논란, 확대해석됐다..법원결정 기다릴것""",2018.05.02,3
19,"김영주 장관 ""대기업이 중소협력사 근로시간단축 손실 지원해야""",2018.05.02,3
20,"삼성전자서비스 노조 합법화, 전 계열사 확산되나 (종합)",2018.04.17,3
21,"삼성전자서비스 ""8000명 직접고용...합법적인 노조활동 보장할 것""(상보)",2018.04.17,3
22,올해 100대 브랜드…삼성·롯데 11개씩 포진 최다 보유,2017.12.14,3
