,Title,Date,Category
0,"文대통령, 취임 후 첫 금융권 간담회…""코로나19 자금지원, 신속성 중요""",2020.04.06,2
1,"주진형, 열린민주당 합류…""열린 공천에 응한다""",2020.03.17,2
2,"민주당 ""이명박 20년 구형은 사필귀정""",2018.09.06,2
3,'다스는 MB 것' vs '다스는 형님 것'…진실 공방전,2018.03.06,2
4,"與 ""한국당, 대북특사 딴죽걸기…MB 불법 자금부터 해명해야""",2018.03.04,2
5,"""법인세 상위 10대 기업, 세금감면 42% 차지""",2017.06.02,2
6,"[2014국감]정무위, KB사태 관련 임영록·이건호 증인 채택",2014.10.08,2
7,2분기 은행 자본비율 0.19%p↓…코로나 금융지원 영향 누적,2020.08.31,3
8,"""9월 이후에도 어려울 수""…코로나 재확산에 금감원 종합검사도 차질(종합)",2020.08.19,3
9,코로나 확산에 금감원 종합검사 또 삐끗…'올해는 어려울것' 관측도,2020.08.19,3
10,"금감원, 종합검사 이달까지 중단…""비대면 검사 등 신축 운영""",2020.08.18,3
11,"금융위 ""대형 금융사 정상화·정리제도 구체안 연내 마련""",2020.08.18,3
12,손태승 등 우리금융 경영진 자사주 8만5000주 매입,2020.08.10,3
13,'코로나 부실' 등 대응에 KB·신한·우리금융서만 상반기 순익 7500억↓,2020.07.28,3
14,"우리금융 상반기 순익 6605억…""불확실성 대비 충당금 선제 반영""",2020.07.27,3
15,"은성수-5대 금융지주 회장, 4개월 만 회동…""빅테크와 역차별 해소해야""(종합)",2020.07.23,3
16,"은성수 만난 당일 9조원 화답한 윤종규…KB금융, 한국판 뉴딜 플랜 밝혀(종합)",2020.07.23,3
17,"""기울어진 운동장 바로잡아야""…은성수-5대 금융지주 회장, '빅테크 협의체' 구성",2020.07.23,3
18,금감원 종합검사 내달 시작…첫 대상은 하나금융·은행,2020.07.21,3
19,금융사 종합검사 빠르면 내달 둘째주 시작된다(종합),2020.07.13,3
20,"4대 금융지주, 2분기 실적 곤두박질 전망",2020.07.10,3
21,"금감원, 우리금융 내부등급법 일부 승인…출자여력↑",2020.07.01,3
22,"정부, 올해 하반기 우리금융 지분매각 개시",2020.06.22,3
23,"우리금융, '완전 민영화' 가닥 잡힐까?…오늘 공자위 논의 촉각",2020.06.22,3
24,"우리금융지주, 신종자본증권 3000억 발행 성공",2020.06.05,3
25,"코로나에 발묶인 금융지주, 해외사업도 묶였다",2020.06.05,3
26,[코로나 대변혁]카뱅·토스 등 테크핀 몸값이 쑥쑥…디지털 금융 몰려온다,2020.05.18,3
27,매물 나온 효성·아주캐피탈…'코로나19'가 변수(종합),2020.05.11,3
28,효성·아주캐피탈 매각 '코로나 먹구름',2020.05.11,3
29,1분기 금융지주 실적에 엇갈린 시각 '선방' vs '충격 시작',2020.05.02,3
30,"""DLF 재발 안된다""…그룹사 내부통제 강화 나선 김정태 하나금융 회장",2020.04.28,3
31,"1분기 금융지주 실적…신한·하나 웃고, KB·우리 울상(종합)",2020.04.27,3
32,코로나 쇼크 반영도 안됐는데…실적 빨간불 켜진 4대 금융지주,2020.04.27,3
33,"우리금융 1분기 순익 5182억…""코로나 영향 속 시장전망치 상회""",2020.04.27,3
34,증권사·캐피탈사…타깃 바꾼 우리금융,2020.04.17,3
35,"손태승 우리금융 회장, 자사주 5000주 추가 매입…올 들어 세 번째",2020.04.14,3
36,"금감원장 자제령에…하나금융지주, 11년 만에 중간배당 여부 검토",2020.04.07,3
37,우리금융 효과…지난해 10개 금융지주 순익 31% 증가,2020.04.06,3
38,'사모펀드 10년 소유' 과징금 우려 넘긴 KDB생명…인수전 재개,2020.03.30,3
39,금감원 'CEO 중징계 권한' 논란…우리·하나 CEO 중징계 무효화?,2020.03.28,3
40,"""이사회 투명성·견제기능 높여야""…금감원, 우리·하나금융에 경영유의 조치",2020.03.26,3
41,"손태승 우리금융 회장, 연임 성공…이변없이 '3년 더'",2020.03.25,3
42,[속보]손태승 우리금융 회장 연임 확정,2020.03.25,3
43,손태승 우리금융 회장 연임 오늘 주총서 확정,2020.03.25,3
44,금융투자 상품 손실에도…경고등 못 켠 '금융지주 매트릭스'(종합),2020.03.23,3
45,"자산건전성 비상, 코로나發 지원수요 급증…딜레마 빠진 은행(종합)",2020.03.23,3
46,DLF·라임·헤리티지DLS…투자손실 키운 '금융지주 매트릭스',2020.03.23,3
47,"""시장 붕괴 막아야겠지만""…코로나發 금융 혼돈, 은행권 부담 가중",2020.03.23,3
48,막오른 금융권 주총…'우리지주 회장 연임' 최대 이슈,2020.03.19,3
49,"금감원 노조 ""우리금융 회장 연임 시도, DLF 피해고객 무시 행태""",2020.03.18,3
50,시장 덮친 위기감에…밤 잠 설치며 주말도 내놓은 금융권 수장,2020.03.18,3
51,한은 빅컷에 5대 은행 순이익 1兆 준다…수익성 '빨간불'(종합),2020.03.17,3
52,한은 빅컷에 5대 은행 순이익 1兆 준다,2020.03.17,3
53,"6대 은행, 자영업 신용대출 50兆…코로나 불황 장기화시 부실폭탄 도화선",2020.03.17,3
54,청와대·감사원 전방위 압박에 은행 배상 거부…흔들리는 금감원(종합),2020.03.10,3
55,청와대·감사원 전방위 압박…위기의 금감원,2020.03.10,3
56,"손태승, 'DLF 중징계' 법정다툼 시작…제재 취소訴 등 제기",2020.03.09,3
57,우리금융 사내이사에 이원덕 부사장…푸본 출신 사외이사도 합류,2020.03.03,3
58,우리금융 사외이사에 푸본 부회장…푸르덴셜 인수 파트너 되나(종합),2020.03.03,3
59,"우리금융, 푸본과 손잡고 푸르덴셜 인수전 뛰어드나",2020.03.03,3
60,"[단독]靑 민정수석실, 금융감독원 감찰 착수",2020.03.03,3
61,[데스크칼럼]금융감독당국의 반면교사,2020.03.02,3
62,"금융당국-5대 금융지주 ""고객 없이 금융사 없다"" 코로나 대응 적극 한 목소리",2020.03.02,3
63,"'코로나19' 확산에…다음달 주총 앞둔 금융지주 ""이를 어쩌나""",2020.02.26,3
64,"일정 취소, 또 취소…코로나19에 금융당국·업계 '非접촉 지령'(종합)",2020.02.25,3
65,"코로나19·라임에 은행株, 이젠 '천원대'…4대 지주 순익 11조 무색",2020.02.25,3
66,브리핑·행사 줄줄이 취소…당국·업계 등 금융권 일제히 초비상,2020.02.25,3
67,"은성수 ""우리금융 지분 매각, 시장 어려워 시기 고민""",2020.02.20,3
68,"윤석헌 ""DLF 중징계, 인사개입 전혀 아니다""",2020.02.20,3
69,"[사람人]DLF·라임·코로나·갈등설…은성수 금융위원장, 사태 해결 동분서주",2020.02.19,3
70,"DLF에 라임까지…윤석헌, 5대 지주 회장과 '아주 불편한' 회동(종합)",2020.02.18,3
71,"금감원, 우리·하나銀 종합검사 계획 이르면 내달 가닥(종합)",2020.02.18,3
72,DLF제재·라임조사에 종합검사까지?…우리·하나銀 '초긴장',2020.02.18,3
73,"윤석헌 금감원장, 5대 지주 회장과 다음주 '아주 불편한' 회동",2020.02.18,3
74,"'DLF 홍역' 우리금융지주, 이사회에 내부통제委 신설(종합)",2020.02.14,3
75,"'DLF 홍역' 우리금융지주, 이사회에 내부통제 콘트롤타워 신설",2020.02.14,3
76,권광석 차기 우리은행장 임기 '1+2' 체제로…제2의 KB사태 차단?,2020.02.13,3
77,주가 부양 시급한데…코로나19에 '해외 IR' 발묶인 금융지주 CEO,2020.02.13,3
78,[인사]우리금융지주,2020.02.12,3
79,"""조직안정 최우선""…'해결사' 권광석, 우리금융·당국 엉킨 실타래 풀까(종합)",2020.02.12,3
80,"금융위, 오늘 증선위서 DLF 제재 첫 논의",2020.02.12,3
81,[인사]우리금융지주,2020.02.11,3
82,"우리금융, 소비자보호조직 신설…그룹사 '콘트롤 타워'",2020.02.11,3
83,새 우리은행장에 권광석 … 선임 배경은?,2020.02.11,3
84,차기 우리은행장에 권광석 새마을금고중앙회 신용공제 대표,2020.02.11,3
85,"우리금융 임추위, 차기 행장 선임절차 재개",2020.02.11,3
86,"증선위, 12일 DLF 제재심 첫 논의…금융위 누구 손 들까",2020.02.11,3
87,'연임강행' 우리금융 vs '추가제재' 금감원…2라운드 예고(종합),2020.02.10,3
88,"금감원, 우리銀 비밀번호 무단변경 제재심 올린다",2020.02.09,3
89,"우리금융, 'DLF 중징계' 정면돌파…""'손태승 연임' 그대로""(종합)",2020.02.07,3
90,"우리금융 ""손태승 연임 변경 없다""…DLF 제재 '정면돌파'",2020.02.07,3
91,文정부 출범 후 거세진 외풍…'新 관치 금융' 논란(종합),2020.02.06,3
92,외풍 시달리는 금융지주사…'新 관치 금융' 논란,2020.02.06,3
93,"우리금융지주, 신종자본증권 4000억 발행 성공",2020.02.06,3
94,"흔들리는 우리금융…정부, 지분매각 늦어지나(종합)",2020.02.04,3
95,"'지배구조 태풍' 우리금융…예보, 지분매각 스텝 꼬이나",2020.02.04,3
96,[DLF 중징계]우리·하나금융 수장 어떻게…우리銀 행장후보 선정 또 불발(종합),2020.01.31,3
97,[DLF 중징계]우리·하나銀 CEO에 '레드카드'…제재심 결정 배경은(종합),2020.01.31,3
98,"[DLF 중징계]금감원, 예상밖 중징계…'레드카드' 꺼낸 배경은",2020.01.31,3
99,[DLF 중징계]우리·하나 향후 수순은…소송카드 만지작,2020.01.31,3
100,"불완전판매로 CEO 중징계…""은행, 사모펀드 판매 크게 위축될 것""",2020.01.31,3
101,DLF사태 손태승·함영주 중징계…우리·하나은행 업무 일부정지,2020.01.30,3
102,DLF 최종 제재심 열려...우리ㆍ하나銀 징계수위 결정 '운명의 날'(종합),2020.01.30,3
103,"DLF 최종 제재심, 우리·하나銀 운명은",2020.01.30,3
104,차기 우리은행장 후보 선정 연기…31일 다시 논의,2020.01.29,3
105,오는 30일 'DLF 사태' 최종 제재심…우리ㆍ하나銀 CEO 운명은?,2020.01.27,3
106,우리은행장 후보 내부 출신 7명 확정…이달 말 최종 추천,2020.01.23,3
107,"리스크 관리 덕본 KB금융, 푸르덴셜 품고 '리딩금융' 탈환할까(종합)",2020.01.22,3
108,리스크 관리 성공한 KB '리딩금융' 야심,2020.01.22,3
109,"윤석헌 금감원장 ""DLF 제재심, 시간 걸릴 것…30일도 진행""",2020.01.20,3
110,'DLF 사태' 결론 못 낸 1차 제재심…2차에도 손태승 회장 출석할까,2020.01.18,3
111,결론 못 내린 DLF 제재심 2차 22일 예정…3차 30일 유력(종합),2020.01.17,3
112,결론 못 내린 DLF 제재심…3차까지 가나,2020.01.17,3
113,"우리금융, 소외계층에 '사랑의 쌀' 2t 기부",2020.01.17,3
