,Title,Date,Category
0,"文대통령, 말레이시아 총리와 정상회담…""경제협력 확대…FTA체결 노력""",2019.11.28,2
1,코로나에 소비위축…올 상반기 생활비 할인카드 인기(종합),2020.07.22,3
2,"'웅진북센'도 팔렸다…웅진그룹 ""재무구조 개선""",2020.05.08,3
3,웅진그룹 임원인사…신임 기조실장에 김정현 상무,2020.04.01,3
4,"이해선 ""넷마블서 코웨이 새출발""…글로벌 지속성장",2020.03.30,3
5,"'렌탈·생활 월납을 한 번에'…신한카드, 딥 원스 카드 출시",2020.02.03,3
6,"KB국민카드, 자동납부 특화 'KB국민 이지 링크 티타늄 카드' 출시",2020.01.29,3
7,"웅진코웨이, 1조7400억에 넷마블 품으로…인수 확정",2019.12.27,3
8,"웅진코웨이, 굿윌스토어에 '홈케어닥터 물품' 기증",2019.11.27,3
9,"웅진코웨이, 올 가을 '공기청정기' 전년비 55% 급증",2019.11.04,3
10,'코디' 노조 활동에…새출발 웅진코웨이 선택은,2019.11.01,3
11,"웅진코웨이, 'DJSI 월드 지수' 4년 연속 편입",2019.10.23,3
12,"'토스'에 모인 중소·중견기업…""혁신결합·소통강화""",2019.10.20,3
13,"하나카드, 고객 전용 웅진코웨이 렌탈몰 개시",2019.10.17,3
14,17일 환경일자리 박람회 개최…AI 자기소개서·VR면접 등 선보여,2019.10.16,3
15,윤석금 웅진그룹 회장이 게임사 택한 이유,2019.10.14,3
16,토종 빠져 김빠진 '웅진코웨이' 인수전,2019.10.08,3
17,"리엔케이 빛크림 시즌7, 고객 성원에 힘입어 홈앤쇼핑 2차 방송 진행",2019.09.30,3
18,"[예비부부 마음 뺏는 혼수] 웅진코웨이, 맞춤케어 '리모트' 비데",2019.09.27,3
19,웅진코웨이 '홈케어' 호평…최대 실적 '찜',2019.09.26,3
20,중견기업 하반기 채용문 열렸다,2019.09.16,3
21,"웅진코웨이, 9월 '공기청정기' 할인 프로모션",2019.09.11,3
22,"웅진코웨이, 고객만족경영 'ISO 10002' 인증 획득",2019.09.10,3
23,"웅진코웨이, '신혼특공·아이행복' 캠페인",2019.09.02,3
24,"웅진씽크빅·대교 영업익 '뚝'… ""AI로 부진 탈출""",2019.08.19,3
25,여름철 건강 '美' 알린다…생활가전 중견기업,2019.08.11,3
26,"웅진코웨이, 무더위에 정수기 생산량 40% 증가",2019.08.06,3
27,웅진코웨이 인수전 개막에…떠오른 업계 3인방,2019.08.05,3
28,"'AHC' 카버코리아, 로레알코리아 출신 조민수 CMO 영입",2019.08.02,3
29,"태양광에 발목잡힌 윤석금, 코웨이 재매각(종합)",2019.06.27,3
30,"웅진그룹, 웅진코웨이 인수 3개월만에 매각 결정",2019.06.27,3
31,"웅진코웨이, '생활화학제품 안전관리' 협약식",2019.06.26,3
32,"웅진코웨이 '지속성장' 비결…""협력사와 함께 뛴다""",2019.06.19,3
33,의류건조·공기청정 '한번에'…'더블케어' 의류청정기,2019.05.30,3
34,"웅진코웨이, '더블케어' 의류청정기 혁신 캠페인",2019.05.28,3
35,"웅진코웨이, 中 샤먼시와 협력…""시장공략 박차""",2019.05.27,3
36,"웅진코웨이, '컴팩트 메모리폼 매트리스 출시…""4중 레이어 숙면""",2019.05.22,3
37,"웅진코웨이, '의류청정기 더블케어' 출시…""저온제습 건조""",2019.05.21,3
38,"이해선 ""렌털시장 독보적 1위""…국내 600만계정",2019.05.19,3
39,"웅진코웨이, '웅진렌탈' 인수합병 완료",2019.05.17,3
40,"""집 안팎 수질분석 맞춤형 제안""…웅진코웨이 '워터맵 서비스'",2019.05.08,3
41,"이해선 ""체인지메이커 자세로""…창립30주년 기념식",2019.05.02,3
42,"웅진코웨이, 역대 분기 최대 영업익…""렌털 증가·해외사업 성장""",2019.04.30,3
43,"'혁생혁사' 윤석금, 웅진코웨이 통합 가속",2019.04.30,3
44,"웅진코웨이, 'CDP 기후변화 대응 우수기업' 10년 연속 선정",2019.04.25,3
45,"웅진코웨이, 말레이시아법인 코디 10주년…현장조직 1만2000여명",2019.04.18,3
46,"웅진코웨이, '초등학교' 실내공기질 오염변화 분석",2019.04.17,3
47,"웅진코웨이, 춘천시 '정수기 지원 사업' 업무제휴",2019.04.10,3
48,"웅진코웨이, '한국산업의 구매안심지수' 정수기·비데 부문 1위",2019.04.03,3
49,"중견기업 CEO ""두둑합니다""…최양하 한샘 회장 21억",2019.04.02,3
50,"웅진코웨이, '공기청정기' 온라인 기획전",2019.04.01,3
51,윤석금 재건 시동…'매출 3조' 웅진코웨이 새출발,2019.03.21,3
52,웅진그룹 차남 '코웨이' 경영진 고사…CFO에 안지용 기조실장 선임,2019.03.21,3
53,코웨이 경영진에 '차남' 선택한 웅진그룹…미래 원동력 '통합',2019.03.07,3
54,[2018 올해의 인물] 윤석금 웅진그룹 회장,2018.12.28,3
55,'30년 전 설립→6년 전 매각→내년 재회'…윤석금의 코웨이 '또또사랑'(종합),2018.10.29,3
56,"윤석금 ""지분 추가매입할 계획…웅진코웨이로 시작할 것""",2018.10.29,3
57,"윤석금 ""코웨이 아끼고 좋아해…렌털은 가장 쉬운 일""",2018.10.29,3
58,'웅진' 재건 성공한 윤석금은 누구,2018.10.29,3
59,'웅진코웨이' 새출발…6년만에 인수(종합),2018.10.29,3
60,"[삼성 에어드레서] ""의류관리기 시장 규모...연간 2배 성장""",2018.09.27,3
61,[M&A 빙하기]구조조정·경기불안에 금고 닫은 대기업,2016.10.07,3
62,중국서 역대 최대 한류상품박람회…위너·엑소 등 한류스타도 지원,2016.05.11,3
63,[韓 유통 점령하는 사모펀드]'대량해고·먹튀'…부작용도 속출,2016.04.04,3
64,"윤석금 회장 장·차남, 계열사 대표에…웅진 '2세 경영' 본격화",2016.02.29,3
65,"英 테스코 '역사속으로'…홈플러스, 인수 최종 마무리",2015.10.22,3
66,英 테스코-MBK와 홈플러스 매각 계약 체결…국내 M&A 최대 금액에 팔려(종합),2015.09.07,3
67,"GS리테일, 호텔 사업 진출…파르나스호텔 인수 본계약 체결",2015.07.31,3
68,"장평순 교원 회장 ""낡고 뒤처진 원칙 깨라"" 당부",2015.01.22,3
69,"'웅진북센'도 팔렸다…웅진그룹 ""재무구조 개선""",2020.05.08,4
70,웅진그룹 임원인사…신임 기조실장에 김정현 상무,2020.04.01,4
71,씽크빅이 다시 얼굴로…새도약 '웅진',2020.03.30,4
72,"이해선 ""넷마블서 코웨이 새출발""…글로벌 지속성장",2020.03.30,4
73,"SPC삼립 새 대표에 황종현, SPC GFS 새 대표에 안지용 선임",2020.03.27,4
74,출발선에 선 코웨이…'구독경제' 새바람 일으킬까,2020.02.06,4
75,[2020 아시아소비자대상]웅진코웨이 ‘한뼘 시루직수’…촘촘한 직수 필터링 ‘원조의 위엄’,2020.01.30,4
76,"""모바일 게임 융합장르가 대세""…넷마블 'A3: 스틸얼라이브' 출격",2020.01.03,4
77,[게임결산] '판호 중단'에 '질병코드'까지…중국산과 한판승부,2019.12.28,4
78,"웅진코웨이, 1조7400억에 넷마블 품으로…인수 확정",2019.12.27,4
79,"넷마블, 1조7400억원에 웅진코웨이 인수 확정",2019.12.27,4
80,'에어매칭필터' 소비자 만족도 UP,2019.12.27,4
81,"웅진코웨이 ""웰빙가전 미래상 제시""…미국 'CES' 5년 연속 참가",2019.12.26,4
82,"웅진코웨이 블루버드, 소아암 어린이 완치 축하 봉사활동",2019.12.18,4
83,"웅진코웨이 ""앞선 직수 기술력""…'시루직수' 프로모션",2019.12.10,4
84,'대한민국 엔지니어상' 하반기 여성수상자 선정,2019.12.09,4
85,"웅진코웨이, '2019 한국신뢰성대상' 수상",2019.12.05,4
86,"웅진코웨이, KT '기가지니' 음성인식 공기청정기",2019.12.04,4
87,"웅진코웨이 '한뼘 시루직수 정수기' 출시…""프리미엄 필터 적용""",2019.12.03,4
88,"웅진코웨이, 4단계 필터 '인테리어 공기청정기' 출시",2019.12.02,4
89,[아시아경제 광고대상] 깐깐한 '웅진코웨이'…'깨끗한' 얼음,2019.11.27,4
90,"웅진코웨이, 굿윌스토어에 '홈케어닥터 물품' 기증",2019.11.27,4
91,"[지스타 2019] 방준혁 ""MMORPG 시대는 저물어…전략 복합 장르 키울 것""",2019.11.14,4
92,미세먼지 제거 '혁신기술'…집 안팎 스마트 '공기 청정',2019.11.10,4
93,"웅진코웨이, 5년연속 CES혁신상…'의류청정기' 수상",2019.11.08,4
94,"웅진코웨이, '디자인코리아 페스티벌'…""라이프케어 혁신""",2019.11.07,4
95,"웅진코웨이, 올 가을 '공기청정기' 전년비 55% 급증",2019.11.04,4
96,'코디' 노조 활동에…새출발 웅진코웨이 선택은,2019.11.01,4
