,Title,Date,Category
0,인사혁신처 대변인에 선근형 씨,2018.08.07,2
1,"오승제 뉴욕문화원장 ""나는 차은택이란 사람을 모른다""",2016.11.02,2
2,애썼다 수출…佛 제치고 사상 첫 6위,2015.12.07,2
3,세계 수출 6위 상승…무역유공자 등 2008명 수상,2015.12.07,2
4,제52회 무역의날…서경배 회장 등 금탑산업훈장 수상,2015.12.06,2
5,"환경부 자원순환 광고, 광고대상 영상광고 대상 수상",2015.11.10,2
6,"서울시 희망광고 참여 영세상공인 63%, 매출↑ 효과",2015.08.19,2
7,대기업 광고대행사들 하청업체에 '갑질'..과징금 33억원,2015.04.22,2
8,"[2014국감]""현대차-중소협력사 이익률 격차 점점 커져""",2014.10.20,2
9,"이노션-포티투닷, 미래 모빌리티 서비스 개발 위한 업무협약 체결",2020.08.12,3
10,"이노션, 전세계 최초 '광고 크리에이티브 데이터 플랫폼' 개발",2020.07.02,3
11,"이노션 ""지속가능성만으로는 환경문제 대응할 수 없어""",2020.06.24,3
12,"현대家 셋째딸, 호텔 F&B에 글로벌 열정…남아공까지 날아갔다",2020.06.23,3
13,"이노션, ‘응원반창고’ 코로나19 의료진에 전달",2020.05.14,3
14,"이노션, 유튜브 채널 ‘308KPOP’ 론칭",2020.05.11,3
15,"이노션, '3대 세계 광고제' 뉴욕페스티벌서 본상 13개 수상",2020.05.07,3
16,"언택트를 넘어 온택트 시대로…이노션, '바이러스 트렌드' 발표",2020.04.21,3
17,"아이돌도 안 부러운 인기…미스터트롯, 광고계 빅스타 부상",2020.04.05,3
18,"이노션, 美 ‘2019 최고의 자동차 광고회사’ 선정",2020.03.23,3
19,"이노션, 싱가포르·인도네시아 법인 신설…아세안 국가 광고시장 공략 본격화",2020.03.16,3
20,송가인·유산슬 식지 않는 인기…'트로트' 검색량도 전년比 10배,2020.02.27,3
21,"캔버스 월드와이드, 애드위크 선정  ‘가장 떠오르는 미디어 회사’ 수상",2020.02.25,3
22,"이노션, 현대·기아차 광고로 1억 美관중 홀려…선호도 2·8위 기록",2020.02.05,3
23,"이노션, 여행과 음악 결합한 '감성창문 캠페인' 실시",2020.01.16,3
24,비건 패션X발칙한 상상력…'슈퍼 애니멀 퍼' 광고 영상 화제,2020.01.07,3
25,이노션-카페24 손잡다…쇼핑몰 캐릭터사업 더 쉬워진다,2019.11.18,3
26,"이노션, '스파이크스 아시아' 올해의 한국 광고회사 수상",2019.10.30,3
27,"예비 광고인 주목…이노션, 상시DB 시스템으로 인턴 모집",2019.10.08,3
28,"이노션, 영유아 양성평등 인식강화 위한 의류 제작",2019.09.19,3
29,[유통 핫피플]정용진 부회장도 반한 '쓱세권 광고'의 주인공,2019.09.06,3
30,"'칸 라이언즈X서울', 18~20일 개최…""칸 광고제 수상작 상영""",2019.09.05,3
31,'두바이 엑스포 한국관'에 무슨 일이…용역사업 공방,2019.07.16,3
32,"이노션, 센트럴시티 광고매체 총괄 운영한다…'디지털로 변신'",2019.07.10,3
33,"이노션, 현대차그룹 '조용한 택시'로  '2019 칸 라이언즈' 은사자상 수상",2019.06.23,3
34,"이노션·제주삼다수 '水타트랙' 바이럴 광고, 이틀 만에 200만뷰",2019.06.19,3
35,"이노션, '평창 현대차 체험관'으로 아태 '애드페스트' 그랑프리 수상",2019.03.25,3
36,"이노션, 美 대형 보험사 '오토 오너스 인슈어런스' 광고주 영입",2019.03.19,3
37,'일감 몰아주기' 규제받는 10대 그룹 계열사 33개→114개로,2018.08.26,3
38,"삼성 SDS 사태에 입연 김상조…""비상장 주식 매각 말한 것""",2018.06.19,3
39,작심발언·법 개정…'쌍칼' 든 공정위원장,2018.06.18,3
40,"[위크리뷰]8년만의 최악 고용쇼크, 김동연도 ""충격적 결과""",2018.06.16,3
