,Title,Date,Category
0,서울시의회 제17기 정책위원회 공식 출범...정지권 의원 위원장 선출,2020.08.31,2
1,"21대 초선, 평균 재산 27억…통합 49억·민주 12억·정의 4억",2020.08.28,2
2,"민주당 당대표 후보들, 막판 '보좌진 공략'...SNS 선거운동 지속",2020.08.27,2
3,의원실은 지금 재택근무 중,2020.08.25,2
4,"홍문표 ""광복절 집회 참석 안해…왜곡 보도""",2020.08.20,2
5,"코이카, 세계인도주의의 날 기념 온라인 캠페인…온라인 토크콘서트 진행",2020.08.19,2
6,'금융통' 의원들 '개미 구하기' 잇따라 발의…기업은 부담,2020.08.13,2
7,"전용기 ""악성댓글, 자살방조죄 수준으로 처벌해야"" 통신망법 개정안 발의",2020.08.09,2
8,"""악성 댓글로 피해자 극단 선택 내몰면 10년 이하 징역""",2020.08.09,2
9,민주당 그린벨트 해제 불가론 분출…용산 기지창 등 도심 개발론,2020.07.20,2
10,"與, 그린벨트 해제 불가론 확산…野, 대통령 입장 표명 요구",2020.07.20,2
11,"뉴딜 펀드, 연기금·한전 등도…이광재 ""국민 소득 높일 기회""",2020.07.17,2
12,"'카톡 대화 공개' 추미애 ""오보 지속하면 상응 조치 할 것""",2020.07.10,2
13,오늘부터 전장병 휴대전화 사용… GP근무자는?,2020.07.01,2
14,내달부터 전 장병 휴대폰 사용… 가능 시간대는,2020.06.26,2
15,"(1보)文대통령, 전현희 권익위원장·김창룡 경찰청장 내정…한상혁 방통위원장 연임",2020.06.26,2
16,삼성 지배구조 '정조준' 법안 잇따라…박용진 이어 여당 '경제통'도,2020.06.22,2
17,"‘의원님’ 대신 ‘정훈님’, 1호법안 대신 보좌진 소개…이런 의원 처음이죠",2020.06.03,2
18,"""식은 닭죽은 4분 돌리면…"" '자연인' 민경욱에게 아내가 알려준 것은?",2020.06.01,2
19,'넷플릭스법' 통과됐지만…'공짜망 분쟁' 소송에 달렸다,2020.05.24,2
20,"20대 국회, 마지막 본회의서 133개 법안 처리(종합)",2020.05.20,2
21,'n번방 방지법' 통과…네이버·카카오에 성착취물 차단 의무화,2020.05.20,2
22,"'공짜망' 논란 넷플릭스, 사용료 내나…관련법 통과",2020.05.20,2
23,창원·당진·삼척 등에 '디지털그린 특구' 제안…GS는 '풍력 주주 운동',2020.05.19,2
24,"코이카, 'K방역' 기업 국내외 투자 유치…미국·호주 정부와 함께 '투자 플랫폼' 개설",2020.05.15,2
25,"'국가의전 2위' 국회의장, 박병석·김진표 양자대결…변수는?",2020.05.12,2
26,"[國터뷰-경제통]이용우 ""2분기, 생각지 못한 숫자 나올 것…정부 과감해져야""",2020.04.28,2
27,[양낙규의 Defense Club]이번엔 대령이 지휘통제실 감청,2020.04.24,2
28,"[21대 국회 새인물] 카카오뱅크 대표 출신 이용우 ""디지털 시대에 맞지 않는 규제 없애겠다""",2020.04.23,2
29,육군 전방 부대서 '3급 비밀' 암구호 카톡 공유,2020.04.23,2
30,與경제통은 누구?,2020.04.17,2
31,"[호남 民心은] 리턴매치 전주병 ""4선 정동영"" VS ""민주당 김성주""",2020.04.10,2
32,"[종합]""네거티브 대응 안해"" '로동신문' 고민정 합성 유포 파문",2020.04.10,2
33,"[단독]""위대한 수령 문재인"" 고민정 '로동신문' 합성 무차별 유포",2020.04.09,2
34,세월호 유가족 선정 낙선 후보 명단 보니…황교안·심재철 등 17명,2020.04.09,2
35,"선관위, 투표 과정 생중계…네이버·다음에서도 시청 가능",2020.04.09,2
36,"'이태원 클라쓰' 원작자, 홍준표 '홍새로이'에 불쾌감 표시",2020.04.08,2
37,"김현미 떠난 고양정…'금융전문가' 이용우, '부동산 전문가' 김현아에 앞서 나가",2020.04.02,2
38,"민주당, 총선 콘셉 '코로나19 대응'…文정부 긍정평가 연일 '고공'",2020.03.30,2
39,"선관위 ""피켓 시위 엄정 대처할 것""…나경원 ""관권 선거 공작""",2020.03.30,2
40,"'이낙연TV' vs '황교안오피셜'…총선 격전지 종로, 유튜브 대전 본격화",2020.03.27,2
41,"'카뱅' 출신 이용우 ""수도권 규제 대전환 필요…왜 낙후된 지역까지 발목 잡나""",2020.03.20,2
42,與도 野도 법조인이 좋아…72명 금배지 향해 뛴다,2020.03.18,2
43,"민주당 ""수도권정비계획법 전면 재정비""…카뱅 출신 이용우",2020.03.17,2
44,이재웅의 호소는 통할까...'타다 금지법' 운명 오늘 갈린다,2020.03.04,2
45,"""대면 선거운동 못하게 됐으니""…유튜브·SNS로 가는 예비후보들",2020.02.25,2
46,"與, '고양정'에 이용우 전략공천…'의왕과천'엔 이소영",2020.02.24,2
47,"""우리 이니 하고픈거 다해"" 문빠, 그들은 누구인가",2020.02.18,2
