,Title,Date,Category
0,"文대통령, 취임 후 첫 금융권 간담회…""코로나19 자금지원, 신속성 중요""",2020.04.06,2
1,"통일부 ""남북정상회담 날짜 北과 협의 진행 중""",2018.08.17,2
2,"통일부 ""평양 유소년 축구 참가 南151명 방북 승인""",2018.08.09,2
3,[채용비리 민낯]기득권 끼리끼리 ‘채용비리’ 독버섯,2018.03.17,2
4,"문 대통령, 최흥식 금융감독원장 사표 수리",2018.03.14,2
5,"靑 ""'채용 청탁 의혹' 최흥식 금감원장 사표 오늘 수리""",2018.03.13,2
6,"靑, 최흥식 '채용청탁' 의혹 예의주시…""관련 수석실에서 살펴보고 있을 것""",2018.03.12,2
7,"""인사 개입 없다"" 靑 원칙, 하나금융 회장 인선 흔들어",2018.01.17,2
8,靑 “하나금융지주 회장 인선에 관여하지 않을 것”,2018.01.15,2
9,"하나금융지주 최고위 관계자, 특검서 곧 소환키로",2017.02.03,2
10,'정유라 특혜대출 의혹' 하나은행 임원…최순실 혐의 캘 키맨될까,2017.02.02,2
11,"새누리당, 핀테크 관련 입법 11월 제출키로",2015.09.02,2
12,남북하나재단-하나금융그룹 북한이탈주민 후원 전달식 개최,2015.04.10,2
13,"성균관, 정치·금융 ‘쌍끌이 태평성대’",2015.03.24,2
14,"정무위, 김승유 전 하나금융 회장 국감 증인 채택",2014.10.13,2
15,"[2014국감]정무위, KB사태 관련 임영록·이건호 증인 채택",2014.10.08,2
16,"코로나 재확산에 금감원 종합검사 또 연기 ""사모펀드 조사도 우려""",2020.08.30,3
17,"""9월 이후에도 어려울 수""…코로나 재확산에 금감원 종합검사도 차질(종합)",2020.08.19,3
18,코로나 확산에 금감원 종합검사 또 삐끗…'올해는 어려울것' 관측도,2020.08.19,3
19,"금감원, 종합검사 이달까지 중단…""비대면 검사 등 신축 운영""",2020.08.18,3
20,"금융위 ""대형 금융사 정상화·정리제도 구체안 연내 마련""",2020.08.18,3
21,내년 1분기까지 17명 금융 CEO 임기 끝…이동걸·윤종규 등 연임 관심(종합),2020.08.13,3
22,올해 임기 만료 금융 CEO만 7명…이동걸·윤종규 등 연임 관심 집중,2020.08.13,3
23,해약 늘고 투자손실…보험사 실적 '휘청',2020.07.27,3
24,"하나금융지주, 4000억 조건부자본증권 발행 결정",2020.07.23,3
25,"은성수-5대 금융지주 회장, 4개월 만 회동…""빅테크와 역차별 해소해야""(종합)",2020.07.23,3
26,"은성수 만난 당일 9조원 화답한 윤종규…KB금융, 한국판 뉴딜 플랜 밝혀(종합)",2020.07.23,3
27,"""기울어진 운동장 바로잡아야""…은성수-5대 금융지주 회장, '빅테크 협의체' 구성",2020.07.23,3
28,재무건전성 급한 불 끈 하나·MG손보…하반기 승부수(종합),2020.07.22,3
29,재무건전성 급한 불 끈 하나·MG손보…하반기 승부수 띄운다,2020.07.22,3
30,금감원 종합검사 내달 시작…첫 대상은 하나금융·은행,2020.07.21,3
31,중간배당 ‘D-3일’…하나금융 어떤 결정할까(종합),2020.07.20,3
32,"하나금융, 배당자제 권고에도 중간배당 할까…23일 결정",2020.07.20,3
33,금융사 종합검사 빠르면 내달 둘째주 시작된다(종합),2020.07.13,3
34,"""마이데이터산업 성공 위해 정보 개방은 필수""(종합)",2020.06.29,3
35,하나금융 중간배당 결정 못한 속내는 '외국인 투자자',2020.06.09,3
36,"코로나에 발묶인 금융지주, 해외사업도 묶였다",2020.06.05,3
37,"하나금융그룹, 사회적 경제 활성화 지원 사업 추진",2020.06.05,3
38,'새출발' 하나손해보험…KB 품으로 간 LIG손보처럼?,2020.05.28,3
39,"대기업 직원, 작년 평균 연봉 7920만원…'억대연봉' KB국민·하나 등 33곳",2020.05.03,3
40,1분기 금융지주 실적에 엇갈린 시각 '선방' vs '충격 시작',2020.05.02,3
41,금융지주 보험사들 엇갈린 성적…손보 '방긋'·생보 '울상',2020.05.01,3
42,"하나금융, 더케이손보 자회사 편입 금융당국 승인…M&A 마무리 단계",2020.04.29,3
43,"하나금융지주, 더케이손해보험 인수… 금융위 승인",2020.04.29,3
44,"""DLF 재발 안된다""…그룹사 내부통제 강화 나선 김정태 하나금융 회장",2020.04.28,3
45,'역대 최악 위기' 보험업계…보험사 매물은 나오면 팔려(종합),2020.04.13,3
46,보험업황 최악인데…보험사 인수전 급물살 탄 까닭,2020.04.13,3
47,"금감원장 자제령에…하나금융지주, 11년 만에 중간배당 여부 검토",2020.04.07,3
48,[금융에세이]금융지주 회장님 연봉은 얼마일까,2020.04.04,3
49,금감원 'CEO 중징계 권한' 논란…우리·하나 CEO 중징계 무효화?,2020.03.28,3
50,"""이사회 투명성·견제기능 높여야""…금감원, 우리·하나금융에 경영유의 조치",2020.03.26,3
51,"자산건전성 비상, 코로나發 지원수요 급증…딜레마 빠진 은행(종합)",2020.03.23,3
52,"""시장 붕괴 막아야겠지만""…코로나發 금융 혼돈, 은행권 부담 가중",2020.03.23,3
53,"하나금융, 부회장 1인→3인 체제로",2020.03.20,3
54,조용히 끝난 하나금융 주주총회…사외이사·감사위원 안건 통과,2020.03.20,3
55,막오른 금융권 주총…'우리지주 회장 연임' 최대 이슈,2020.03.19,3
56,시장 덮친 위기감에…밤 잠 설치며 주말도 내놓은 금융권 수장,2020.03.18,3
57,"'하나금융 M&A' 지주사는 OK, 증권사는 NO?…금융당국의 인허가 딜레마(종합)",2020.03.16,3
58,"하나금융, 더케이손보 자회사 편입 심사 신청…인수 문제없다?",2020.03.16,3
59,"[단독]靑 민정수석실, 금융감독원 감찰 착수",2020.03.03,3
60,[데스크칼럼]금융감독당국의 반면교사,2020.03.02,3
61,"금융당국-5대 금융지주 ""고객 없이 금융사 없다"" 코로나 대응 적극 한 목소리",2020.03.02,3
62,"'코로나19' 확산에…다음달 주총 앞둔 금융지주 ""이를 어쩌나""",2020.02.26,3
63,"일정 취소, 또 취소…코로나19에 금융당국·업계 '非접촉 지령'(종합)",2020.02.25,3
64,"코로나19·라임에 은행株, 이젠 '천원대'…4대 지주 순익 11조 무색",2020.02.25,3
65,브리핑·행사 줄줄이 취소…당국·업계 등 금융권 일제히 초비상,2020.02.25,3
66,"윤석헌 ""DLF 중징계, 인사개입 전혀 아니다""",2020.02.20,3
67,"금감원, 우리·하나銀 종합검사 계획 이르면 내달 가닥(종합)",2020.02.18,3
68,DLF제재·라임조사에 종합검사까지?…우리·하나銀 '초긴장',2020.02.18,3
69,"금융지주계 저축銀, 순이익 1년새 40% 이상 '껑충'(종합)",2020.02.17,3
70,"금융지주 계열 저축銀, 작년 성적표 '양호'",2020.02.17,3
71,"더케이손보, 하나금융 14번째 자회사된다",2020.02.14,3
72,주가 부양 시급한데…코로나19에 '해외 IR' 발묶인 금융지주 CEO,2020.02.13,3
73,또 자사주 산 김정태…‘배당=자사주 매입’,2020.02.08,3
74,"하나금융, 국내 M&A 곳곳서 '암초'…더케이손보 인허가 난망(종합)",2020.02.07,3
75,"하나금융, 더케이손보 인수 '산 넘어 산'…노조 잡음에 인허가도 난망",2020.02.07,3
76,文정부 출범 후 거세진 외풍…'新 관치 금융' 논란(종합),2020.02.06,3
77,외풍 시달리는 금융지주사…'新 관치 금융' 논란,2020.02.06,3
78,[DLF 중징계]우리·하나금융 수장 어떻게…우리銀 행장후보 선정 또 불발(종합),2020.01.31,3
79,[DLF 중징계]우리·하나銀 CEO에 '레드카드'…제재심 결정 배경은(종합),2020.01.31,3
80,"[DLF 중징계]금감원, 예상밖 중징계…'레드카드' 꺼낸 배경은",2020.01.31,3
81,[DLF 중징계]우리·하나 향후 수순은…소송카드 만지작,2020.01.31,3
82,"불완전판매로 CEO 중징계…""은행, 사모펀드 판매 크게 위축될 것""",2020.01.31,3
83,"더케이손보, 고용안정 논란…매각 막바지 변수 급부상(종합)",2020.01.28,3
84,더케이손보 고용안정 논란…매각 막바지 변수로,2020.01.28,3
85,오는 30일 'DLF 사태' 최종 제재심…우리ㆍ하나銀 CEO 운명은?,2020.01.27,3
86,"리스크 관리 덕본 KB금융, 푸르덴셜 품고 '리딩금융' 탈환할까(종합)",2020.01.22,3
