,Title,Date,Category
0,,,2.0
1,카뱅 승승장구…출범 후 첫 흑자·카카오 대주주 심사도 청신호(종합),2019.05.15,3.0
2,"카카오뱅크, 출범 후 첫 흑자…1분기 순익 66억원",2019.05.14,3.0
3,"카뱅, 적자 털고 흑자 기대감...케뱅, 부실 대출 위험 부메랑",2018.12.06,3.0
4,증권업계 1분기 실적 기대감 높아졌다,2017.04.20,3.0
5,"한국투자증권, 애플·페이스북 연계 TRUE ELS 8609회 모집",2017.04.18,3.0
6,2Q 저평가 매력 높은 증권주 부각…키움증권·한국금융지주,2017.04.17,3.0
7,"카카오뱅크, 이용우(한투)·윤호영(카카오) 공동대표 체제 유지",2017.01.03,3.0
8,카카오뱅크 본인가 신청 해 넘긴다…행장 선출 못해,2016.12.26,3.0
9,"한국투자증권, ISA 신규가입 이벤트 실시",2016.10.13,3.0
10,우리銀 '진성 투자'에 달렸다,2016.09.23,3.0
11,'초대형 IB 육성'에 매물 증권사 주가도 '희비',2016.08.10,3.0
12,"한투증권, 영업점 개설계좌 온라인 거래수수료 5년 무료",2016.08.05,3.0
13,"한국투자증권, 베트남 ETF 적립식 랩 출시",2016.08.01,3.0
14,"한국금융지주, 계열사 유상증자 참여 200억 출자",2016.06.02,3.0
15,"한국투자증권, 연금저축계좌·IRP 고객 이벤트 실시",2016.04.01,3.0
16,"'아쉬운 고배' 한국금융지주, 증자·추가 M&A 나설까",2016.04.01,3.0
17,"[KB, 현대證 인수]한국투자증권, '메가 증권사' 도약 무산",2016.03.31,3.0
18,"미래에셋, 현대증권 인수전 참여 검토 중",2016.03.20,3.0
19,"한국투자증권, ISA 바이럴 영상 퀴즈 이벤트 실시",2016.03.17,3.0
20,"한투證, '유가전망 및 ETF 투자방법' 세미나 개최",2016.03.14,3.0
21,"한국투자證, 존 리 대표와 함께 하는 온라인 투자설명회 개최",2016.03.11,3.0
22,산은 “현대상선 용선료 협상 가시화되면 채무재조정”,2016.03.09,3.0
23,"한국투자증권, 연 8% 수익추구형 TRUE ELS 모집",2016.03.08,3.0
24,"한국투자證, 2016 뱅키스 타사대체입고 이벤트 실시",2016.03.08,3.0
25,"한국투자증권, '2016 한국투자 FC 어워즈' 행사 개최",2016.03.07,3.0
26,"한국투자증권 ""현대證 실사자료 부실…본입찰 불참 가능성""",2016.03.07,3.0
27,"한국투자증권, 뱅키스 2017년 대학 입시설명회 개최",2016.03.03,3.0
28,"한국투자증권, 제10기 뱅키스 대학생 홍보대사 모집",2016.03.02,3.0
29,"한국투자증권, 해외주식투자전용펀드 가입 이벤트 실시",2016.02.29,3.0
30,"한국투자증권, 비대면 실명확인 계좌 개설 시행",2016.02.18,3.0
31,"장 종료 후 ""이 공시 눈에 띄네""(코스피-17일)",2016.02.18,3.0
32,"한국카카오, 카카오뱅크에 991억원 유상증자 결정",2016.02.17,3.0
33,"한국카카오, 운영자금 조달 위해 991억 규모 유증 결정",2016.02.17,3.0
34,"한국투자증권, 대구에서 '주식투자 설명회' 개최",2016.02.17,3.0
35,"한국투자증권, 연 6% 수익추구형 노녹인 ELS 모집",2016.02.16,3.0
36,'4300억원 vs 1조원' 인수전 막 오른 현대증권 매각가는,2016.02.15,3.0
37,"한국투자증권, ISA 사전예약 고객 이벤트 실시",2016.02.15,3.0
38,"KB금융의 두번째 도전, 현대증권 인수전 참여",2016.02.12,3.0
39,"한국투자증권, 연 6.3% 수익추구 '노녹인' ELS 모집",2016.02.02,3.0
40,"한국금융지주, 한국투자캐피탈에 2천억 채무보증",2016.01.28,3.0
41,"한투證, 저소득층 청소년 동계 교복 지원",2016.01.25,3.0
42,"한투證, 기준가 35%로 원금손실 구간 낮춘 ELS 모집",2016.01.19,3.0
43,"신한금융투자 ""증권업, 주가 1년 전과 같지만 업황은 개선""",2015.12.26,3.0
44,"한투證 ""대우증권 매각 최종 입찰서 제출…유상증자 안해""",2015.12.21,3.0
45,"한국금융지주, 그룹 정기 임원 인사",2015.12.21,3.0
46,"한국투자證, 연 6.3% 추구 ELS 출시",2015.12.15,3.0
47,"한국證, HSI·유로스톡스50 기초자산 ELS 출시",2015.11.24,3.0
48,"[골드메이커]""연 6% 추구 노녹인 ELS 투자하세요""",2015.11.10,3.0
49,"[골드메이커]한국證, '참벗나눔 어린이 경제교실' 개최",2015.11.10,3.0
50,"산은, 대우증권·산은자산운용 매각 공고…KB금융·미래에셋 후보거론",2015.10.08,3.0
51,"KB금융, 대우증권 인수 자문단 선정",2015.10.06,3.0
52,"인터넷은행 주도권 싸움, 치고 나온 우리은행",2015.09.08,3.0
53,금융사 4분기 호실적 예상..부진 씻는다,2014.11.28,3.0
54,"국민銀 노조 ""더 이상 외부출신 안 돼""…자필서신으로 호소",2014.09.19,3.0
55,"한국금융지주 ""카카오뱅크 지분 22일 카카오에 매각""",2019.11.19,4.0
56,"카카오, 영상·콘텐츠로 글로벌 공략…신사업 투자 확대(종합)",2018.08.09,4.0
57,"카카오 ""카카오뱅크 최대주주 될 수 있는 옵션 있다""",2018.08.09,4.0
58,지난해 국내 500대 기업 중 32곳 ‘물갈이’,2017.06.14,4.0
59,"[KB, 현대證 인수]증권 매각에 한숨돌린 현대상선 ""구조조정 성공 발판""",2016.03.31,4.0
60,"'구사일생' 자율협약 개시…현대상선 ""사즉생 각오로 정상화""",2016.03.29,4.0
61,"증권사, '유동성' 바람 타고 3분기 실적도 순항 예고",2020.08.28,5.0
62,"한국금융지주, 이시간 주가 -2.51%.... 최근 5일 개인 30만 9618주 순매수",2020.08.18,5.0
63,"한국금융지주, 2분기 순익 추정치 대폭 상회…목표가 상향",2020.08.17,5.0
64,"HMM, 커뮤니티 활발... 주가 0.6%.",2020.08.11,5.0
65,"한국전력, 주가 2만 850원 (7.2%)… 게시판 '북적'",2020.08.11,5.0
66,"한국금융지주, 커뮤니티 활발... 주가 -1.35%.",2020.08.11,5.0
67,"한미사이언스, 주가 6만 2900원 (1.13%)… 게시판 '북적'",2020.08.11,5.0
68,"강세장 날개 단 증권주, '신고가 속출'",2020.08.11,5.0
69,"'저가 베팅' 국민연금, 유통주 담았다",2020.08.06,5.0
70,"한국금융지주, 증권 테마 상승세에 5.22% ↑",2020.07.16,5.0
71,거래대금 증가…증권주 모처럼 '훈풍',2020.07.08,5.0
72,증권세제 개편안 藥될까 毒될까,2020.06.26,5.0
73,"외국인, 5주만에 순매수 전환…코스피·코스닥 모두 '사자'",2020.06.07,5.0
74,"'어닝쇼크' 잊어라…키움증권, 2분기 영업익 전년비 2배 전망",2020.06.05,5.0
75,[e공시 눈에 띄네]코스피-4일,2020.06.05,5.0
76,"한은, 또 기준금리 전격 인하...증시 수혜 종목은",2020.05.28,5.0
77,"금융株, 주가는 올랐지만 아직은 우려 남아",2020.05.27,5.0
78,[e공시 눈에 띄네]코스피-21일,2020.05.22,5.0
79,"[클릭 e종목]""한국금융지주, 1분기 대규모 적자…중장기적으론 매력적""",2020.05.18,5.0
80,[동학개미 한달]증권사 실적 우려?…'브로커리지'로 일부 방어,2020.04.20,5.0
81,[e공시 눈에 띄네] 코스피-7일,2020.04.08,5.0
82,1년전 반토막…증권사 1분기 어두운 실적 전망,2020.04.07,5.0
83,"김진영 하이투자증권 부사장, 작년 증권가 '연봉킹'",2020.03.30,5.0
84,매일 비상회의…바짝 긴장하는 증권사들,2020.03.24,5.0
85,주가 곤두박질에 자사주 매입 나선 증권사,2020.03.23,5.0
86,"한국투자금융지주, '김남구 부회장' 회장으로 선임",2020.03.20,5.0
87,[e공시 눈에 띄네]코스피-5일,2020.03.06,5.0
88,"한국금융지주, 보통주당 2900원 현금배당 결정",2020.03.05,5.0
89,국민연금 '배당 압박' 통할까,2020.02.21,5.0
90,"[클릭e종목]""한국금융지주, 4Q 어닝서프라이즈…자회사 성장 기대""",2020.02.11,5.0
91,"[클릭 e종목]""한국금융지주, 작년 4Q 지배주주순이익 시장기대치 상회""",2020.02.11,5.0
92,"한국투자증권, 작년 영업익 8652억원…전년비 34%↑",2020.02.06,5.0
93,"증권주, 올해는 얼마나 성장할까?",2020.01.22,5.0
