,Title,Date,Category
0,'해양플랜트기자재' 국제표준화로 혁신적 비용절감 추진,2018.12.19,2
1,"산업부-조선해양플랜트協, '제15회 조선해양의 날' 개최",2018.09.14,2
2,정화섭 에스앤더블류 사장 은탑산업훈장 수상,2015.09.15,2
3,"정부, 148조 LNG추진선박 시장에 도전장",2015.07.15,2
4,내일부터 무급휴직자 150만원 지급 신청…지원요건 살펴보니,2020.06.14,3
5,"층간소음, 이제는 지은 후에 측정… 다만 강제 보완은 제한적",2020.06.09,3
6,23兆 카타르 LNG선 수주 '막전막후',2020.06.02,3
7,"조선업계 ""8兆로 부족, 지원항목 다양화해야""(종합)",2020.04.27,3
8,"조선업계 ""8兆 어림도 없다"" 정부 ""필요시 대응방안 검토""",2020.04.27,3
9,2019년 국내 대기업 기업결합 '절반' 감소한 12.9兆…과태료 2.1억으로 35%↓,2020.02.20,3
10,"日, 현대重-대우조선해양 합병 ""WTO 규범 위반"" 주장",2020.02.12,3
11,"정부 ""조선강국 지키자…친환경·자율운항 선박 기술개발 적극 지원""",2020.01.09,3
12,"반도체·車·철강·조선, 30년전에도 '주력업종'…구조개혁 시급",2019.11.10,3
13,"현대중공업, 공정위에 '대우조선 기업결합' 신고서 제출",2019.07.01,3
14,"고용부, 삼성·현대차 등 대기업과 포용적 일자리 창출 공동 선언",2019.06.19,3
15,"대우조선 민영화 본계약 체결…""고용안정·기존거래선 유지""(종합)",2019.03.08,3
16,"산은·현대重, 대우조선 민영화 본계약…""고용안정·기존거래선 유지""(상보)",2019.03.08,3
17,"""세계 제일 조선해양국가 자부심 지키자""",2019.01.10,3
18,'해양플랜트기자재' 국제표준화로 혁신적 비용절감 추진,2018.12.19,3
19,"수주확대 조선업황 호전됐지만…업계 ""회복 말하기엔 시기상조""",2018.11.28,3
20,"산업부-조선해양플랜트協, '제15회 조선해양의 날' 개최",2018.09.14,3
21,"해수부 ""LNG 벙커링 산업 마중물""…기술개발·체계구축 사업 착수",2018.05.22,3
22,[수소차시대 성큼]6천만원대 승용차 출시·수출도 본격화…민관이 뛴다,2016.09.12,3
23,"[단독]금융위 ""외국 업체에 조선업 구조조정 컨설팅""…정작 업계는 ""컨설팅 안 할 수도""",2016.05.11,3
24,"공정위원장 ""대형조선사, 불황 극복법은 中企와의 상생협력""",2015.11.13,3
