,Title,Date,Category
0,‘카이 주식’ 사라던 김조원 전 前 민정수석,2020.08.11,2
1,‘문 대통령의 첨단국방기술’엔 방산기업은 없었다,2020.07.25,2
2,"휴니드, 수리온 자동비행모듈 창정비 업체 선정",2020.07.14,2
3,차세대 기동헬기 ‘수리온 도입 VS UH-60 개량’,2020.07.08,2
4,[양낙규의 Defense Club]쏟아진 방산 수주계약… 속 사정은,2020.07.01,2
5,'TA-50 블록2' 20대 공군 훈련기로 구매,2020.06.30,2
6,한국산 T-50을 거부했던 대만의 훈련기는,2020.06.20,2
7,올해 항공사업 관전포인트 (7)- 공군 대형수송기 추가도입 기종은,2020.05.16,2
8,"휴니드, 미사일경보시스템 국산화 성공",2020.04.28,2
9,장관주재 첫 KF-X 비상대책회의,2020.04.06,2
10,유로사토리 방산전시회도 취소,2020.04.01,2
11,"文대통령 ""세계 첫 '대기·해양 관찰 위성' 안착…미세먼지 원인 대응""",2020.03.09,2
12,"천리안위성 2B호, 목표 정지궤도에 안착 성공",2020.03.08,2
13,"휴니드, 영국 MBDA와 3D 프린팅기술 협력 체결",2020.03.04,2
14,"정경두 국방, 인도와 방산협력 강조",2020.02.06,2
15,[양낙규의 Defence Club]한·인도 방산협력 합의… 주요 공략 무기는,2020.02.05,2
16,정 국방장관 찾아간 인도… 잠수함사업 손 들어줄까,2020.02.03,2
17,[양낙규의 Defence Club]한중일 지금 무인헬기 개발戰,2020.02.01,2
18,[양낙규의 Defence Club]서북도서 무인기사업 10년째 ‘진행 중’,2020.01.20,2
19,[양낙규의 Defence Club]궁지몰린 방산기업… 탈출구 없이 허덕,2020.01.16,2
20,한화에어로스 지난해 세계 무기판매 46위…韓방산업체 '껑충',2019.12.09,2
21,"""국내 최초 민수헬기 날아오르다""…초도비행 성공",2019.12.05,2
22,"한-아세안 회의 D-1…국방부, 방산협력 강화 '수출확대' 모색",2019.11.24,2
23,"국방대 외국군 장교들, 기품원 방문…韓무기체계 우수성 소개",2019.11.20,2
24,'2019 기계의 날' 개최…2년 연속 수출 500억 달러 돌파 다짐,2019.11.06,2
25,"육군 '수리온' 훈련 중 이상 징후로 예방착륙…""운항 중지""",2019.11.05,2
26,"""재난치안용 드론 떴다""…무인기 초도비행 성공",2019.11.01,2
27,"김조원 靑민정수석, KAI주식 처분 않고 보유",2019.10.25,2
28,"김조원 靑민정수석, 임명 뒤에도 재직당시 사들인 KAI 주식 미처분",2019.10.25,2
29,한국형 '아이언맨·타우러스'…韓방산 미래무기 총출동,2019.10.16,2
30,기품원 'ADEX 2019' 홍보전시관 개관…중소기업 제품 소개,2019.10.14,2
31,"[2019 국감] ""정부가 220억원 투자한 안티드론 기술, 국내법상 불법""",2019.10.02,2
32,"한국형전투기 사업 '시제기' 제작 돌입…""새로운 도전과제 직면""",2019.09.26,2
33,"日과 연장 안 한 지소미아, 태국과 체결하는 이유?",2019.09.02,2
34,"바른미래당 “조국, 여름휴가 주고 장관 복귀?…꿈도 꾸지 마라”",2019.07.26,2
35,[프로필]김조원 민정수석…문 대통령 민정수석 시절 직속상관으로 보좌,2019.07.26,2
36,靑 수석 3명 교체…민정 김조원·일자리 황덕순·시민사회 김거성(종합),2019.07.26,2
37,[속보] 靑 수석 3명 교체…민정 김조원·일자리 황덕순·시민사회 김거성,2019.07.26,2
38,"문 대통령, 오늘 조국 등 수석 3명 교체…민정 김조원·일자리 황덕순·시민사회 박순성 유력",2019.07.26,2
39,"문 대통령, 윤석열에 임명장…2기 사정라인 1단계 완성",2019.07.25,2
40,"조국 수석, 이번 주 교체될 듯…후임에 김조원 KAI 사장 유력",2019.07.24,2
41,무인이동체 분야 '2019 무인이동체 산업엑스포' 개막,2019.07.10,2
42,"KAI ""소형무장헬기(LAH) 초도비행 성공""",2019.07.04,2
43,기품원 '스토리텔링 홍보전시관' 개관…전투기 모형 등 전시,2019.06.27,2
44,"휴니드, 중소기업 최초 'CMMI 레벨 5' 인증 획득",2019.06.18,2
45,"""한국형전투기 탑재할 AESA레이더, 軍조건 충족…시제품 제작""",2019.05.30,2
46,"석유관리원-항공우주연구원, 발사체 전용연료 개발 협력",2019.05.30,2
47,韓美 아·적군 식별장치 엇박자‥유사시 전력공백,2019.05.01,2
48,"KAI, 소형무장헬기 '엔진 가동' 성공…비행시험 단계 진입",2019.04.08,2
49,[르포]“北까지 5분”…국산항공기로 24시간 출격대기 ‘8전비’,2019.04.07,2
50,[재산공개] 재정과 경제 다루는 국회의원들의 ‘재테크 포인트’는…,2019.03.28,2
51,"휴니드, AM기술혁신센터 설립…'3D프린팅' 세계시장 공략",2019.03.05,2
52,'오일머니' 중동 최대 방산전시회 개막…韓 30개 기업 참여,2019.02.17,2
53,"문 대통령 ""국가 출연 연구소 과제성공률 99.5%, 자랑스럽지 않아…쉬운 과제만 도전""",2019.01.24,2
54,한병도 이라크 특임 외교 특별 보좌관 대통령 특사로 이라크 파견,2019.01.24,2
55,"드론분야 첨단 기술·제품의 장, '2019 드론쇼코리아' 개막",2019.01.24,2
56,"KAI ""인니, KFX 분담금 1320억 입금…공동개발 순항""",2019.01.02,2
57,[양낙규의 Defence Club]마린온 추락했지만 책임지는 군은 없었다,2018.12.21,2
58,"KAI, 소형무장헬기 시제 1호기 출고…시험평가 단계 진입",2018.12.18,2
59,"정경두 국방장관 ""방위산업 어려움 알아…수출지원 강화할 것""",2018.12.14,2
60,"KAI, 2000억 규모 軍의무후송전용헬기 양산계약 체결",2018.12.14,2
61,방산업계 추락인가 주춤인가… 35년만에 매출 감소,2018.12.14,2
62,"정경두 국방장관, 방위산업체 CEO 간담회…""경쟁력 강화 노력""",2018.12.14,2
63,[양낙규의 Defence Club]KAI의 앞날… 희망적 VS 부정적,2018.12.08,2
64,[양낙규의 Defence Club]국내 무인정찰기… 연이은 추락에 불량부품까지,2018.12.08,2
65,"한화시스템, KAI와 '군 정찰위성 핵심장비 개발' 계약",2018.12.05,2
66,KAI ·국방과학연구소와 군사정찰위성 계약체결,2018.12.05,2
67,"[양낙규의 Defence Club]KAI·대우조선해양, 인니서 방산 '청신호'",2018.11.08,2
68,[양낙규의 Defence Club]'국내 29개 방산업체' 동남아 시장 개척 나서,2018.11.07,2
69,"휴니드, LCH 전기시스템 생산 착수",2018.10.31,2
70,"산업부, '항공우주부품기술개발사업 기술교류회' 개최",2018.10.31,2
71,"[전문]한-프랑스 정상 ""평화적 비핵화 목표 위해 긴밀히 협력""",2018.10.16,2
72,[드론 스토리]'백병전 종언'…영화로 본 드론전쟁,2018.09.30,2
73,[양낙규의 Defence Club]APT 수출 고배… 트럼프 실속만 차렸다,2018.09.29,2
74,"文대통령 귀국하자마자 ‘카이, APT 탈락’ 발표",2018.09.28,2
75,"카이(KAI), 미 공군 훈련기 교체사업 탈락…앞날은",2018.09.28,2
76,"[양낙규의 Defence Club]카이, 美 고등훈련기사업 탈락(종합)",2018.09.28,2
77,"카이, 美 고등훈련기사업 탈락(3보)",2018.09.28,2
78,"카이, 美 고등훈련기사업 탈락(2보)",2018.09.28,2
79,마린온 사고는 기체결함… 카이 최대 위기,2018.09.17,2
80,[양낙규의 Defence Club]이번 주 카이의 운명이 갈린다,2018.09.17,2
81,[양낙규의 Defence Club]고전하는 방산주… 이유는,2018.09.08,2
82,마린온사고원인 규명 위해 외국전문가 참여,2018.08.06,2
83,"해병대 ""마린온 6월말부터 기체 진동으로 집중정비""",2018.07.20,2
84,"해병대 헬기, 이륙 4~5초 만에 회전날개 날아가",2018.07.18,2
85,"[양낙규의 Defence Club]한화, 카이 지분 매각 의미는",2018.07.14,2
86,KF-X 설계도 내년 9월 완성된다,2018.06.29,2
87,[양낙규의 Defence Club]해결해야 할 우리 군의 정찰자산,2018.06.23,2
88,"국방과학연구소, 초음속 실험 자체 실시한다",2018.06.05,2
89,"KAI, 소방헬기 제주소방안전본부에 납품",2018.05.24,2
90,[양낙규의 Defence Club]남북대화 분위기… 방산수출 지원책 절실,2018.05.07,2
91,[차장 칼럼] '김기식 논란'의 원인,2018.04.16,2
92,[양낙규의 Defence Club]항공역사의 첫걸음 KT-1은,2018.04.14,2
93,C4I 2차 성능개량사업 한화시스템이 맡는다.,2018.04.09,2
94,"""따놓고 보자""…드론자격증, 무용지물 오명 벗을까",2018.04.08,2
95,방진회 차기 회장에 S&T그룹 최평규 회장 단독추대,2018.03.08,2
96,‘복마전’ 공공기관에 감사원 출신 낙하산 보내는 이유,2017.12.22,2
97,[양낙규의 Defence Club]송장관의 빅3 무기사업 '손익계산서',2017.11.18,2
98,"인니, 한국형전투기 올해 하반기 분담금 1389억원 미납 확인",2017.11.01,2
99,"KAI, 미공군과  F-16 전투기 창정비사업 수주",2017.10.31,2
100,"[군사이야기] 비둘기, 독수리 되다",2017.10.30,2
101,[2017국감]감사원 '코드감사·독립성' 논란 재연,2017.10.19,2
102,[차장칼럼]방산업계의 기대와 실망,2017.10.18,2
103,[서울ADEX]수주계약·수출상담 160억달러 예상,2017.10.17,2
104,"[2017 국감]이학영 ""상장사 111곳서 5년간 횡령·배임 3.2조""",2017.10.15,2
105,국내개발 무기 줄줄이 부실 의혹,2017.10.10,2
106,'KAI 경영비리 정점' 하성용 전 대표 구속…檢 수사 급물살,2017.09.23,2
107,또 극단적인 선택…비극의 검찰 수사 '잔혹사',2017.09.21,2
108,[양낙규의 Defence Club]목숨끊은 KAI부사장… 성과올리기 수사 탓인가,2017.09.21,2
109,'채용비리' KAI 경영지원본부장 두번째 영장도 기각,2017.09.21,2
110,"""이젠 영장실질심사 제도를 심사할 때""",2017.09.20,2
111,'분식회계 증거인멸' KAI 임원 구속영장 기각…檢 수사 휘청,2017.09.14,2
112,"'분식회계 증거인멸 교사' KAI 임원, 13일 영장심사",2017.09.12,2
113,검찰 '분식회계 증거인멸 교사' KAI 임원 구속영장 청구,2017.09.11,2
114,"우원식 ""한국당 대정부질의 참석 권리 없다""",2017.09.11,2
115,"줄줄이 영장기각에 검찰-법원 충돌…""수사 불가능"" vs ""공정한 결정""",2017.09.08,2
116,"민주 ""이정현 의원 조카 KAI 채용비리 철저 수사해야""",2017.09.08,2
117,"법원 '채용 비리' KAI 본부장 구속영장 기각…檢 ""이해 못해""",2017.09.08,2
118,'100억대 원가조작' KAI 구매본부장 8일 영장심사,2017.09.07,2
119,'채용 비리' KAI 본부장 영장심사…밤늦게 결론날듯,2017.09.07,2
120,"檢, '100억대 원가조작' KAI 본부장 구속영장 청구",2017.09.06,2
121,방사청 조사권 놓고 국정원VS기무사 기싸움,2017.08.25,2
122,[양낙규의 Defence Club]문대통령 방미 함께 간 방산기업 세무조사 왜,2017.08.25,2
123,'대출사기' KAI 협력업체 대표 구속…'증거인멸 우려',2017.08.15,2
124,[문재인정부 100일]날 세운 방산비리·국방개혁 칼날,2017.08.14,2
125,'대출사기'  KAI 협력업체 대표 스스로 영장심사 출석,2017.08.14,2
126,"KAI, T-50 8대 태국에 수출… 2900억원 규모",2017.07.30,2
127,[양낙규의 Defence Club]기무사 첫 비육군출신 수장 나오나,2017.07.22,2
128,하성용 KAI사장 20일 사의표명(종합),2017.07.20,2
129,하성용 KAI사장 20일 사의표명(3보),2017.07.20,2
130,하성용 KAI사장 20일 사의표명(2보),2017.07.20,2
131,신임 방사청장 후보군 전면 재검토,2017.07.19,2
132,"문 대통령, 장명진 방사청장 사표 수리",2017.07.18,2
133,"감사원, '수리온' 개발·운영 부실 확인…장명진 방사청장 수사요청",2017.07.16,2
134,"KAI, 소형무장헬기 첫 조립… 2022년 실전배치",2017.06.27,2
135,"[양낙규의 Defence Club]KAI, 고등훈련기사업 제안서 제출… 변수없나",2017.04.01,2
136,육군 대대급무인기 줄줄이 추락… 기종선정 문제 있었나,2017.03.29,2
137,방산수출액 5년전으로 후퇴,2017.02.09,2
138,국산헬기 수리온 비행 전면금지,2017.02.03,2
139,軍관련기관 줄줄이 해킹 당했다,2017.01.26,2
140,軍수뇌부 잇단 출국… 미외교안보 접촉,2017.01.25,2
141,"KAI, 수리온 기반 군 의무후송 전용헬기 체계개발 완료",2016.12.29,2
142,"KAI, 해병대 상륙기동헬기 30대 보급",2016.12.28,2
143,"[탄핵가결] 정경두 공군총장, 다음주 미국출장 취소",2016.12.09,2
144,"국산 수리온 헬기, 불법 조업 단속·해양 주권 수호 나선다",2016.12.06,2
145,"KAI, 2000억원 규모 T-50계열 항공기 군수지원 수주",2016.12.01,2
146,세계 100대 방산기업중 국내기업 6개 포함,2016.12.01,2
147,"방사청, 한국형 전투기 내년부터 기본설계 착수",2016.12.01,2
148,"한미 공군, 대규모 연합훈련 돌입… 北핵심시설 타격",2016.11.30,2
149,"KAI, 소형무장헬기 시제 1호기 생산 착수",2016.11.29,2
150,미수출 겨냥 T-50A… 첫 시험비행,2016.11.24,2
151,T-X 사업 정조준 T-50A… 미현지서 시험비행,2016.11.14,2
152,방산기업의 트럼프 효과 ‘약일까? 독일까’,2016.11.10,2
153,경공격기 'FA-50' 공군인도,2016.10.21,2
154,TX사업 정조준… 정경두 공군총장 내달 방미,2016.10.11,2
155,"""금수저는 있었다""…미취학 어린이들 주식 2조8000억 보유",2016.09.20,2
156,"靑, 방산기업 해킹대책마련 직접 나선다…  방사청과 첫 회의",2016.08.11,2
157,한미 'KF-X 기술이전' 놓고 첫 고위급 회의,2016.07.27,2
158,TX사업 수주戰… 최후의 카드 ‘사직서’,2016.07.21,2
159,KFX 풍동시험 시작… 2018년 중반 기체형상 확정,2016.06.22,2
160,"KAI, 에어버스와 '수리온 해상작전헬기' 공동개발",2016.06.17,2
161,"與 지도부, 연평해전일 맞아 軍 안보태세 점검",2016.06.15,2
162,K-9 자주포 ‘세계 방산시장 정조준’,2016.06.14,2
163,구조조정 자본확충 빈칸 3곳…무엇으로 채울까,2016.06.12,2
164,[양낙규기자의 Defence]미수출용 T-50A의 장착 장비는,2016.06.04,2
165,미수출 겨냥 T-50A… 첫 시험비행,2016.11.24,2
166,T-X 사업 정조준 T-50A… 미현지서 시험비행,2016.11.14,2
167,방산기업의 트럼프 효과 ‘약일까? 독일까’,2016.11.10,2
168,경공격기 'FA-50' 공군인도,2016.10.21,2
169,TX사업 정조준… 정경두 공군총장 내달 방미,2016.10.11,2
170,"""금수저는 있었다""…미취학 어린이들 주식 2조8000억 보유",2016.09.20,2
171,"靑, 방산기업 해킹대책마련 직접 나선다…  방사청과 첫 회의",2016.08.11,2
172,한미 'KF-X 기술이전' 놓고 첫 고위급 회의,2016.07.27,2
173,TX사업 수주戰… 최후의 카드 ‘사직서’,2016.07.21,2
174,KFX 풍동시험 시작… 2018년 중반 기체형상 확정,2016.06.22,2
175,"KAI, 에어버스와 '수리온 해상작전헬기' 공동개발",2016.06.17,2
176,"與 지도부, 연평해전일 맞아 軍 안보태세 점검",2016.06.15,2
177,K-9 자주포 ‘세계 방산시장 정조준’,2016.06.14,2
178,구조조정 자본확충 빈칸 3곳…무엇으로 채울까,2016.06.12,2
179,[양낙규기자의 Defence]미수출용 T-50A의 장착 장비는,2016.06.04,2
180,美수출겨냥 T-50A 첫 비행 성공,2016.06.03,2
181,너도나도 기관장 치켜세우기 방산전시회… 이번엔 방사청,2016.05.30,2
182,"현대중공업, 이지스함 3척 건조 탐색개발 협상업체로 선정",2016.05.26,2
183,"국책銀 자본확충, 2009년 그때 그 방식으로",2016.05.24,2
184,KF-X개발 향방은… AESA 레이더개발 못할땐 국외수입,2016.05.18,2
185,국산 훈련기 KT-100 전력배치,2016.05.11,2
186,"軍, 기체결함 국산 기동헬기 ‘수리온’ 조사 착수",2016.05.09,2
187,"韓·美 우주협력협정 공식 서명...""한미동맹 새 지평""",2016.04.27,2
188,KF-X AESA 레이더 개발 우선협상업체로 한화탈레스 선정(종합),2016.04.20,2
189,자폭무인기 우리군도 도입하나,2016.04.03,2
190,신소재산업협의회 개최…지원 강화,2016.03.30,2
191,오뚜기·쿠팡·넷마블 등 고용창출 100대 우수기업,2016.03.17,2
192,한국형전투기사업단장에 정광선 예비역 공군 준장 임명,2016.03.14,2
193,"더민주, 공천관리위원장에 홍창선 前 카이스트 총장  선임",2016.02.04,2
194,"수리온 응급헬기, 첫 비행 성공",2016.01.25,2
195,"21일 ""한국형 전투기(KF-X), 개발한다""",2016.01.21,2
196,"KAI, 인니 측과 한국형전투기 본계약",2016.01.07,2
197,해상작전헬기 2차사업도 ‘해외구매’ 가닥,2015.12.30,2
198,해병대용 상륙기동헬기 개발… 내년부터 전력화,2015.12.29,2
199,KF-X 개발사업 28일 본계약,2015.12.28,2
200,KF-X 본계약 28일께 체결… 2025년까지 시제기 6대 생산,2015.12.24,2
201,"한국·인도네시아, '전략적 동반자 관계' 심화",2015.12.19,2
202,"朴대통령 ""T-X 수출 한미동맹 강화 촉매제 될 것""",2015.12.17,2
203,미수출용 T-50… 추가 장착한 기능은,2015.12.17,2
204,저가입찰방식에 국내 방산기업 ‘만성적자’,2015.12.16,2
205,[양낙규기자의 Defence Movie]동급최강 KT-1 기본훈련기,2015.11.21,2
206,[2015 세계방산시장]세계 무기수출 1~3위 기업 매출액은,2015.11.19,2
207,[2015 세계방산시장]전세계 국방비지출 0.4% 줄었다… 美 6.5% 축소,2015.11.19,2
208,[2015 세계방산시장]KF-X수출전망은 '장밋빛 청사진',2015.11.19,2
209,한중일 3국 첫 방산수출전… 치열한 태국방산시장,2015.11.05,2
210,"김종대 ""방사청 해명 반박, KF-X 핵심기술 국내에 없다""",2015.11.04,2
211,동남아 방산시장 큰손 떠오른 태국,2015.11.03,2
212,끊임없는 KFX 핵심기술 국내개발 논란,2015.11.03,2
213,"점입가경 치닫는 KF-X사업…정의당 ""필요 90% 확보 주장은 허구""",2015.11.02,2
214,"유승민 ""KFX사업, 대통령께서 속고 있다고 생각한다""",2015.10.30,2
215,KFX 핵심기술 ‘방사청 “개발가능” VS 항공업계 ‘불가능’”,2015.10.30,2
216,LG전자-협력사 보안역량 동반성장 협약 체결,2015.10.28,2
217,FA-50에 타우러스 장착 검토,2015.10.22,2
218,"록히드마틴, KFX개발 투자 발빼나",2015.10.22,2
219,서울 에어쇼에서 볼만한 10대 명품무기,2015.10.19,2
220,"감사원, 수리온 사업 수백억대 혈세 낭비",2015.10.12,2
221,"방사청 ""인도네시아와 이달안 KFX사업 가계약 체결""",2015.10.06,2
222,카이 KT-100소형항공기 초도비행 성공,2015.10.06,2
223,계약체결도 늦어진 KFX… 계획백지화 사태 오나,2015.09.30,2
224,미 KFX기술이전거부에 추가비용 부담 우려,2015.09.24,2
225,"미, 21개 기술이전도 아직 미지수… KFX 개발과 투자회수는 가능한가",2015.09.24,2
226,등돌린 ‘미국의 FX기술이전’ … KFX참여 인니도 등돌리나,2015.09.23,2
227,"한상호 현대엘리 대표, 국가생산성대회 금탑산업훈장 수여",2015.09.09,2
228,[양낙규기자의 Defence Movie] KT-1 기본훈련기의 숨겨진 비행,2015.09.05,2
229,[양낙규기자의 디펜스영상] 수리온의 극한비행 비공개 영상,2015.08.01,2
230,"KAI, 기업이미지CI 16년만에 교체",2015.07.29,2
231,"기재부 ""공공기관 소유시설, 여름휴가·체험 시설로 개방""",2015.07.15,2
232,"""35%는 지역인재로 뽑으라"" 해도 공공기관 5곳 중 1곳은 '무시'",2015.06.27,2
233,1조6000억 투자해 민군겸용 헬기 개발,2015.06.25,2
234,한국형이라는 수리온 기동헬기의 전망은,2015.05.23,2
235,록히드마틴 관계자 방한… TX사업 시동 걸리나,2015.05.18,2
236,중동국가 방산수출 키우려면 터키를 뛰어넘어라,2015.05.06,2
237,"육군, 정식 의무헬기없이 의무후송항공대 창설",2015.05.01,2
238,박대통령이 세일즈한 FA-50의 수출 가능성은,2015.04.22,2
239,"朴대통령, 페루 한국훈련기 공동생산 기념식 참석",2015.04.22,2
240,"국산 경공격기 FA-50, 2조원대 수출 힘 실리나",2015.04.19,2
241,"산업부, 항공제조산업 투자설명회 개최",2015.04.16,2
242,성큼 다가온 무인기 시대…세계 2번째 수직 이착륙 무인기 공개,2015.04.14,2
243,"카터 미국방장관, 9일 오후 오산공군기지 도착",2015.04.09,2
244,[KFX 본격시동]⑧주변국들의 차세대전투기는,2015.03.30,2
245,[KFX 본격시동]⑦KAI가 선택된 이유,2015.03.30,2
246,[KFX 본격시동]⑥인도네시아의 역할은,2015.03.30,2
247,[KFX 본격시동]②KAI와 손잡은 록히드마틴 기술이전·지분투자 얼마나,2015.03.30,2
248,[KFX 본격시동]⑤KFX 수출 전망은,2015.03.30,2
249,[KFX 본격시동]④KFX의 경제적 가치는,2015.03.30,2
250,[KFX 본격시동]③앞으로의 숙제는,2015.03.30,2
251,[KFX 본격시동]①협상대상업체 KAI 선정…대한항공 눌렀다,2015.03.30,2
252,해상작전헬기 2차사업 해외직구매 가닥,2015.03.27,2
253,"KAI, 이달말 에어버스 헬리콥터스와 공동개발 합의서 체결",2015.03.17,2
254,해상작전헬기 2차사업 3년째 제자리 걸음,2015.03.11,2
255,"조양호, 방진회 회장 재선임…""방위산업 경쟁력 확보 최선""",2015.02.25,2
256,"대한항공-에어버스D&S, 한국형 전투기 사업 관련 MOU 체결",2015.02.22,2
257,대한항공은 KFX입찰에 왜 참여 안했나,2015.02.10,2
258,KFX 업체선정 최우선 기준은 “국내업체의 생산능력”,2015.02.06,2
259,차세대전투기사업 ‘KAI·록히드마틴 VS 대한항공·에어버스’,2015.02.05,2
260,페루에 국산 경공격기 FA-50 수출 추진,2015.02.03,2
261,하성용 사장 “KFX 개발과 비용 모두 계획대로”,2015.02.01,2
262,"KAI, 해병대용 상륙기동헬기 초도비행 성공",2015.01.20,2
263,윤병세 외교장관 6일 오산 美공군기지 방문 예정,2015.01.05,2
264,올해 방산수출 30억달러 돌파,2014.12.17,2
265,"한화, 방산업계 1위 등극… ‘항공시장’ 점령 나서나",2014.11.26,2
266,올해 방산수출 지난해 절반수준… KT-1 고등훈련기 등 막바지 조율,2014.11.26,2
267,서북도서방어 ‘해병대용 무인항공기’ 곧 뜬다,2014.11.21,2
268,"윤병세 ""한중러·남북중 등 소다자협력 활성화""",2014.11.19,2
269,"印尼 ""한국형전투기 아세안수출 돕겠다""",2014.11.07,2
270,수출기업 지원 시험인증 유공자 포상,2020.06.19,3
271,"수출입은행, 화훼농가 돕는 '플라워 버킷 챌린지'",2020.04.28,3
272,"방문규 수은 행장, 플라워 버킷 챌린지 동참 ""좋은 소식 기원""",2020.04.24,3
273,"박영선 ""삼성 스스로 많이 변화하려고 노력""…'자상한 기업' 성과",2020.04.06,3
274,코로나19 위생용품 생산 늘린 '자상한 기업'의 힘,2020.04.06,3
275,"천리안위성 2B호, 목표 정지궤도에 안착 성공",2020.03.08,3
276,"동반위 '혁신주도형 임금격차 해소', 총 11조1975억원 협약",2019.12.26,3
277,"""국내 최초 민수헬기 날아오르다""…초도비행 성공",2019.12.05,3
278,'2019 기계의 날' 개최…2년 연속 수출 500억 달러 돌파 다짐,2019.11.06,3
279,"""재난치안용 드론 떴다""…무인기 초도비행 성공",2019.11.01,3
280,한국형 위성항법보정시스템 구축 본격화,2019.07.23,3
281,무인이동체 분야 '2019 무인이동체 산업엑스포' 개막,2019.07.10,3
282,"석유관리원-항공우주연구원, 발사체 전용연료 개발 협력",2019.05.30,3
283,"드론분야 첨단 기술·제품의 장, '2019 드론쇼코리아' 개막",2019.01.24,3
284,"신보, 경상남도와 '스마트 공장 금융지원' 협약",2018.11.21,3
285,"중국산에 움츠렸던 韓드론, 공공임무로 날개 편다",2018.11.19,3
286,"""동반성장은 필수적인 생존전략""…'소득주도 성장' 공동선언(종합)",2018.10.31,3
287,"산업부, '항공우주부품기술개발사업 기술교류회' 개최",2018.10.31,3
288,"우리은행, 356억원 대출 사기 발생…발견 후 신고",2018.07.18,3
289,우리나라 최초 독자 우주발사체의 이름은?,2018.04.26,3
290,산은·수은 수장 내정…닻오른 국책은행 인사,2017.09.07,3
291,"국세청, 한화그룹 방산계열사 세무조사",2017.08.24,3
292,"감사원, '수리온' 개발·운영 부실 확인…장명진 방사청장 수사요청",2017.07.16,3
293,"KAI, 필리핀에 경공격기 12대 인도…두테르테, 추가 구매 의사",2017.07.04,3
294,하늘길 더 정확해진다…서울서 국제회의 개최,2017.06.06,3
295,"KAI 경영권, 輸銀 품으로",2017.05.30,3
296,[부고]김영호(신한카드 부사장)씨 장인상,2017.05.23,3
297,"산은, 수은에 KAI 주식 1조1000억 현물 출자",2017.04.28,3
298,"하늘길 정확해진다…GPS 보정시스템, 유럽과 함께 인증",2017.04.24,3
299,"[특징주]한국항공우주, 외인 매수… 장 초반 2%↑",2017.04.18,3
300,오늘 읽어야 할 아경 종합뉴스 Top10,2017.03.18,3
301,"한국항공우주, 방위사업청 상대 행정소송 패소",2017.03.17,3
302,최악 취업난 속 주요 공기업 3월 채용 계획은?,2017.03.10,3
303,"[특징주]한국항공우주, 작년 4Q 어닝쇼크 소식에 하락",2017.02.03,3
304,"국산 수리온 헬기, 불법 조업 단속·해양 주권 수호 나선다",2016.12.06,3
305,무인기 시장 10년내 20배 늘린다,2016.12.06,3
306,초라한 무역의 날…수상기업 12년만에 최저·대통령도 불참,2016.12.05,3
307,초라한 무역의 날…'100억弗 수출의 탑' 14년 만에 배출 못해,2016.12.04,3
308,[2016 국감]한국항공우주 CEO 연봉 8.3억…산은 자회사중 최다,2016.10.04,3
309,"SK하이닉스, 청소년 130명 대상 'IT 창의 과학 탐험대' 진행",2016.08.19,3
310,2분기 BIS비율 발표 앞둔 수은의 고민,2016.08.05,3
311,구조조정 자본확충 빈칸 3곳…무엇으로 채울까,2016.06.12,3
312,"산은, KAI 지분 26.5%→19.02%로 줄어",2016.06.07,3
313,"""출자받았지만 환율이 복병"" 수출입銀 자본확충부담 커져",2016.05.31,3
314,KAI 출자로 수은 BIS비율 0.35%포인트 높아져,2016.05.30,3
315,"산업은행, 수출입은행에 KAI주식 5000억 출자 결정",2016.05.30,3
316,수출입은행 자기자본 비율 다시 10% 아래로,2016.05.30,3
317,"국책銀 자본확충, 2009년 그때 그 방식으로",2016.05.24,3
318,"수출입은행, 무늬만 '산은 자회사' 되나",2016.05.12,3
319,"BNK경남銀, 한국항공우주산업지점 개점",2016.04.18,3
320,"美·獨·日·러 항공기 문짝, 우리가 만들었죠",2016.04.08,3
321,신소재산업협의회 개최…지원 강화,2016.03.30,3
322,오뚜기·쿠팡·넷마블 등 고용창출 100대 우수기업,2016.03.17,3
323,기업은행 ‘IBK희망투어’개최,2016.03.10,3
324,"권선주 IBK기업은행장, 희망투어 현장간담회 참석",2016.03.10,3
325,"한국항공우주, 작년 4분기 영업이익 725억원…55% ↑",2016.01.28,3
326,外人엑소더스 현실화되나…환율이 변수,2016.01.22,3
327,"""코스피, 추가 하락 리스크 제한적…내수株에 주목하라""",2016.01.21,3
328,"'中 쇼크' 하락장에…펀드매니저, 개별종목보다 '지수'에 베팅",2016.01.13,3
329,"장 종료 후 ""이 공시 눈에 띄네""(코스피-5일)",2016.01.06,3
330,"한화테크윈, KAI 인수 접나…지분 절반 매각(상보)",2016.01.05,3
331,[12월 29일]아시아경제 뉴스브리핑,2015.12.29,3
332,올해 뜨거웠던 테마주는?…'불끈' 불륜株·'떴다' 드론株,2015.12.24,3
333,"산은, 비금융자회사 KAI 단독매각…보유지분 전체",2015.12.09,3
