,Title,Date,Category
0,"코이카, 페루 중소기업 '언택트 수출' 지원…온라인 플랫폼 오픈",2020.08.26,2
1,[양낙규의 Defence video]F-15K 전투기 장착할 AESA레이더는,2020.08.15,2
2,[양낙규의 Defence Club]현대중공업이 사상 최대액 수주한 KDDX는,2020.08.12,2
3,[중기계획 키포인트]③북 상공 촘촘 감시 어떻게,2020.08.10,2
4,[중기계획 키포인트]⑤F-15K도 AESA 레이더 단다,2020.08.10,2
5,[양낙규의 Defense Club]장마 후 목함지뢰 비상… 대책은,2020.08.09,2
6,[양낙규의 Defense Club]K-11 복합소총 역사 속으로 사라지나,2020.08.08,2
7,‘국산 전투기의 눈' AESA 레이더 나왔다,2020.08.07,2
8,[양낙규의 Defense Club]레이저 대공 무기 곧 나온다,2020.08.05,2
9,"하나금투·IBK투자, 불완전 판매 점검 '최하점'…박용진 ""금융당국 조치해야""",2020.07.28,2
10,"한화시스템, K1A1 조준경에 K2급 열상 장치 공급",2020.07.28,2
11,영원한 맞수 '한화시스템 VS LIG넥스원',2020.07.25,2
12,‘미니 이지스함 수주戰’에 뛰어는 방산기업들,2020.07.25,2
13,"이인영 후보자측 ""아들 스위스 유학 체류비, 14개월 동안 약 3000만원""",2020.07.16,2
14,"통일부 ""이인영 자녀 스위스 학비 증빙자료 국회에 우선 제출""…학비 1년간 1200만원",2020.07.15,2
15,[양낙규의 Defense Club]오락가락 ‘방사청 방산수출액’ 발표,2020.07.02,2
16,[양낙규의 Defense Club]쏟아진 방산 수주계약… 속 사정은,2020.07.01,2
17,"중동 지역서 코로나19 관련 재외국민 사망…정부, 지원책 강구",2020.06.30,2
18,"통일부 ""120억 대북 식량지원 추진 시점 다시 검토 중""",2020.06.30,2
19,[양낙규의 Defence Club]성능개량 백두정찰기 사업 지연 불가피,2020.06.27,2
20,"美, 내년부터 수송기에도 레이저무기 장착",2020.06.27,2
21,"한화시스템, ‘군집 무인수상정 기술’ 개발 착수…""'스마트 네이비'에 기여""",2020.06.22,2
22,육군 최초의 대공포 M2A1,2020.06.13,2
23,"외교부, 중동 진출 기업 대상 '코로나19' 방역대책·지원방안 논의",2020.06.02,2
24,전남 3대 명문고 졸업 동기 3명 민형배(목포고)·이형석(순천고)·주철현(여수고) 국회 등원 화제,2020.05.23,2
25,"한화시스템, 필리핀 '호세 리잘함'에 전투체계 탑재",2020.05.22,2
26,한화시스템 1분기 영업이익 7% 감소,2020.05.11,2
27,한화시스템 VS LIG넥스원 ‘KDDX 수주전’,2020.04.28,2
28,"'모래'까지 내다 판 北, 고강도 제재 피해 '외화벌이' 주력…석탄·암호화폐 적극 활용",2020.04.19,2
29,"[나의 선거] 약사 ""마스크 판매 시달려도 해야할 일…약자 위한 선거""",2020.04.14,2
30,유로사토리 방산전시회도 취소,2020.04.01,2
31,[양낙규의 Defense Club]한미정찰기 동시 한반도 비행,2020.04.01,2
32,"[양낙규의 Defense Club]미, 사드 업그레이드 비용도 요구할까",2020.03.28,2
33,이해찬 “무단으로 문재인 정부와 민주당 참칭하지 말라” 열린민주당 겨냥,2020.03.25,2
34,"‘열린민주당’ 김의겸 ""언론개혁 이룰 것""…황희석 ""조국사태는 檢 쿠데타""",2020.03.22,2
35,"김의겸, 열린민주당 합류…김진애 안원구 최강욱 주진형 등도",2020.03.20,2
36,"열린민주당, 잇단 '스타급' 인사 영입…與 비례 표심 양분되나",2020.03.19,2
37,"주진형, 열린민주당 합류…""열린 공천에 응한다""",2020.03.17,2
38,"채이배 ""대한항공, 최근까지 항공기 리베이트 관행 지속""",2020.03.04,2
39,[양낙규의 Defense Club]트럼프대통령 전용헬기 올해 교체하나,2020.02.29,2
40,[양낙규의 Defense Club]UAE 방산수출 얼마나 가능할까,2020.02.29,2
41,"[양낙규의 Defense Club]코로나19, 방산기업도 뚫었다",2020.02.27,2
42,"""한국 갔다면 입국 금지"" 예고 없이 빗장 건 국가 늘어(종합)",2020.02.25,2
43,세계 곳곳 예고 없이 한국인에 '빗장'…국내기업 일정 차질 우려,2020.02.25,2
44,[양낙규의 Defense Club]논란만 키우는 ‘사드 의문점 3가지’,2020.02.22,2
45,"[김웅, 검찰을 말한다]""'윤석열 수사처' 막아야한다""",2020.02.20,2
46,[양낙규의 Defense Club] 신기루로 전락한 '명품 무기'…'토마호크 전략' 필요한 때,2020.02.16,2
47,"[정치, 그날엔…] 2004 '탄핵의 쓰나미'에서 살아남은 이낙연",2020.02.15,2
48,"정경두 국방, 인도와 방산협력 강조",2020.02.06,2
49,[양낙규의 Defence Club]한·인도 방산협력 합의… 주요 공략 무기는,2020.02.05,2
50,정 국방장관 찾아간 인도… 잠수함사업 손 들어줄까,2020.02.03,2
51,[양낙규의 Defence Club]첫 자주도하장비 수주 놓고 2파전,2020.01.27,2
52,스마트 국방 ‘안티드론 레이저 무기’ 첫 선,2020.01.21,2
53,[양낙규의 Defence Club]F-35 부품정비 수주 가능성은,2020.01.18,2
54,[양낙규의 Defence Club]궁지몰린 방산기업… 탈출구 없이 허덕,2020.01.16,2
55,"한화시스템, TICN 3차 공급 계약을 체결",2019.12.26,2
56,[양낙규의 Defence Club]업그레이드 된 우리 군의 정찰능력은,2019.12.23,2
57,무인지상감시센서 체계개발…최초로 '협약' 방식 도입,2019.12.15,2
58,한화에어로스 지난해 세계 무기판매 46위…韓방산업체 '껑충',2019.12.09,2
59,"[요즘사람]부머·꼰대·선거, 그리고 방위비분담금",2019.12.07,2
60,"무보, 영국 실버타운 터널 프로젝트에 5000억원 규모 금융 지원",2019.11.26,2
61,"국방대 외국군 장교들, 기품원 방문…韓무기체계 우수성 소개",2019.11.20,2
62,"여야 의원 47명 ""美 트럼프, 방위비 분담금 '거짓협박' 멈춰야""",2019.11.15,2
63,"에너지공단, '2019년 우수사업장 인증서 수여식' 개최",2019.11.15,2
64,'PVC관 품질개선 세미나' 개최…제조업체 역량 강화키로,2019.11.13,2
65,문 대통령 전반기 지역 방문 이동 거리 '지구 한바퀴 반',2019.11.12,2
66,'제11회 화학산업의 날' 개최…유공자 38명 포상,2019.10.31,2
67,"자주국방의 첫 단추…ADD, 국방 '연구개발' 활성화 방안 논의",2019.10.24,2
68,MADEX 2019 '미니 이지스함' KDDX 수주작전,2019.10.23,2
69,"'미래의 활력' 재생에너지 전환, 韓 획 긋다",2019.10.23,2
70,휴니드-美텔레포닉스 MOU…피아식별장비 성능개량 사업 확대,2019.10.17,2
71,한국형 '아이언맨·타우러스'…韓방산 미래무기 총출동,2019.10.16,2
72,[2019 국감]국내 수입된 日 마스카라서 방사능 검출,2019.10.11,2
73,"[2019 국감]김성환 의원 ""무보, 부정의한 석탄대출 앞장…석탄금융 중단 선언해야""",2019.10.10,2
74,"[2019국감] ""암입원지원금 분쟁, 삼성생명이 최다""",2019.10.04,2
75,"[2019 국감]성윤모 장관 ""제조업 성장기반 확충…산업구조 혁신 가속화""",2019.10.02,2
76,"무보, 대만 해상풍력발전 프로젝트에 3240억원 금융 지원",2019.10.01,2
77,"韓에 불량군수품 납품한 한국계 미국인…美법원 ""재산회수 명령""",2019.09.30,2
78,"민주당, 전경련 방문…文정부 들어 처음",2019.09.25,2
79,"與, 전경련 찾아 기업인과 현안 간담회…文정부 들어 처음",2019.09.25,2
80,'조국 증인'으로 싸우는 사이…기업인들만 국감 줄소환,2019.09.24,2
81,"산자위, '조국 펀드' 관련 익성·웰스씨앤티 대표 증인 채택",2019.09.24,2
82,"문 대통령, 폴란드와 방산·인프라·에너지로 협력 확대 제안(종합)",2019.09.24,2
83,"문 대통령, 폴란드와 협력 분야 방산·인프라·에너지로 확대 제안",2019.09.23,2
84,"환노위, 국감 증인 채택…삼성·포스코건설은 빠져",2019.09.20,2
85,"韓, 中에 태양광용 폴리실리콘 반덤핑 조치 중단 요청",2019.09.18,2
86,국내기술로 개발한 방어유도탄 '해궁' 첫 양산단계 돌입,2019.09.10,2
87,정의당 '데스노트' 곧 열린다,2019.09.04,2
88,"정의당, 조국外 인사청문 대상 후보 5명 평가… 부적격 판정 없어",2019.09.03,2
89,'조국 후폭풍' 속 조성욱·최기영 인사청문회…6人 청문정국 마무리,2019.09.02,2
90,"한화시스템, 필리핀에 300억 규모 함정 전투체계 수출",2019.08.28,2
91,"K-11복합소총 지체상금 30억…法 ""계약업체 책임없다""",2019.08.27,2
92,"한수원, 의성 철파리 태양광 40㎿·ESS 120㎿h 사업 추진",2019.08.15,2
93,"트럼프 ""한국과 방위비 분담금 증액 위한 협상 시작""",2019.08.07,2
94,"홍종학 前장관, 퇴직시 재산 64억451만원…부동산 등 4억원↑",2019.07.26,2
95,"'日수출규제' 맞닥뜨린 재계, 文대통령 만나 ""긴 호흡으로""…장기전 우려",2019.07.10,2
96,"靑 오찬도 없이 간담회 진행…재계 ""외교로 풀 문제를…""",2019.07.10,2
97,"대북지원 국내산 쌀, 이르면 7월 울산·목포서 출발할 듯",2019.07.02,2
98,"대북지원 5만t 국내산 쌀 , 212만명에게 돌아간다",2019.06.28,2
99,기품원 '스토리텔링 홍보전시관' 개관…전투기 모형 등 전시,2019.06.27,2
100,"휴니드, 중소기업 최초 'CMMI 레벨 5' 인증 획득",2019.06.18,2
101,"아스트라제네카, 韓 바이오헬스산업에 6억3000만 달러 투자",2019.06.16,2
102,"동교동계 ""이희호 여사, 가장 고달팠던 'DJ'를 선택한 분""",2019.06.11,2
103,"이희호 여사 노환으로 별세···분향소, 신촌 세브란스 병원에 마련(상보)",2019.06.11,2
