,Title,Date,Category
0,"[양낙규의 Defense Club]코로나19, 방산기업도 뚫었다",2020.02.27,2
1,"한화 5년 조사한 공정위 ""무혐의""(종합)",2020.08.24,3
2,"여당·정부·민간, 한국판 뉴딜TF 가동…'공동위원장' 체제",2020.08.13,3
3,'소부장 스타트업' 후보 60개 선정…3개월간 멘토링,2020.07.27,3
4,채권시장 '4월 위기설' 넘겼지만 여전히 불안…SPV설립 언제,2020.05.03,3
5,"한화그룹 유화 3사, 빅데이터 전문가 양성",2020.08.31,4
6,"재계, 코로나 재확산에 재택근무 강화",2020.08.29,4
7,[단독]삼성·LG전자 재택근무 첫 도입…코로나 대응 수위 높인다(종합),2020.08.27,4
8,"㈜한화, 한화정밀기계 '협동로봇사업' 양수",2020.08.13,4
9,"[컨콜]한화솔루션 ""니콜라 상장 지분법 손익 970억원""",2020.08.11,4
10,"[컨콜] 한화솔루션 ""케미칼, 수전해 기술 2023년 목표로 R&D진행""",2020.08.11,4
11,"[컨콜] 한화솔루션 ""태양광 에너지로 그린수소 생산‥차량용 연료로 사용""",2020.08.11,4
12,한화솔루션 2Q 영업익 1285억원…전년비 7.8%↑(종합),2020.08.11,4
13,[무한동력] 한화솔루션이 인수한 美'젤리'는 어떤 회사?,2020.08.09,4
14,"한화큐셀, 美 ESS 설계업체 '젤리' 인수…美 ESS 시장 본격 진출",2020.08.07,4
15,'소부장 스타트업' 후보 60개 선정…3개월간 멘토링,2020.07.27,4
16,"롯데케미칼, '화훼농가 돕기 릴레이 캠페인 동참'",2020.07.23,4
17,'정몽준 장남' 정기선 현대중공업 부사장 결혼…현대家 한자리에,2020.07.05,4
18,"한화솔루션 케미칼 부문 노조, 임금 교섭권 사측에 위임",2020.06.30,4
19,[부고]한유정(AWS 코리아 상무)씨 부친상,2020.06.12,4
20,김동관이 발굴한 '제2의 테슬라' 지분가치 1년반만에 7배(종합),2020.06.08,4
21,SK그룹의 '슬기로운 언·택·트 생활'‥산업계 전반 확산,2020.06.05,4
22,대기업 정규직 증가율 1위는 한화그룹,2020.05.19,4
23,[단독] 한화 中사업 총괄 '한화차이나' 9년만에 재편,2020.05.18,4
24,코로나 뚫은 김동관의 '선견지명',2020.05.13,4
25,"한화솔루션, 자사주 매입·소각 완료",2020.05.13,4
26,"손경식 경총 회장 ""2분기 경기 악화 본격화…유동성지원 '필요한 만큼' 이뤄져야""",2020.05.13,4
27,"한화솔루션, 1Q 영업익 1590억 전년비 62%↑(종합)",2020.05.12,4
28,한화솔루션 1분기 영업익 1590억…태양광 사업이 실적 견인,2020.05.12,4
29,[속보]한화솔루션 1분기 영업이익 1590억원…전년비 61.7%↑,2020.05.12,4
30,"한화솔루션, XDI 국산화…脫 일본 소재 독립 결설",2020.05.10,4
31,色드러낸 김동관의 한화 '뉴비전',2020.04.29,4
32,한화솔루션 태양광 사업 '매출효자',2020.04.15,4
33,산업발전 이끈 공장들‥역사 속으로,2020.03.28,4
34,코로나發 '수요 절벽' 현실화…電·車 등 기업들 '소리없는 감산',2020.03.26,4
35,"김동관, 한화솔루션 경영 전면에…주총서 사내이사 선임 의결",2020.03.24,4
36,"중화학 주총 키워드 ""컨트롤타워·구조조정 강화""",2020.03.20,4
37,"재계 ""코로나19 이겨내자""…잇따른 후원 행렬",2020.03.07,4
38,"""나 혼자 산다""‥'사회적 거리두기' 앞장서는 기업들",2020.03.05,4
