,Title,Date,Category
0,[양낙규의 Defence Club]F-35 부품정비 수주 가능성은,2020.01.18,2
1,"문성혁 해수부 장관, 美해안경비대에 서한 발송…""골든레이호 전원구조 감사""",2019.09.11,2
2,"靑 ""文대통령, 트럼프에 '골든레이호 선원 전원 구조' 감사 서한""",2019.09.10,2
3,"외교부 ""구출된 골든레이호 선원 모두 건강""",2019.09.10,2
4,"전도선박 실종자 구조, 선체 90도 유지 여부에 달려",2019.09.09,2
5,"정부, 현대글로비스 선박사고 신속대응팀 파견 논의",2019.09.09,2
6,"北탐지 힘든 스텔스기 도입…""전쟁억제 역할할 것""",2019.03.29,2
7,"국내 방산업체컨소시엄, 美스텔스기 F-35 정비업체 선정",2019.02.12,2
8,"김영춘 장관 ""물류허브 선점을 위한 新비즈니스 모델 개발해야""",2018.11.02,2
9,"해수부, 연안해운 전환교통 지원 협약 체결",2017.03.29,2
10,제51회 납세자의 날…현대차 국세 1조원 탑 수상,2017.03.03,2
11,"정부, 해운물류업계와 한진해운 후폭풍 대책 논의",2016.09.02,2
12,북극항로 이용 늘어난다,2016.07.15,2
13,해수부 포스코 등과 전환교통 보조금 사업 추진,2016.03.29,2
14,애썼다 수출…佛 제치고 사상 첫 6위,2015.12.07,2
15,세계 수출 6위 상승…무역유공자 등 2008명 수상,2015.12.07,2
16,제52회 무역의날…서경배 회장 등 금탑산업훈장 수상,2015.12.06,2
17,"총수일가, 3.6%로 그룹 '주물럭'…""공익법인·해외계열사 우회출자 우려""",2020.08.31,3
18,"가스公, 부산항만公 등 5개사와 LNG벙커링 합작회사 설립",2020.07.14,3
19,기업 지배구조 개선 시동 거는 정부,2020.06.21,3
20,'수소 화물차로 택배 배송' 시범사업…2023년부터 본격 양산,2020.05.20,3
21,"환경부, 현대차-물류회사와 MOU…""전기화물차로 전환, 미세먼지 감축""",2020.04.24,3
22,주택가구조합-현대글로비스 '운송파트너' 업무협약,2019.12.02,3
23,서해권역 LNG벙커링 인프라 구축 위해 민·관 함께 나선다,2019.11.12,3
24,"문성혁 해수부 장관, 美해안경비대에 서한 발송…""골든레이호 전원구조 감사""",2019.09.11,3
25,"공정위, 현대글로비스 부당지원 혐의 조사",2019.05.16,3
26,대기업 25% 실적 줄었는데 배당 늘렸다…배당 둘러싼 '온도 차'(종합),2019.03.23,3
27,"김영춘 장관 ""물류허브 선점을 위한 新비즈니스 모델 개발해야""",2018.11.02,3
28,올해 화물차 연비왕은 누구…,2018.10.18,3
29,"바로고, '2018 물류 스타트업 토크콘서트' 참여",2018.08.29,3
30,'일감 몰아주기' 규제받는 10대 그룹 계열사 33개→114개로,2018.08.26,3
31,한화發 신호탄…일감몰아주기 해소 재계로 번지나,2018.06.01,3
32,"엘리엇, 현대차·현대모비스 합병안 제안",2018.04.23,3
33,"지배구조 개선 나선 현대차…공정위도 ""긍정적""",2018.03.28,3
34,공정위 대기업 공익법인 전수조사…교각살우 우려 3題,2017.11.03,3
35,[제 발등찍는 G2]한국산 車·鐵치려다 자국기업에 '자해'비판받는 美,2017.09.05,3
