,Title,Date,Category
0,해외동포기업인·현대그룹은 가는데…허탈한 개성공단기업인,2018.11.16,2
1,[사람人] 방북 32회째…'北이 가장 반가워했을 경제인' 현정은 회장,2018.09.19,2
2,"한상호 현대엘리 대표, 국가생산성대회 금탑산업훈장 수여",2015.09.09,2
3,현정은 현대그룹 회장 금탑산업훈장 수상,2015.03.18,2
4,"현대엘리베이터, 현대아산 주식 취득…대북사업 참여한다",2019.02.27,3
5,롯데마트 이천점 오픈…차세대 스마트 스토어,2019.01.16,3
6,남북정상회담에 또다시 고개든 “묻지마 대북테마” 투자,2018.09.19,3
7,[文정부 동반성장지수]협력사에 653억 인센티브·1만5천명 연봉 10% 올려준 기업들,2018.06.27,3
8,"개성공단 재개 기대감↑, 개성공단 관련주 일제히↑",2018.04.27,3
9,"'사드'로 연기된 주중 한국기업 채용博, 오늘 상해서 열려",2017.12.01,3
10,"공정위, 서울 지하철 스크린도어 담합한 3개사에 2.65억원 과징금",2017.11.15,3
11,"고용부, 제4회 '일학습병행제 우수사례 경진대회' 개최",2017.09.12,3
12,장애인고용 또 외면한 대기업…무려 35곳 불명예,2017.05.18,3
13,"""이젠 올라갈 일만 남았다"" 작아진 현대그룹, 새로 짜는 '재건플랜'",2017.05.02,3
14,"유일호 ""'수주 가시권' 대형사업, 범부처 차원서 돕는다""",2017.02.15,3
15,"휴넷, '노사문화 우수기업' 3연속 선정",2016.07.29,3
16,"공정위, 일감 몰아주기 첫 제재 착수..현대그룹 혐의 확인",2016.03.21,3
17,"한국투자증권 ""현대證 실사자료 부실…본입찰 불참 가능성""",2016.03.07,3
18,"KB금융의 두번째 도전, 현대증권 인수전 참여",2016.02.12,3
19,"동반위, 2·3차 협력사 위한 성과공유 추진사례 공유",2015.12.04,3
20,"중소형株 펀드, 코스닥 비중이 성과 갈랐다",2015.08.21,3
21,"펀드매니저님, 뭡니까 이게",2015.06.30,3
22,"공정위, 현대로지스틱스 '일감 몰아주기' 조사",2015.05.20,3
23,"현대엘리베이터, 국내 최장 '57m' 에스컬레이터 설치",2015.04.28,3
24,"현대엘리베이터, 승강기 유상관리 10만대 돌파",2015.04.15,3
25,"현대엘리베이터, 충주 수해 이재민에 수재의연품 지원키로",2020.08.19,4
26,"현대엘리베이터, 충주 수해 복구 지원 나서",2020.08.13,4
27,"배민 로봇, 호텔서 '룸서비스'",2020.08.06,4
28,故 정몽헌 현대그룹 회장 17주기…선영서 조용한 추모식,2020.08.04,4
29,"현대엘리베이터, 충주 신공장 착공…""글로벌 리더로 성장할 것""",2020.07.08,4
30,"현대엘리베이터, 세계 최초 분속 1260m 엘리베이터 기술개발",2020.05.21,4
31,"현대엘리베이터, 업무 전반 '로보틱 프로세스 자동화' 도입",2020.04.28,4
32,"현대엘리베이터, 美 커뮤니케이션聯 비전 어워드서 금상 수상",2020.02.18,4
33,"현대엘리베이터, 안전경영 결의대회 ""재해율 72% 줄일 것""",2020.01.22,4
34,"김정은 ""금강산 남측 시설 철거"" 현대아산 '당혹'",2019.10.23,4
35,"현대엘리베이터, 새 대표이사에 송승봉 부사장 내정",2019.07.31,4
36,"현대엘리베이터, '장마·혹서기 현장 안전강화' 결의식",2019.07.25,4
37,"현대엘리베이터, 기업신용등급 한 단계 상향",2019.06.24,4
38,"현대엘리베이터, 임시 대표이사에 권기선 상무 선임",2019.06.05,4
39,장병우 현대엘리베이터 대표이사 별세,2019.05.29,4
