,Title,Date,Category
0,"민주당, 대기업의 재생에너지 직접 계약 추진…'그린 뉴딜' 일환",2020.05.12,2
1,"국표원, '2019년 인공지능 산업 표준화 워크숍' 개최",2019.12.05,2
2,"[단독]""삼성·포스코건설 사장 나와라""…與野 국감 증인 출석 요구",2019.09.18,2
3,'제20회 철의 날' 행사 개최…유공자 29명 포상,2019.06.04,2
4,"터키, 철강 수입제한조치 철회…韓 철강 산업 한고비 넘겨",2019.05.08,2
5,[재산공개] 재정과 경제 다루는 국회의원들의 ‘재테크 포인트’는…,2019.03.28,2
6,민·관 모여 '철강산업' 통상·수출 현안 대응방안 논의,2019.03.08,2
7,"표면처리국제표준화로, 뿌리산업의 고부가가치화 지원",2019.02.28,2
8,"정부-업계, EAEU 철강 세이프가드 조사 공청회 참석",2019.02.19,2
9,"EU, 다음달 2일부터 철강 세이프가드 시행…최종조치 계획 WTO 통보",2019.01.04,2
10,터키 철강 세이프가드 조사 공청회 참석…부당성 설명·조사 중단 촉구,2018.10.31,2
11,"정부, EU 철강 세이프가드 중단 촉구…불가피 땐 韓품목 제외 요청",2018.09.13,2
12,정원오 성동구청장 재선 고지 달성...거취 주목,2018.06.14,2
13,"박원순 후보, 정원오 성동구청장 후보 치켜세우며 한 발언?",2018.06.05,2
14,국회 미세먼지대책특위원회 인천 현대제철 현장 방문,2018.04.25,2
15,"정부, 美 철강규제에 총력 대응…""모든 수단 동원할 것""",2018.03.09,2
16,'대기업 특혜·관제시위 의혹' 구재태 전 경우회장 구속,2017.11.13,2
17,"충남, 사업장 대기오염물질 배출 전국 1위",2017.06.26,2
18,"해수부, 연안해운 전환교통 지원 협약 체결",2017.03.29,2
19,급증하는 수입규제…민관합동 대응체계 구축,2016.08.09,2
20,[구조조정 급물살]떨고 있는 해운…긴장하는 조선·철강,2016.04.23,2
21,해수부 포스코 등과 전환교통 보조금 사업 추진,2016.03.29,2
22,[30대그룹 투자계획] 돈 풀어 불황 뚫기…재계의 '투자 정공법',2016.03.09,2
23,"美, 韓 열연강판 상계관세 '미소마진' 예비판정",2016.01.13,2
24,[뉴스 그 후]'희망사항'을 '팩트'로 착각한 장관,2015.12.19,2
25,"현대제철, 온실가스 배출권 소송 패소…""향후 소송 영향""",2015.12.17,2
26,애썼다 수출…佛 제치고 사상 첫 6위,2015.12.07,2
27,세계 수출 6위 상승…무역유공자 등 2008명 수상,2015.12.07,2
28,제52회 무역의날…서경배 회장 등 금탑산업훈장 수상,2015.12.06,2
29,충남 당진 석문산단에 산학융합지구 착공,2015.10.21,2
30,"""美, 한국산 송유관 상계관세 부과 않기로 결정""",2015.10.12,2
31,전북 익산 식품클러스터 등 단지형 외투지역 지정,2015.09.29,2
32,일본산 형강 수입급증…日에 대책 마련 요청,2015.09.24,2
33,전국 5만6000개 분임조 '경제효과 2조8000억',2015.08.31,2
34,중국산 H형강 32% 반덤핑방지관세 부과,2015.05.28,2
35,"산업부, 민관합동 철강통상대응반 상시 운영키로",2015.04.24,2
36,원전 37년만에 3조kWh 발전…나라 전체 6년 사용량,2015.04.20,2
37,"정재찬 공정위원장 ""공정거래, 기업의 자발적 의지가 중요""",2015.04.01,2
38,중남미·중동·중앙아시아와 상생형 FTA 추진,2015.03.25,2
39,"공정위, 포스코특수강 인수한 세아베스틸에 ""가격 제한""",2015.03.17,2
40,"말레이시아, 한국산 열연코일 반덤핑 무혐의 판정 발표",2015.03.03,2
41,"[포토]윤상직 ""34조원 투자프로젝트 차질없이 추진 노력하겠다""",2015.02.11,2
42,"철강업계 신년회 ""올해 철강산업 체질개선 추진""",2015.01.12,2
43,중국산 도자기질 타일 덤핑방지관세 3년 연장,2014.12.24,2
44,재외동포재단 19~21일 초청 장학생 역사체험 시행,2014.12.18,2
45,"""고도화하는 中 철강…대응책 마련 시급""",2014.11.20,2
46,14년간 담합한 日·獨 기업에 '과징금 778억원+검찰고발',2014.11.16,2
47,"[2014국감]광물자원公, '희토류테마주' 열풍 이면에 연루",2014.10.27,2
48,"호반, 충남 당진 '호반써밋 시그니처' 분양… 3.3㎡당 870만원",2020.07.03,3
49,"1000억 철강펀드 조성…""중기 경영안정·고용유지""",2020.06.17,3
50,"엄재식 원안위원장, 재활용고철 감시 현장점검",2020.06.03,3
51,"성윤모 ""한국판 뉴딜로 철강산업 AI 융합 지원…디지털성장 선도하길""",2020.05.15,3
52,"삼표산업 비대위 ""24일 성수 레미콘공장 생존권 확보 집회""",2020.04.23,3
53,"포스코·현대제철 등 13개 업체, '화물 육상→연안해운' 운송 전환…이산화탄소 감축 기대",2020.03.29,3
54,"하청노동자 사망사고 많은 사업장, 포스코 포항·삼성전자 기흥 등 11곳",2020.02.20,3
55,"'위기의 중견기업'…덩치만 컸지, 체력은 바닥(종합)",2019.12.14,3
56,"韓 경제허리 '중견기업' 성장성, 대·중소기업보다 훨씬 뒤처졌다",2019.12.11,3
57,"국표원, '2019년 인공지능 산업 표준화 워크숍' 개최",2019.12.05,3
58,"""사업장 미세먼지 줄이자""…환경부, 포스코·현대제철 등과 MOU",2019.12.03,3
59,초강력 미세먼지 대책…기업 부담 커질 듯,2019.06.28,3
60,'제20회 철의 날' 행사 개최…유공자 29명 포상,2019.06.04,3
61,"터키, 철강 수입제한조치 철회…韓 철강 산업 한고비 넘겨",2019.05.08,3
62,민·관 모여 '철강산업' 통상·수출 현안 대응방안 논의,2019.03.08,3
63,"표면처리국제표준화로, 뿌리산업의 고부가가치화 지원",2019.02.28,3
64,"이재갑 ""원청 대기업의 불합리한 '산재보험료 할인' 문제 개선""",2019.02.25,3
65,"정부-업계, EAEU 철강 세이프가드 조사 공청회 참석",2019.02.19,3
66,"공정위, 작년 최우수 심결사례로 '철근업계 담합 적발' 선정",2019.01.09,3
67,"EU, 다음달 2일부터 철강 세이프가드 시행…최종조치 계획 WTO 통보",2019.01.04,3
68,터키 철강 세이프가드 조사 공청회 참석…부당성 설명·조사 중단 촉구,2018.10.31,3
69,2018 DJSI 월드 지수 韓기업 20곳 편입…지난해 대비 3곳 줄어,2018.09.13,3
70,"정부, EU 철강 세이프가드 중단 촉구…불가피 땐 韓품목 제외 요청",2018.09.13,3
71,현대제철 등 국내 철근사 6곳 가격담합…1200억 과징금 철퇴,2018.09.09,3
72,EU 수입철강 세이프가드 발동…민관 머리 맞대고 해법 논의한다,2018.07.19,3
73,"플랜코리아, 현대제철과 필리핀 현지서 직업훈련 지원사업 오프닝 세리모니 열어",2018.06.28,3
74,"산업부, 철강업계와 5년간 고급 철강 전문인력 220명 양성",2018.06.19,3
75,"김현종, 유럽서 EU 철강 세이프가드 저지…'통상외교' 행보",2018.06.03,3
76,"지배구조 개선 나선 현대차…공정위도 ""긍정적""",2018.03.28,3
77,"대한상의, 상공의날 기념식 개최...현대제철·유한양행 금탑산업훈장 수훈",2018.03.21,3
78,제45회 상공의 날 기념식 개최…국가경제발전 기여 182명 포상,2018.03.21,3
79,"美 관세 폭탄에…은행들 ""철강기업 대출 모니터링 강화""",2018.03.13,3
80,지난해 공정거래 관련법 가장 많이 어긴 그룹은 LS,2018.03.07,3
81,"[아시아경제TV] 미국, 한국산 철강 제품에 관세 폭탄...포스코?현대제철 영향은 ‘제한적’",2018.02.19,3
82,美 232조 철강 수입규제안 발표…산업부 장관·철강CEO 긴급회의,2018.02.17,3
83,"정부·철강업계 긴급 회의…""美 232조 피해 최소화 노력""",2018.02.17,3
84,"""정부, 美 세이프가드 대처 부실…근본적 전략 수정 필요""(종합)",2018.01.30,3
85,"""세이프가드 대응, 미 국제무역법원에 제소해야""",2018.01.30,3
