,Title,Date,Category
0,"국회, 공정거래법 전면개편 입법 추진…""금융보험사 의결권 5% 제한"" 특위안 수용",2018.11.19,2
1,[증권사 주간 추천 종목]SK증권,2018.05.05,2
2,이재용 '징역 5년' 선고 후 어머니 홍라희 등 가족 면회,2017.09.06,2
3,"法 ""이부진 부부 이혼…임우재에 86억 분할하라""",2017.07.20,2
4,[이슈추적]현명관 마사회 회장 '최순실 게이트' 연루 의혹,2016.10.07,2
5,"이노근 ""인천공항 임대료 수익 3조6071억원""",2015.09.07,2
6,윤상직 장관의 '이부진 예찬론',2015.09.03,2
7,국감 앞두고 긴장하는 재계…신동빈·이재용·정몽구 등 거론,2015.08.30,2
8,올 상반기 면세점 매출액 22% 증가…롯데·신라 80% 독점,2015.08.28,2
9,"""면세점 선정 공정했다""지만..독과점 논란 수면 위로",2015.07.11,2
10,'제멋대로 환불 규정' 인터넷 면세점에 시정명령,2015.06.07,2
11,대기업 계열사 1684개…한달새 23개 줄어,2015.06.02,2
12,"최경환 ""제주도, 중국인 많은섬…상반기 내 관광활성화 대책 발표""",2015.04.24,2
13,비서실장 유력 현명관은 누구?,2015.02.27,2
14,백화점 기지개 켜는데…면세점 여전히 쇼크상태,2020.08.14,3
15,불티나던 '재고 명품' 인기도 시들…면세업계 한숨,2020.07.31,3
16,제주·강원 호텔 북적이는데…수도권엔 구조조정 칼바람,2020.07.17,3
17,"서울신라호텔, 객실에서 즐기는 '감성 호캉스' 패키지 선보여",2020.07.17,3
18,불 밝힌 '신라모노그램 1호점'…베트남 고객 대상 소프트 오픈,2020.06.26,3
19,"인천공항공사, 면세점 3社와 '코로나 위기극복' 협약",2020.06.02,3
20,재고 면세품 판매에 최고급 '3대 명품'은 참여 안한다,2020.05.20,3
21,"예상된 충격이었지만…국내호텔 빅3, 1분기 '꽈당'",2020.05.15,3
22,"신라스테이, 5월 엄마를 위한 선물 '북캉스 패키지' 출시",2020.05.15,3
23,"신라스테이 삼성, 티빙과 '스트리밍 라이프' 패키지 출시",2020.05.08,3
24,코로나19에 멈춰선 비행기…여행·관광업 일자리 전세계서 1억개 사라진다,2020.05.04,3
25,"신라스테이 ""황금연휴에 '맛있는 제주만들기' 참여해보세요""",2020.04.27,3
26,"호텔신라도 어닝쇼크…""호텔업계, 사상 최악의 위기""",2020.04.27,3
27,"면세업계, 악성재고 해결책 골몰…전문가들 ""위기 상황에 검토 필요""",2020.04.23,3
28,"'확진자 방문' 신라스테이 역삼, 내일 정오까지 임시 휴점",2020.03.26,3
29,"탄탄대로 이부진 ""지속 가능한 성장 이어갈 것""",2020.03.19,3
30,코로나 불황에 20만원대 스위트룸…'90% 할인' 내건 호텔업계,2020.03.16,3
31,코로나發 지방공항 면세점 줄휴업…김해·제주도 개점휴업,2020.03.14,3
32,韓에 빗장 건 베트남…'호텔신라 야심작' 신라모노그램도 오픈 연기,2020.03.11,3
33,"현대백화점면세점, 인천공항 첫발…면세 '빅4' 구도 확립",2020.03.09,3
34,높은 임대료에 시작부터 김빠진 인천공항 면세점 입찰…2곳 유찰,2020.02.27,3
35,'연매출 1조원' 인천공항 면세점 입찰 '빅4' 모두 참여…각축전 예상,2020.02.26,3
36,"신라스테이, 12번째 지점 '한국판 타임스퀘어' 삼성동에 오픈",2020.02.18,3
37,"'이부진의 숙원' 신라 한옥호텔 건축허가 승인…""임시 우회도로 공사 진행""",2020.02.07,3
38,"호텔신라, 4분기 시내면세점 호조에 '어닝 서프라이즈'",2020.01.31,3
39,"호텔신라도 성과주의 바람…50대 免전무, 부사장 승진",2020.01.21,3
40,"[인사]호텔신라, 임원인사…김태호 부사장, 이강일·조정욱 전무 승진",2020.01.21,3
41,"인천공항公 ""출국장 면세점 입찰 공고, 1월 게재 예정""",2019.12.26,3
42,[2020경제정책] K팝·뷰티·푸드로…외국인 관광객 2천만명 목표,2019.12.19,3
43,"신라스테이 제주, 1층 로비에 '전기차 팝업스토어' 열었다",2019.12.11,3
44,"신라스테이, 패밀리 호캉스용 '윈터 키즈 펀' 패키지 출시",2019.12.06,3
45,"'전통 美' 살린 이부진의 한식 레스토랑, 또 한 번 세계가 인정했다",2019.12.03,3
46,보따리상 덕에 月 2兆 매출 올리는 면세업계…한중관계 해빙 기대(종합),2019.11.29,3
47,月 2兆 매출 낳는 면세점…하지만 '황금알 낳는 거위'는 옛말,2019.11.29,3
48,"호텔신라 사회공헌 '드림메이커', 인천으로 확대한다",2019.11.26,3
49,"[금융IT포럼]배진수 신한AI ""내년초 인공지능 기반 투자상품 내놓을 것""",2019.11.21,3
50,"[금융IT포럼]KB국민은행 AI비서 ""스텝 바이 스텝, 인간적 면모까지""",2019.11.21,3
51,"[금융IT포럼]윤석헌 ""규제 샌드박스 신속 심사로 금융혁신 지원""",2019.11.21,3
52,"[사고]AI가 바꿀 금융의 미래, 미리 만나보세요",2019.11.18,3
53,한옥 처마에 누마루까지…베일 벗는 이부진의 '서울 1호' 한옥호텔,2019.11.17,3
54,"신라호텔 ""대연회장에서 프라이빗 파티 즐기세요""",2019.11.14,3
55,"신라스테이 동탄, 오픈 6주년 기념 '해피 버스데이' 패키지 출시",2019.11.08,3
56,"""오늘부터 신라 단독 운영""…마카오 국제공항 면세점 영업 시작",2019.11.07,3
57,"한국이 좁다…'역대 최대 실적' 韓면세점, 해외로 나가는 이유는",2019.11.03,3
58,"해외 영토 넓히는 韓면세점…신라免, 마카오 공항 사업자 선정(종합)",2019.11.01,3
59,"신라免, 마카오 국제공항 면세사업권 단독으로 따냈다",2019.11.01,3
60,"르베이지, 론칭 10주년 브랜드 아카이브전…고객 소통 확대",2019.10.30,3
61,4년 만에 면세 사업 접은 두산…11월 시내면세점 흥행도 '찬물',2019.10.29,3
62,"호텔신라, 아시아 최대 B2B 관광박람회서 '한국 관광 알리미'로 활약",2019.10.17,3
63,"신라스테이, 패션 브랜드 '빈폴'과 협업…콘셉트룸 선보인다",2019.09.20,3
64,"""연휴, 일본 대신 국내서 호캉스 즐겼다""…신라호텔 3분기 실적도 '방긋'(종합)",2019.09.19,3
65,'여름호캉스·추캉스' 신라호텔로 몰렸다…3분기 매출·영업익 '맑음',2019.09.19,3
66,"호텔신라, 호치민 국제관광엑스포서 '한국 관광 알리기' 나서",2019.09.09,3
67,"서울신라호텔, ‘한양도성 스팀케이크’로 한국의 맛과 멋 알린다",2019.08.13,3
68,호텔 명절선물도 '실속형'이 대세…10만원대 선물세트·상차림 선봬(종합),2019.08.08,3
69,짧은 추석 연휴·가심비 트렌드에 호텔 10만원대 '실속형' 추석 선물 대거 등장,2019.08.08,3
70,대형 면세점은 쑥쑥 크는데…작은 면세점들은 고사 직전(종합),2019.07.26,3
71,세계 2·3위 차지한 韓면세점…신라免 5→3위로 '껑충'(종합),2019.07.18,3
72,이부진의 뚝심…신라면세점 지난해 세계 3위로 '우뚝',2019.07.18,3
73,"호텔신라, '맛있는 제주만들기' 23호점 오픈",2019.07.10,3
74,"호텔신라, 中 씨트립 손잡고 亞시장 노린다",2019.07.09,3
75,"호텔신라, 中서도 봉사활동…화장실 지원하고 망고빙수까지",2019.07.03,3
76,"신라免, '소비자 중심경영' 선포식…""고객 관점 서비스 제공하겠다""",2019.07.02,3
77,"엘앤피코스메틱, 메디힐 홈런에 '2019 한중경영대상' 기업부문 대상",2019.06.28,3
78,"호텔신라, 약선 전복 삼계탕 등 무더위 이겨낼 '명품 보양식' 출시",2019.06.26,3
79,"호텔신라, 제주 영세식당에 미슐랭 비법 전수…'맛있는 제주만들기'",2019.06.02,3
80,"호텔신라, 8.5평 제주 분식집 변신시킨다…상생 프로젝트 23호 선정",2019.05.10,3
81,"신라免, 英 무디즈 어워드 3관왕…'글로벌 면세점' 도약",2019.05.08,3
82,"서울신라호텔, 개관 40주년 기념 옛날 자장면 등 '뉴트로' 음식 선보인다",2019.05.02,3
83,"호텔신라 드림메이커, 청소년 ‘희망 이정표’ 됐다",2019.04.14,3
84,춘투 벌이는 면세업계…시내면세점·출국장 면세점에 쏠린 눈(종합),2019.03.27,3
85,"[新 면세戰]출국장 특허 갱신법 놓고 '갑론을박'…""기존업체 특혜 vs 안정적 운영""",2019.03.27,3
86,中 시안이 삼성 '미래산업 최전방기지',2019.03.25,3
87,삼성 '中 시안 프로젝트' 추진,2019.03.25,3
88,"이부진 사장 ""건실경영 유지하고 글로벌 역량 강화…3년 내 글로벌 3위 TR""(종합)",2019.03.21,3
89,"이부진 ""프로포폴 불법 투약한 사실 없다…걱정 끼쳐드려 죄송""",2019.03.21,3
90,"호텔신라, 마카오 법인 청산…해외 면세점 수익성 개선 박차",2019.03.18,3
91,"서울신라호텔, 미국 ‘포브스 트래블 가이드 시상식’ 5성 호텔 인증",2019.02.27,3
92,"이부진 사장, 신라호텔 '넘사벽' 글로벌 브랜드로 키운다(종합)",2019.02.21,3
93,"서울신라호텔, 국내 호텔 최초 '포브스 트래블 가이드' 5성 호텔 선정",2019.02.21,3
94,"'나눔 선순환' 만들어낸 호텔신라 지역공헌…""소외된 이웃에 이불 기증""",2019.01.30,3
95,"호텔신라, 청소년 재능 살리는 '드림메이커'로 1300명 지원",2019.01.23,3
96,호텔신라 '위탁경영' 호텔사업 해외로 뻗는다…베트남서 '신라 모노그램' 선봬,2019.01.15,3
97,"신라免, 김포공항점 오픈…첫 구매고객 선물 증정",2019.01.09,3
98,"호텔신라, 제철 맛과 영양 살린 겨울 농수산물 설 선물세트 선봬",2019.01.08,3
99,"신라免, 김포공항점 9일 오픈…인천·김포·제주 '듀티프리 벨트' 구축",2019.01.02,3
100,호텔신라 '맛있는 제주만들기' 박차…22호점 '남원분식' 선정,2018.12.26,3
101,'해외 날개' 달고 훨훨 나는 이부진,2018.12.08,3
102,이부진 '亞 3대 공항 트로이카' 전략 통했다…창이 공항 사업권 2년 연장,2018.12.05,3
103,이부진 '화장품·향수 승부수' 통했다…해외 면세점 4년만에 흑자,2018.11.08,3
104,"호텔신라, 3분기 영업이익 679억…최대 실적 이어간다",2018.10.26,3
105,"호텔신라, ""폐업 위기 식당에 새 숨결을""…'맛있는 제주만들기' 21호점 재개장",2018.10.04,3
106,"[포토]호텔신라 '맛있는 제주만들기' 식당, 소외이웃에게 따뜻한 한 끼 제공",2018.09.20,3
107,"추석 연휴, '추캉스' 즐기는 사람들 줄어든다…호텔 객실예약률 '저조'",2018.09.19,3
108,"호텔신라, '일본 관광 엑스포'서 방한 일본 관광객 유치 나선다",2018.09.18,3
109,"삼성 하반기 공채 GSAT, 다음달 21일 시행",2018.09.16,3
110,"호텔신라, 가장 인기있는 추석 선물은 '한우'…전체 매출 80% 이상",2018.09.12,3
111,"호텔신라, 국내산 농축수산물 엄선…추석 선물세트 ‘신라진품’ 선봬",2018.09.02,3
112,일감몰아주기 규제 강화 현실화…공익법인 의결권 제한 2년 유예,2018.08.26,3
113,"신라스테이, 5주년 맞아 '11개 지점 한번에 경험' 프리패스 이벤트 진행",2018.08.23,3
114,"신라스테이 울산, ""패키지 구입하면 해운대 1박 숙박권 드려요""",2018.08.22,3
115,"""역대급 이벤트"" 신라스테이 이용하고 신라호텔 숙박권 받자",2018.07.12,3
116,"숨죽인 삼성, '신경영 25주년' 조용히 보낸다",2018.06.06,3
117,"이재용 부회장 없이 진행된 호암상 시상식…""해외 출장 중""",2018.06.01,3
118,"면세점 브랜드 입점 제한한 면세점들, 공정위서 결국 무혐의",2018.05.17,3
119,"제주공항 면세점 사업자, 신라 선정…코엑스점은 롯데(종합)",2017.12.20,3
120,"제주공항 면세점, 신라품으로…롯데 '고배'",2017.12.20,3
121,제주·양양공항·서울 면세점 사업자 20일 판가름…PT 장소는 천안(종합),2017.12.15,3
122,제주·양양공항 면세점 사업자 20일 판가름…이례적으로 평일 발표할 듯,2017.12.15,3
123,"호텔신라, 홍콩 첵랍콕 공항에 면세점 오픈…해외매출 1兆 시대 연다",2017.12.12,3
124,"삼성, 계열사 통합 SVP 폐지…'파란피' 교육 막 내려",2017.12.11,3
125,[포토]맛있는 제주 만들기 19호점 '차이나마씸' 오픈,2017.12.07,3
126,5년만에 호암 30주기 제사 ‘제주’ 맡는 이재현 회장…‘장손’으로 고인의 넋 기린다,2017.11.19,3
127,"'장손' 이재현 회장, 호암 30주기 가족 제사 주도…5년만에 제주 맡는다",2017.11.17,3
128,'사드 보복' 이겨낸 면세업계…3분기 일제히 흑자 '쾌거'(종합),2017.11.15,3
