,Title,Date,Category
0,,,2.0
1,"휠라홀딩스, '피에몬테'로 사명 변경…""이탈리아 헤리티지 담았다""",2019.10.24,3.0
2,'450% 성장' 실적 날개 옷 입은 F&F,2020.04.18,4.0
3,"""BTS와 세계 휩쓴다"" 휠라의 경이로운 '3조'…국내선 단일 브랜드 최초 6천억 돌파",2020.03.23,4.0
4,국내 200대 상장사 여성임원 100명 중 3명뿐,2020.03.08,4.0
5,"외국인, 4주만에 '사자' 전환…배터리株 담았다",2020.08.30,5.0
6,"외국인, 5주 연속 '팔자'…삼성전자 사고 SK바이오팜 팔고",2020.07.12,5.0
7,회사 이름 바꾸면 주가 오를까…'절반' 성공,2020.07.03,5.0
8,"외국인, 5주만에 순매수 전환…코스피·코스닥 모두 '사자'",2020.06.07,5.0
9,"수익 20%대...국민연금 ""식품株 고마워""",2020.06.02,5.0
10,코로나19에도 골프장 붐비는데…웃지 못하는 FILA,2020.05.13,5.0
11,"'장밋빛 일색' 증권사 리포트, 올핸 무더기 ""목표가 하향""",2020.03.28,5.0
12,"[클릭 e종목]""휠라홀딩스, 과매도 국면 진입""",2020.03.20,5.0
13,"외국인, 5주 연속 '팔자'…지난 주에만 5조원 순매도",2020.03.15,5.0
14,봄철 테마株가 안보인다,2020.03.09,5.0
15,[e공시 눈에 띄네]코스피-14일,2020.02.17,5.0
16,"휠라홀딩스, 주당 229원 현금배당 결정",2020.02.14,5.0
17,휠라 주가 '뚝뚝'…잘 나가더니 왜?,2020.01.17,5.0
18,"국민연금, 휠라코리아 지주사전환 분할계획서 승인 찬성",2019.11.14,5.0
19,지주사 전환 '휠라코리아'…안정적 성장 이어갈까,2019.10.07,5.0
20,"[클릭 e종목]""휠라코리아, 지주사 전환 발표…중장기 긍정적""",2019.10.04,5.0
21,[e공시 눈에 띄네]코스피-2일,2019.10.04,5.0
22,"휠라코리아, 신발·의류 사업 부문 분할 결정",2019.10.02,5.0
23,,,6.0
24,,,7.0
25,,,8.0
26,"휠라코리아, 휠라홀딩스로 사명 변경",2019.10.24,9.0
27,,,10.0
28,,,11.0
